dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,80.625000,162.000000,0.003571,0.142857,2.857143,57.142857,0.000717
0.050000,80.625000,162.000000,0.017857,0.428571,5.714286,57.142857,0.000587
0.050000,80.625000,162.000000,0.050000,0.857143,8.571429,57.142857,0.000297
0.050000,80.649349,161.999997,0.107143,1.428571,11.428571,57.142857,6.282965
0.050000,80.738634,161.999942,0.196429,2.142857,14.285714,57.142857,6.282159
0.050000,80.867205,161.999735,0.325000,3.000000,17.142857,57.142857,6.281002
0.050000,81.042204,161.999216,0.500000,4.000000,20.000000,57.142857,6.279430
0.050000,81.270773,161.998124,0.728571,5.142857,22.857143,57.142857,6.277387
0.050000,81.560052,161.996074,1.017857,6.428571,25.714286,57.142857,6.274814
0.050000,81.917177,161.992520,1.375000,7.857143,28.571429,57.142857,6.271659
0.050000,82.349280,161.986720,1.807143,9.428571,31.428571,57.142857,6.267874
0.050000,82.863486,161.977697,2.321429,11.142857,34.285714,57.142857,6.263415
0.050000,83.466906,161.964202,2.925000,13.000000,37.142857,57.142857,6.258246
0.050000,84.166632,161.944675,3.625000,15.000000,40.000000,57.142857,6.252340
0.050000,84.966164,161.917343,4.425000,17.000000,40.000000,-0.000000,6.245708
0.050000,85.861833,161.880482,5.321429,18.857143,37.142857,-57.142857,6.238427
0.050000,86.846376,161.832513,6.307143,20.571429,34.285714,-57.142857,6.230608
0.050000,87.912513,161.771976,7.375000,22.142857,31.428571,-57.142857,6.222361
0.050000,89.052943,161.697596,8.517857,23.571429,28.571429,-57.142857,6.213797
0.050000,90.260358,161.608324,9.728571,24.857143,25.714286,-57.142857,6.205022
0.050000,91.527444,161.503383,11.000000,26.000000,22.857143,-57.142857,6.196142
0.050000,92.846895,161.382292,12.325000,27.000000,20.000000,-57.142857,6.187256
0.050000,94.211418,161.244885,13.696429,27.857143,17.142857,-57.142857,6.178459
0.050000,95.613745,161.091319,15.107143,28.571429,14.285714,-57.142857,6.169838
0.050000,97.046637,160.922075,16.550000,29.142857,11.428571,-57.142857,6.161471
0.050000,98.502895,160.737943,18.017857,29.571429,8.571429,-57.142857,6.153431
0.050000,99.975362,160.540010,19.503571,29.857143,5.714286,-57.142857,6.145778
0.050000,101.456925,160.329630,21.000000,30.000000,2.857143,-57.142857,6.138564
0.050000,102.940518,160.108398,22.500000,30.000000,0.000000,-57.142857,6.131833
0.050000,104.422646,159.877554,24.000000,30.000000,0.000000,0.000000,6.125602
0.050000,105.903368,159.637851,25.500000,30.000000,0.000000,0.000000,6.119871
0.050000,107.382753,159.390035,27.000000,30.000000,0.000000,0.000000,6.114640
0.050000,108.860887,159.134853,28.500000,30.000000,0.000000,0.000000,6.109908
0.050000,110.337862,158.873049,30.000000,30.000000,0.000000,0.000000,6.105676
0.050000,111.813782,158.605364,31.500000,30.000000,0.000000,0.000000,6.101941
0.050000,113.288761,158.332535,33.000000,30.000000,0.000000,0.000000,6.098704
0.050000,114.762918,158.055299,34.500000,30.000000,0.000000,0.000000,6.095964
0.050000,116.236380,157.774391,36.000000,30.000000,0.000000,0.000000,6.093720
0.050000,117.709278,157.490541,37.500000,30.000000,0.000000,0.000000,6.091971
0.050000,119.181749,157.204481,39.000000,30.000000,0.000000,0.000000,6.090717
