dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,80.633958,149.500003,0.003571,0.142857,2.857143,57.142857,0.000717
0.050000,80.632342,149.500002,0.005188,0.032329,-2.210563,-101.354115,0.000587
0.050000,80.628706,149.500001,0.008823,0.072704,0.807508,60.361424,0.000297
0.050000,80.646598,149.499998,0.026715,0.357839,5.702695,97.903734,6.282965
0.050000,80.725811,149.499948,0.105927,1.584249,24.528188,376.509865,6.282159
0.050000,80.839908,149.499765,0.220025,2.281941,13.953846,-211.486852,6.281002
0.050000,80.995267,149.499304,0.375385,3.107202,16.505218,51.027450,6.279430
0.050000,81.198290,149.498334,0.578410,4.060512,19.066201,51.219667,6.277387
0.050000,81.455411,149.496512,0.835537,5.142532,21.640395,51.483870,6.274814
0.050000,81.773103,149.493350,1.153245,6.354160,24.232573,51.843564,6.271659
0.050000,82.157893,149.488185,1.538070,7.696506,26.846922,52.286980,6.267874
0.050000,82.616372,149.480140,1.996619,9.170981,29.489484,52.851229,6.263415
0.050000,83.155202,149.468089,2.535584,10.779288,32.166156,53.533448,6.258246
0.050000,83.781131,149.450621,3.161756,12.523454,34.883321,54.343292,6.252340
0.050000,84.497807,149.426120,3.878852,14.341906,36.369035,29.714278,6.245708
0.050000,85.302543,149.393001,4.684269,16.108347,35.328822,-20.804251,6.238427
0.050000,86.189464,149.349786,5.572242,17.759452,33.022098,-46.134481,6.230608
0.050000,87.152681,149.295091,6.537010,19.295367,30.718305,-46.075860,6.222361
0.050000,88.186280,149.227676,7.572805,20.715910,28.410851,-46.149089,6.213797
0.050000,89.284311,149.146489,8.673833,22.020561,26.093032,-46.356375,6.205022
0.050000,90.440775,149.050707,9.834258,23.208494,23.758644,-46.687751,6.196142
0.050000,91.649621,148.939763,11.048184,24.278518,21.400480,-47.163282,6.187256
0.050000,92.904733,148.813369,12.309644,25.229203,19.013708,-47.735442,6.178459
0.050000,94.199931,148.671531,13.612586,26.058828,16.592499,-48.424174,6.169838
0.050000,95.528964,148.514550,14.950858,26.765443,14.132305,-49.203892,6.161471
0.050000,96.885509,148.343023,16.318204,27.346916,11.629445,-50.057190,6.153431
0.050000,98.263165,148.157830,17.708251,27.800956,9.080799,-50.972919,6.145778
0.050000,99.655456,147.960122,19.114510,28.125173,6.484343,-51.929134,6.138564
0.050000,101.055827,147.751297,20.530366,28.317114,3.838830,-52.910251,6.131833
0.050000,102.460994,147.532437,21.952474,28.442171,2.501144,-26.753717,6.125602
0.050000,103.870999,147.304178,23.380836,28.567231,2.501188,0.000871,6.119871
0.050000,105.285896,147.067163,24.815447,28.692223,2.499838,-0.026985,6.114640
0.050000,106.705747,146.822040,26.256302,28.817100,2.497552,-0.045733,6.109908
0.050000,108.130627,146.569468,27.703393,28.941825,2.494495,-0.061130,6.105676
0.050000,109.560616,146.310111,29.156712,29.066373,2.490968,-0.070543,6.101941
0.050000,110.995807,146.044640,30.616249,29.190738,2.487296,-0.073442,6.098704
0.050000,112.436300,145.773734,32.081995,29.314924,2.483711,-0.071701,6.095964
0.050000,113.882205,145.498078,33.553942,29.438939,2.480311,-0.067997,6.093720
0.050000,115.333639,145.218364,35.032082,29.562804,2.477286,-0.060503,6.091971
0.050000,116.790724,144.935292,36.516409,29.686544,2.474809,-0.049548,6.090717
0.050000,118.253591,144.649568,38.006919,29.810193,2.472977,-0.036642,6.089958
0.050000,119.722377,144.361908,39.503608,29.933783,2.471810,-0.023323,6.089693
0.050000,121.197220,144.073034,41.006476,30.057353,2.471387,-0.008468,6.089923
0.050000,122.678266,143.783679,42.515523,30.180940,2.471739,0.007030,6.090646
0.050000,124.165660,143.494583,44.030752,30.304580,2.472809,0.021418,6.091865
0.050000,125.659551,143.206496,45.552167,30.428309,2.474581,0.035427,6.093578
0.050000,127.160087,142.920179,47.079775,30.552159,2.476990,0.048184,6.095787
0.050000,128.667415,142.636402,48.613583,30.676158,2.479985,0.059902,6.098491
0.050000,130.181679,142.355947,50.153599,30.800322,2.483275,0.065803,6.101693
0.050000,131.703018,142.079606,51.699832,30.924665,2.486858,0.071659,6.105391
0.050000,133.231567,141.808186,53.252292,31.049190,2.490512,0.073080,6.109588
0.050000,134.767452,141.542502,54.810987,31.173894,2.494065,0.071047,6.114284
0.050000,136.310788,141.283383,56.375924,31.298746,2.497056,0.059829,6.119479
0.050000,137.861680,141.031671,57.947110,31.423718,2.499436,0.047602,6.125174
0.050000,139.419703,140.788297,59.524027,31.538334,2.292321,-4.142305,6.131367
0.050000,140.980667,140.554741,61.102367,31.566800,0.569313,-34.460160,6.138039
0.050000,142.537042,140.332826,62.674483,31.442332,-2.489361,-61.173471,6.145149
0.050000,144.081132,140.124162,64.232608,31.162500,-5.596630,-62.145394,6.152648
0.050000,145.605072,139.930102,65.768855,30.724933,-8.751346,-63.094302,6.160476
0.050000,147.100841,139.751717,67.275223,30.127360,-11.951469,-64.002469,6.168564
0.050000,148.560265,139.589765,68.743605,29.367649,-15.194203,-64.854680,6.176835
0.050000,149.975038,139.444677,70.165798,28.443863,-18.475737,-65.630675,6.185204
0.050000,151.336737,139.316547,71.533512,27.354277,-21.791711,-66.319493,6.193580
0.050000,152.636842,139.205135,72.838383,26.097416,-25.137216,-66.910090,6.201865
0.050000,153.866765,139.109878,74.071989,24.672124,-28.505845,-67.372591,6.209957
0.050000,155.017868,139.029920,75.225865,23.077521,-31.892064,-67.724365,6.217749
0.050000,156.081490,138.964148,76.291519,21.313070,-35.289019,-67.939112,6.225133
0.050000,157.048972,138.911242,77.260447,19.378559,-38.690211,-68.023834,6.232002
0.050000,157.912226,138.869715,78.124699,17.285052,-41.870137,-63.598523,6.238251
0.050000,158.667689,138.837844,78.880834,15.122690,-43.247244,-27.542138,6.243810
0.050000,159.319222,138.813759,79.532812,13.039559,-41.662624,31.692407,6.248672
0.050000,159.874214,138.795759,80.088096,11.105678,-38.677624,59.699999,6.252862
0.050000,160.340180,138.782452,80.554251,9.323111,-35.651333,60.525808,6.256414
0.050000,160.724734,138.772723,80.938929,7.693548,-32.591268,61.201311,6.259369
0.050000,161.035575,138.765692,81.249849,6.218405,-29.502859,61.768181,6.261773
0.050000,161.280464,138.760680,81.494789,4.898806,-26.391967,62.217844,6.263676
0.050000,161.467211,138.757173,81.681569,3.735602,-23.264089,62.557544,6.265133
0.050000,161.603665,138.754782,81.818044,2.729495,-20.122136,62.839072,6.266201
0.050000,161.697700,138.753219,81.912093,1.880974,-16.970430,63.034122,6.266938
0.050000,161.757212,138.752266,81.971612,1.190390,-13.811680,63.175000,6.267405
0.050000,161.790108,138.751751,82.004513,0.658007,-10.647658,63.280429,6.267664
0.050000,161.804303,138.751532,82.018709,0.283933,-7.481485,63.323464,6.267775
0.050000,161.807715,138.751479,82.022121,0.068242,-4.313819,63.353331,6.267802
0.050000,161.807715,138.751479,82.022121,0.000000,-1.364833,58.979719,6.267802
