dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,80.633961,174.499997,0.003571,0.142857,2.857143,57.142857,6.282468
0.050000,80.632432,174.499998,0.005100,0.030573,-2.245686,-102.056586,6.282591
0.050000,80.628995,174.499999,0.008538,0.068756,0.763660,60.186932,6.282866
0.050000,80.642657,174.500001,0.022200,0.273246,4.089809,66.522971,0.000169
0.050000,80.722416,174.500045,0.101959,1.595179,26.438663,446.977079,0.000931
0.050000,80.837298,174.500215,0.216842,2.297648,14.049367,-247.785912,0.002026
0.050000,80.993721,174.500649,0.373265,3.128474,16.616517,51.343001,0.003512
0.050000,81.198125,174.501564,0.577672,4.088126,19.193052,51.530697,0.005446
0.050000,81.456981,174.503289,0.836533,5.177223,21.781940,51.777760,0.007879
0.050000,81.776796,174.506287,1.156362,6.396578,24.387103,52.103254,0.010865
0.050000,82.164126,174.511191,1.543723,7.747228,27.012984,52.517632,0.014447
0.050000,82.625585,174.518834,2.005245,9.230440,29.664248,53.025269,0.018668
0.050000,83.167853,174.530289,2.547634,10.847782,32.346833,53.651713,0.023563
0.050000,83.797691,174.546901,3.177691,12.601144,35.067242,54.408180,0.029158
0.050000,84.518729,174.570207,3.899106,14.428299,36.543110,29.517359,0.035445
0.050000,85.328219,174.601721,4.709209,16.202064,35.475289,-21.356435,0.042351
0.050000,86.220204,174.642852,5.602141,17.858642,33.131566,-46.874445,0.049773
0.050000,87.188711,174.694921,6.572047,19.398113,30.789424,-46.842848,0.057609
0.050000,88.227746,174.759116,7.613063,20.820324,28.444207,-46.904347,0.065756
0.050000,89.331279,174.836446,8.719303,22.124785,26.089230,-47.099526,0.074114
0.050000,90.493236,174.927705,9.884838,23.310709,23.718474,-47.415121,0.082585
0.050000,91.707492,175.033444,11.103690,24.377033,21.326479,-47.839911,0.091076
0.050000,92.967866,175.153951,12.369812,25.322437,18.908095,-48.367678,0.099501
0.050000,94.268115,175.289238,13.677079,26.145356,16.458363,-48.994631,0.107776
0.050000,95.601931,175.439036,15.019280,26.844023,13.973348,-49.700299,0.115828
0.050000,96.962939,175.602798,16.390105,27.416495,11.449446,-50.478049,0.123591
0.050000,98.344695,175.779704,17.783140,27.860699,8.884076,-51.307401,0.131005
0.050000,99.740685,175.968680,19.191863,28.174462,6.275249,-52.176535,0.138021
0.050000,101.144323,176.168416,20.609641,28.355551,3.621789,-53.069207,0.144598
0.050000,102.552306,176.377900,22.033122,28.469630,2.281583,-26.804104,0.150720
0.050000,103.964668,176.596550,23.462309,28.583733,2.282054,0.009412,0.156385
0.050000,105.381452,176.823778,24.897199,28.697794,2.281230,-0.016483,0.161593
0.050000,106.802708,177.058990,26.337787,28.811762,2.279349,-0.037625,0.166346
0.050000,108.228497,177.301585,27.784067,28.925607,2.276914,-0.048690,0.170644
0.050000,109.658887,177.550958,29.236032,29.039306,2.273965,-0.058979,0.174486
0.050000,111.093956,177.806496,30.693674,29.152841,2.270711,-0.065090,0.177875
0.050000,112.533786,178.067581,32.156985,29.266212,2.267406,-0.066102,0.180810
0.050000,113.978472,178.333590,33.625956,29.379426,2.264287,-0.062370,0.183292
0.050000,115.428111,178.603893,35.100581,29.492493,2.261350,-0.058747,0.185322
0.050000,116.882809,178.877857,36.580853,29.605431,2.258745,-0.052096,0.186901
0.050000,118.342679,179.154839,38.066766,29.718265,2.256684,-0.041227,0.188028
0.050000,119.807836,179.434192,39.558317,29.831022,2.255135,-0.030973,0.188703
0.050000,121.278403,179.715264,41.055503,29.943730,2.254166,-0.019386,0.188929
0.050000,122.754504,179.997392,42.558324,30.056422,2.253840,-0.006517,0.188703
0.050000,124.236268,180.279910,44.066781,30.169129,2.254151,0.006231,0.188026
0.050000,125.723825,180.562142,45.580875,30.281883,2.255076,0.018498,0.186899
0.050000,127.217307,180.843405,47.100611,30.394714,2.256618,0.030840,0.185320
0.050000,128.716845,181.123006,48.625993,30.507650,2.258718,0.041995,0.183289
0.050000,130.222570,181.400247,50.157029,30.620711,2.261216,0.049967,0.180806
0.050000,131.734610,181.674417,51.693725,30.733917,2.264114,0.057962,0.177871
0.050000,133.253090,181.944797,53.236089,30.847284,2.267338,0.064480,0.174482
0.050000,134.778130,182.210659,54.784129,30.960811,2.270555,0.064335,0.170638
0.050000,136.309844,182.471264,56.337854,31.074497,2.273721,0.063306,0.166340
0.050000,137.848336,182.725863,57.897271,31.188332,2.276691,0.059411,0.161587
0.050000,139.393704,182.973698,59.462385,31.302293,2.279223,0.050642,0.156377
0.050000,140.946032,183.213998,61.033202,31.416339,2.280916,0.033851,0.150712
0.050000,142.505391,183.445984,62.609724,31.530426,2.281736,0.016413,0.144590
0.050000,144.071616,183.668836,64.191724,31.639996,2.191412,-1.806488,0.138013
0.050000,145.640764,183.881235,65.775181,31.669152,0.583109,-32.166055,0.130999
0.050000,147.205254,184.081524,67.352440,31.545172,-2.479595,-61.254092,0.123590
0.050000,148.757351,184.268276,68.915731,31.265829,-5.586863,-62.145348,0.115836
0.050000,150.289167,184.440325,70.457179,30.828956,-8.737450,-63.011745,0.107795
0.050000,151.792671,184.596793,71.968803,30.232483,-11.929461,-63.840215,0.099535
0.050000,153.259700,184.737115,73.442527,29.474484,-15.159975,-64.610281,0.091129
0.050000,154.681969,184.861053,74.870187,28.553193,-18.425825,-65.317014,0.082661
0.050000,156.051098,184.968700,76.243541,27.467074,-21.722381,-65.931108,0.074217
0.050000,157.358621,185.060476,77.554280,26.214794,-25.045612,-66.464621,0.065891
0.050000,158.596016,185.137113,78.794046,24.795318,-28.389518,-66.878128,0.057781
0.050000,159.754724,185.199627,79.954440,23.207869,-31.748973,-67.189095,0.049986
0.050000,160.826173,185.249283,81.027039,21.451993,-35.117519,-67.370919,0.042609
0.050000,161.801799,185.287540,82.003415,19.527512,-38.489616,-67.441948,0.035754
0.050000,162.673296,185.316000,82.875376,17.439230,-41.765644,-65.520546,0.029520
0.050000,163.436568,185.336426,83.638922,15.270906,-43.366490,-32.016927,0.023977
0.050000,164.095236,185.350628,84.297743,13.176419,-41.889734,29.535129,0.019131
0.050000,164.656740,185.360201,84.859328,11.231710,-38.894169,59.911296,0.014955
0.050000,165.128631,185.366424,85.331261,9.438646,-35.861280,60.657783,0.011415
0.050000,165.518551,185.370301,85.721199,7.798772,-32.797481,61.275967,0.008467
0.050000,165.834210,185.372596,86.036867,6.313364,-29.708175,61.786128,0.006067
0.050000,166.083377,185.373871,86.286038,4.983406,-26.599153,62.180448,0.004164
0.050000,166.273864,185.374525,86.476525,3.809749,-23.473146,62.520135,0.002704
0.050000,166.413513,185.374828,86.616174,2.792982,-20.335338,62.756150,0.001630
0.050000,166.510190,185.374949,86.712852,1.933550,-17.188632,62.934129,0.000886
0.050000,166.571780,185.374989,86.774441,1.231791,-14.035185,63.068932,0.000411
0.050000,166.606177,185.374999,86.808839,0.687947,-10.876869,63.166326,0.000145
0.050000,166.621282,185.375000,86.823944,0.302111,-7.716737,63.202632,0.000029
0.050000,166.625000,185.375000,86.827662,0.074352,-4.555176,63.231220,6.283185
0.050000,166.625000,185.375000,86.827662,0.000000,-1.487035,61.362830,6.283185
