dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,80.616039,149.500003,0.003571,0.142857,2.857143,57.142857,6.282468
0.050000,80.617568,149.500002,0.005100,0.030573,-2.245686,-102.056586,6.282591
0.050000,80.621005,149.500001,0.008538,0.068756,0.763660,60.186932,6.282866
0.050000,80.646880,149.500002,0.034412,0.517490,8.974674,164.220269,0.000169
0.050000,80.745692,149.500056,0.133225,1.976251,29.175220,404.010936,0.000931
0.050000,80.887953,149.500267,0.275485,2.845211,17.379209,-235.920227,0.002026
0.050000,81.081528,149.500803,0.469062,3.871525,20.526272,62.941252,0.003512
0.050000,81.334262,149.501935,0.721798,5.054732,23.664150,62.757570,0.005446
0.050000,81.653965,149.504065,1.041508,6.394201,26.789382,62.504636,0.007879
0.050000,82.048404,149.507763,1.435964,7.889123,29.898442,62.181200,0.010865
0.050000,82.525290,149.513800,1.912888,9.538478,32.987100,61.773168,0.014447
0.050000,83.092261,149.523190,2.479937,11.340975,36.049930,61.256598,0.018668
0.050000,83.756865,149.537229,3.144690,13.295049,39.081491,60.631206,0.023563
0.050000,84.526538,149.557527,3.914630,15.398816,42.075328,59.876751,0.029158
0.050000,85.404662,149.585910,4.793212,17.571638,43.456444,27.622322,0.035445
0.050000,86.386667,149.624138,5.775962,19.654990,41.667048,-35.787929,0.042351
0.050000,87.464015,149.673812,6.854454,21.569853,38.297252,-67.395913,0.049773
0.050000,88.628137,149.736394,8.020257,23.316058,34.924095,-67.463137,0.057609
0.050000,89.870460,149.813145,9.264949,24.893827,31.555377,-67.374367,0.065756
0.050000,91.182425,149.905075,10.580131,26.303644,28.196346,-67.180617,0.074114
0.050000,92.555512,150.012910,11.957445,27.546281,24.852750,-66.871916,0.082585
0.050000,93.981257,150.137059,13.388585,28.622803,21.530433,-66.446345,0.091076
0.050000,95.451281,150.277603,14.865312,29.534541,18.234753,-65.913594,0.099501
0.050000,96.957304,150.434293,16.379465,30.283050,14.970190,-65.291270,0.107776
0.050000,98.491167,150.606551,17.922970,30.870105,11.741094,-64.581926,0.115828
0.050000,100.044843,150.793488,19.487852,31.297640,8.550709,-63.807683,0.123591
0.050000,101.610452,150.993925,21.066239,31.567734,5.401873,-62.976730,0.131005
0.050000,103.180262,151.206425,22.650366,31.682557,2.296464,-62.108168,0.138021
0.050000,104.746700,151.429320,24.232583,31.644341,-0.764322,-61.215728,0.144598
0.050000,106.306050,151.661318,25.809097,31.530273,-2.281362,-30.340809,0.150720
0.050000,107.858369,151.901629,27.379906,31.416186,-2.281735,-0.007458,0.156385
0.050000,109.403727,152.149473,28.945013,31.302141,-2.280914,0.016436,0.161593
0.050000,110.942211,152.404081,30.504422,31.188179,-2.279229,0.033690,0.166346
0.050000,112.473915,152.664694,32.058140,31.074345,-2.276679,0.051007,0.170644
0.050000,113.998946,152.930562,33.606173,30.960659,-2.273717,0.059243,0.174486
0.050000,115.517417,153.200948,35.148529,30.847131,-2.270559,0.063149,0.177875
0.050000,117.029449,153.475122,36.685217,30.733765,-2.267326,0.064660,0.180810
0.050000,118.535166,153.752366,38.216245,30.620560,-2.264111,0.064304,0.183292
0.050000,120.034696,154.031971,39.741620,30.507499,-2.261213,0.057952,0.185322
0.050000,121.528169,154.313235,41.261349,30.394563,-2.258719,0.049876,0.186901
0.050000,123.015719,154.595468,42.775435,30.281732,-2.256611,0.042161,0.188028
0.050000,124.497475,154.877986,44.283884,30.168979,-2.255075,0.030722,0.188703
0.050000,125.973569,155.160113,45.786698,30.056271,-2.254151,0.018481,0.188929
0.050000,127.444128,155.441183,47.283877,29.943579,-2.253839,0.006240,0.188703
0.050000,128.909278,155.720534,48.775420,29.830871,-2.254167,-0.006560,0.188026
0.050000,130.369141,155.997512,50.261326,29.718114,-2.255137,-0.019402,0.186899
0.050000,131.823832,156.271471,51.741590,29.605280,-2.256682,-0.030888,0.185320
0.050000,133.273465,156.541769,53.216207,29.492342,-2.258753,-0.041416,0.183289
0.050000,134.718144,156.807772,54.685171,29.379274,-2.261354,-0.052029,0.180806
0.050000,136.157968,157.068850,56.148474,29.266060,-2.264292,-0.058753,0.177871
0.050000,137.593030,157.324380,57.606108,29.152690,-2.267402,-0.062213,0.174482
0.050000,139.023414,157.573744,59.058066,29.039154,-2.270723,-0.066412,0.170638
0.050000,140.449197,157.816330,60.504339,28.925455,-2.273970,-0.064932,0.166340
0.050000,141.870447,158.051532,61.944919,28.811610,-2.276910,-0.058806,0.161587
0.050000,143.287225,158.278749,63.379801,28.697642,-2.279360,-0.048998,0.156377
0.050000,144.699581,158.497387,64.808980,28.583580,-2.281231,-0.037433,0.150712
0.050000,146.107558,158.706858,66.232454,28.469477,-2.282054,-0.016447,0.144590
0.050000,147.510991,158.906553,67.650023,28.351384,-2.361875,-1.596425,0.138013
0.050000,148.906382,159.095438,69.058140,28.162329,-3.781087,-28.384245,0.130999
0.050000,150.287147,159.272213,70.450175,27.840698,-6.432619,-53.030628,0.123590
0.050000,151.646775,159.435813,71.819610,27.388719,-9.039588,-52.139387,0.115836
0.050000,152.978827,159.585431,73.160038,26.808559,-11.603199,-51.272213,0.107795
0.050000,154.276930,159.720530,74.465153,26.102284,-14.125494,-50.445909,0.099535
0.050000,155.534780,159.840850,75.728744,25.271832,-16.609046,-49.671043,0.091129
0.050000,156.746137,159.946415,76.944692,24.318953,-19.057586,-48.970798,0.082661
0.050000,157.904821,160.037521,78.106952,23.245210,-21.474863,-48.345537,0.074217
0.050000,159.004709,160.114727,79.209547,22.051896,-23.866262,-47.827975,0.065891
0.050000,160.039730,160.178834,80.246551,20.740075,-26.236424,-47.403247,0.057781
0.050000,161.003852,160.230853,81.212076,19.310503,-28.591438,-47.100283,0.049986
0.050000,161.891083,160.271974,82.100259,17.763666,-30.936749,-46.906222,0.042609
0.050000,162.695451,160.303517,82.905246,16.099725,-33.278822,-46.841460,0.035754
0.050000,163.411188,160.326892,83.621364,14.322372,-35.547058,-45.364723,0.029520
0.050000,164.035925,160.343612,84.246325,12.499213,-36.463180,-18.322427,0.023977
