dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,61.667458,139.718705,0.003571,0.142857,2.857143,57.142857,0.002167
0.050000,61.664548,139.718699,0.006482,0.058202,-1.693100,-91.004863,0.001934
0.050000,61.657999,139.718688,0.013030,0.130978,1.455523,62.972463,0.001410
0.050000,61.646353,139.718677,0.024677,0.232930,2.039040,11.670350,0.000479
0.050000,61.688101,139.718652,0.066425,0.834959,12.040570,200.030594,6.282207
0.050000,61.790396,139.718444,0.168721,2.045915,24.219117,243.570942,6.280105
0.050000,61.929534,139.717816,0.307860,2.782780,14.737315,-189.636053,6.277236
0.050000,62.111095,139.716395,0.489427,3.631347,16.971326,44.680226,6.273476
0.050000,62.340607,139.713618,0.718955,4.590557,19.184205,44.257581,6.268695
0.050000,62.623508,139.708680,1.001900,5.658901,21.366872,43.653335,6.262760
0.050000,62.965195,139.700466,1.343685,6.835695,23.535890,43.380357,6.255531
0.050000,63.370885,139.687487,1.749583,8.117961,25.645317,42.188553,6.246860
0.050000,63.845716,139.667795,2.224822,9.504784,27.736456,41.822776,6.236594
0.050000,64.394614,139.638901,2.774480,10.993156,29.767438,40.619641,6.224568
0.050000,65.019584,139.597877,3.400795,12.526303,30.662954,17.910318,6.210673
0.050000,65.716856,139.541718,4.100325,13.990609,29.286108,-27.536919,6.194922
0.050000,66.479892,139.467467,4.866964,15.332783,26.843482,-48.852516,6.177396
0.050000,67.302095,139.372186,5.694670,16.554110,24.426539,-48.338858,6.158186
0.050000,68.177001,139.253021,6.577654,17.659693,22.111669,-46.297398,6.137398
0.050000,69.098204,139.107299,7.510312,18.653145,19.869033,-44.852721,6.115154
0.050000,70.059398,138.932598,8.487253,19.538832,17.713735,-43.105962,6.091597
0.050000,71.054489,138.726811,9.503400,20.322925,15.681866,-40.637391,6.066891
0.050000,72.077525,138.488220,10.553889,21.009795,13.737411,-38.889101,6.041218
0.050000,73.122787,138.215538,11.634134,21.604893,11.901949,-36.709230,6.014783
