dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,80.601652,149.500022,0.003571,0.142857,2.857143,57.142857,6.281317
0.050000,80.603649,149.500018,0.005568,0.039941,-2.058325,-98.309360,6.281477
0.050000,80.608142,149.500011,0.010061,0.089858,0.998341,61.133331,6.281837
0.050000,80.616128,149.500003,0.018047,0.159716,1.397170,7.976580,6.282476
0.050000,80.654397,149.500004,0.056316,0.765367,12.113009,214.316772,0.000288
0.050000,80.800925,149.500152,0.202844,2.930571,43.304071,623.821247,0.001725
0.050000,81.000365,149.500691,0.402285,3.988823,21.165046,-442.780504,0.003680
0.050000,81.260861,149.501982,0.662784,5.209985,24.423244,65.163949,0.006234
0.050000,81.590515,149.504570,0.992448,6.593266,27.665624,64.847612,0.009465
0.050000,81.997477,149.509233,1.399436,8.139773,30.930135,65.290223,0.013453
0.050000,82.489845,149.517045,1.891867,9.848606,34.176654,64.930375,0.018275
0.050000,83.075678,149.529433,2.477831,11.719289,37.413674,64.740396,0.024009
0.050000,83.763020,149.548251,3.165431,13.751991,40.654035,64.807230,0.030732
0.050000,84.559853,149.575853,3.962741,15.946206,43.884301,64.605316,0.038517
0.050000,85.469981,149.614974,4.873710,18.219378,45.463426,31.582502,0.047395
0.050000,86.489023,149.668377,5.894150,20.408803,43.788510,-33.498332,0.057316
0.050000,87.608389,149.738714,7.015723,22.431468,40.453306,-66.704075,0.068185
0.050000,88.819421,149.828555,8.230083,24.287193,37.114496,-66.776195,0.079906
0.050000,90.113362,149.940303,9.528841,25.975164,33.759423,-67.101458,0.092379
0.050000,91.481357,150.076105,10.903560,27.494383,30.384367,-67.501131,0.105501
0.050000,92.914512,150.237790,12.345807,28.844929,27.010929,-67.468760,0.119166
0.050000,94.403850,150.426793,13.847090,30.025653,23.614484,-67.928898,0.133270
0.050000,95.940397,150.644110,15.398928,31.036770,20.222326,-67.843155,0.147705
0.050000,97.515212,150.890258,16.992864,31.878711,16.838837,-67.669777,0.162363
0.050000,99.119370,151.165241,18.620419,32.551114,13.448043,-67.815887,0.177140
0.050000,100.744059,151.468537,20.273176,33.055140,10.080537,-67.350110,0.191934
0.050000,102.380588,151.799101,21.942757,33.391612,6.729428,-67.022183,0.206644
0.050000,104.020420,152.155366,23.620843,33.561724,3.402239,-66.543793,0.221178
0.050000,105.655206,152.535271,25.299191,33.566963,0.104781,-65.949150,0.235447
0.050000,107.280671,152.937271,26.973628,33.488740,-1.564452,-33.384665,0.249403
0.050000,108.896501,153.360623,28.643998,33.407390,-1.627002,-1.251001,0.263034
0.050000,110.502431,153.804570,30.310162,33.323278,-1.682251,-1.104973,0.276328
0.050000,112.098243,154.268344,31.971999,33.236738,-1.730787,-0.970722,0.289276
0.050000,113.683763,154.751168,33.629404,33.148099,-1.772782,-0.839912,0.301869
0.050000,115.258853,155.252263,35.282281,33.057551,-1.810956,-0.763463,0.314100
0.050000,116.823419,155.770847,36.930553,32.965428,-1.842472,-0.630318,0.325963
0.050000,118.377407,156.306142,38.574152,32.871983,-1.868905,-0.528665,0.337451
0.050000,119.920795,156.857373,40.213024,32.777440,-1.890844,-0.438791,0.348562
