dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,80.625000,162.000000,0.003571,0.142857,2.857143,57.142857,6.281317
0.050000,80.625000,162.000000,0.017857,0.428571,5.714286,57.142857,6.281477
0.050000,80.625000,162.000000,0.050000,0.857143,8.571429,57.142857,6.281837
0.050000,80.625000,162.000000,0.107143,1.428571,11.428571,57.142857,6.282476
0.050000,80.650793,162.000004,0.196429,2.142857,14.285714,57.142857,0.000288
0.050000,80.779362,162.000133,0.325000,3.000000,17.142857,57.142857,0.001725
0.050000,80.954360,162.000606,0.500000,4.000000,20.000000,57.142857,0.003680
0.050000,81.182936,162.001739,0.728571,5.142857,22.857143,57.142857,0.006234
0.050000,81.472203,162.004010,1.017857,6.428571,25.714286,57.142857,0.009465
0.050000,81.829324,162.008102,1.375000,7.857143,28.571429,57.142857,0.013453
0.050000,82.261421,162.014958,1.807143,9.428571,31.428571,57.142857,0.018275
0.050000,82.775590,162.025830,2.321429,11.142857,34.285714,57.142857,0.024009
0.050000,83.378931,162.042349,2.925000,13.000000,37.142857,57.142857,0.030732
0.050000,84.078512,162.066582,3.625000,15.000000,40.000000,57.142857,0.038517
0.050000,84.877765,162.100937,4.425000,17.000000,40.000000,-0.000000,0.047395
0.050000,85.772967,162.147851,5.321429,18.857143,37.142857,-57.142857,0.057316
0.050000,86.756734,162.209668,6.307143,20.571429,34.285714,-57.142857,0.068185
0.050000,87.821656,162.288670,7.375000,22.142857,31.428571,-57.142857,0.079906
0.050000,88.960269,162.387004,8.517857,23.571429,28.571429,-57.142857,0.092379
0.050000,90.165046,162.506605,9.728571,24.857143,25.714286,-57.142857,0.105501
0.050000,91.428454,162.649141,11.000000,26.000000,22.857143,-57.142857,0.119166
0.050000,92.742899,162.815951,12.325000,27.000000,20.000000,-57.142857,0.133270
0.050000,94.100796,163.008004,13.696429,27.857143,17.142857,-57.142857,0.147705
0.050000,95.494579,163.225859,15.107143,28.571429,14.285714,-57.142857,0.162363
0.050000,96.916679,163.469636,16.550000,29.142857,11.428571,-57.142857,0.177140
0.050000,98.359594,163.739003,18.017857,29.571429,8.571429,-57.142857,0.191934
0.050000,99.815882,164.033163,19.503571,29.857143,5.714286,-57.142857,0.206644
