dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,80.645675,174.499983,0.003571,0.142857,2.857143,57.142857,6.281531
0.050000,80.644126,174.499985,0.005120,0.030973,-2.237677,-101.896398,6.281655
0.050000,80.640642,174.499990,0.008604,0.069681,0.774155,60.236641,6.281934
0.050000,80.634450,174.499996,0.014796,0.123847,1.083320,6.183306,6.282429
0.050000,80.626826,174.500000,0.022421,0.152485,0.572759,-10.211220,0.000018
0.050000,80.741485,174.500066,0.137080,2.293182,42.813945,844.823716,0.001132
0.050000,80.897546,174.500361,0.293141,3.121232,16.560989,-525.059132,0.002647
0.050000,81.101392,174.501102,0.496989,4.076952,19.114399,51.068214,0.004624
0.050000,81.359412,174.502618,0.755013,5.160473,21.670436,51.120736,0.007125
0.050000,81.677985,174.505379,1.073598,6.371713,24.224785,51.086969,0.010209
0.050000,82.063521,174.510034,1.459162,7.711279,26.791327,51.330856,0.013936
0.050000,82.522397,174.517446,1.918098,9.178713,29.348681,51.147080,0.018363
0.050000,83.061043,174.528736,2.456862,10.775281,31.931355,51.653481,0.023548
0.050000,83.685865,174.545328,3.081905,12.500862,34.511613,51.605153,0.029545
0.050000,84.400088,174.568879,3.796516,14.292216,35.827089,26.309518,0.036376
0.050000,85.200582,174.601069,4.597656,16.022810,34.611886,-24.304049,0.043999
0.050000,86.080992,174.643515,5.479089,17.628661,32.117004,-49.897642,0.052341
0.050000,87.034974,174.697797,6.434614,19.110501,29.636801,-49.604060,0.061327
0.050000,88.056165,174.765407,7.458041,20.468530,27.160595,-49.524125,0.070881
0.050000,89.138189,174.847703,8.543190,21.702986,24.689105,-49.429794,0.080926
0.050000,90.274650,174.945868,9.683883,22.813859,22.217466,-49.432790,0.091385
0.050000,91.459149,175.060878,10.873953,23.801389,19.750608,-49.337163,0.102178
0.050000,92.685272,175.193464,12.107223,24.665402,17.280256,-49.407038,0.113231
0.050000,93.946585,175.344095,13.377498,25.405511,14.802173,-49.561651,0.124465
0.050000,95.236667,175.512953,14.678585,26.021727,12.324329,-49.556876,0.135806
0.050000,96.549070,175.699921,16.004239,26.513077,9.826999,-49.946610,0.147182
0.050000,97.877356,175.904570,17.348198,26.879186,7.322181,-50.096356,0.158522
0.050000,99.215088,176.126162,18.704158,27.119206,4.800390,-50.435815,0.169758
0.050000,100.555828,176.363648,20.065768,27.232205,2.259990,-50.808010,0.180829
0.050000,101.896337,176.616291,21.429878,27.282190,0.999701,-25.205770,0.191700
0.050000,103.236575,176.883858,22.796563,27.333710,1.030391,0.613783,0.202364
0.050000,104.576502,177.166108,24.165896,27.386643,1.058671,0.565607,0.212817
0.050000,105.916086,177.462790,25.537939,27.440872,1.084572,0.518015,0.223053
0.050000,107.255295,177.773647,26.912753,27.496279,1.108136,0.471292,0.233068
0.050000,108.594105,178.098414,28.290391,27.552750,1.129421,0.425694,0.242856
0.050000,109.932493,178.436822,29.670899,27.610175,1.148494,0.381453,0.252415
0.050000,111.270445,178.788593,31.054322,27.668446,1.165432,0.338770,0.261741
0.050000,112.607948,179.153445,32.440695,27.727462,1.180323,0.297820,0.270830
0.050000,113.944994,179.531092,33.830051,27.787125,1.193260,0.258747,0.279682
0.050000,115.281583,179.921241,35.222418,27.847343,1.204344,0.221669,0.288292
0.050000,116.617717,180.323597,36.617819,27.908026,1.213678,0.186677,0.296659
0.050000,117.953405,180.737861,38.016274,27.969095,1.221369,0.153835,0.304783
0.050000,119.288659,181.163730,39.417798,28.030471,1.227529,0.123185,0.312660
0.050000,120.623498,181.600900,40.822402,28.092085,1.232266,0.094747,0.320292
0.050000,121.957946,182.049063,42.230095,28.153869,1.235692,0.068522,0.327676
0.050000,123.292031,182.507909,43.640884,28.215765,1.237917,0.044493,0.334813
0.050000,124.625788,182.977127,45.054770,28.277717,1.239048,0.022627,0.341702
0.050000,125.959256,183.456405,46.471753,28.339677,1.239192,0.002879,0.348343
0.050000,127.292479,183.945429,47.891833,28.401600,1.238452,-0.014809,0.354736
0.050000,128.625505,184.443885,49.315006,28.463446,1.236927,-0.030503,0.360882
0.050000,129.958391,184.951459,50.741265,28.525182,1.234713,-0.044276,0.366781
0.050000,131.291194,185.467836,52.170604,28.586777,1.231902,-0.056210,0.372434
0.050000,132.623979,185.992700,53.603014,28.648206,1.228583,-0.066388,0.377841
0.050000,133.956816,186.525738,55.038486,28.709448,1.224838,-0.074897,0.383003
0.050000,135.289776,187.066633,56.477011,28.770485,1.220747,-0.081828,0.387921
0.050000,136.622940,187.615072,57.918576,28.831304,1.216383,-0.087270,0.392596
0.050000,137.956389,188.170740,59.363171,28.891895,1.211817,-0.091313,0.397028
0.050000,139.290210,188.733326,60.810783,28.952251,1.207115,-0.094048,0.401219
0.050000,140.624495,189.302516,62.261401,29.012368,1.202337,-0.095561,0.405169
0.050000,141.959340,189.877998,63.715014,29.072245,1.197540,-0.095939,0.408880
0.050000,143.294842,190.459461,65.171608,29.131884,1.192777,-0.095266,0.412353
0.050000,144.631107,191.046594,66.631172,29.191288,1.188096,-0.093623,0.415588
0.050000,145.968240,191.639087,68.093696,29.250465,1.183541,-0.091089,0.418586
0.050000,147.306354,192.236631,69.559167,29.309423,1.179154,-0.087738,0.421348
0.050000,148.645561,192.838916,71.027575,29.368172,1.174972,-0.083643,0.423875
0.050000,149.985980,193.445634,72.498912,29.426723,1.171028,-0.078875,0.426168
0.050000,151.327732,194.056477,73.973166,29.485091,1.167353,-0.073500,0.428228
0.050000,152.670940,194.671138,75.450331,29.543290,1.163974,-0.067582,0.430055
