dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,72.324288,162.902593,0.003571,0.142857,2.857143,57.142857,0.001679
0.050000,72.324288,162.902593,0.017857,0.428571,5.714286,57.142857,0.001458
0.050000,72.324288,162.902593,0.050000,0.857143,8.571429,57.142857,0.000960
0.050000,72.324288,162.902593,0.107143,1.428571,11.428571,57.142857,0.000074
0.050000,72.408827,162.902538,0.196429,2.142857,14.285714,57.142857,6.281871
0.050000,72.537386,162.902240,0.325000,3.000000,17.142857,57.142857,6.279862
0.050000,72.712403,162.901417,0.500000,4.000000,20.000000,57.142857,6.277109
0.050000,72.940967,162.899615,0.728571,5.142857,22.857143,57.142857,6.273482
0.050000,73.230218,162.896138,1.017857,6.428571,25.714286,57.142857,6.268838
0.050000,73.587319,162.889978,1.375000,7.857143,28.571429,57.142857,6.263023
0.050000,74.019338,162.879724,1.807143,9.428571,31.428571,57.142857,6.255861
0.050000,74.533352,162.863445,2.321429,11.142857,34.285714,57.142857,6.247158
0.050000,75.136409,162.838560,2.925000,13.000000,37.142857,57.142857,6.236684
0.050000,75.835442,162.801673,3.625000,15.000000,40.000000,57.142857,6.224179
0.050000,76.633661,162.748631,4.425000,17.000000,40.000000,-0.000000,6.209399
0.050000,77.527035,162.674912,5.321429,18.857143,37.142857,-57.142857,6.192195
0.050000,78.507743,162.575737,6.307143,20.571429,34.285714,-57.142857,6.172465
0.050000,79.567667,162.445976,7.375000,22.142857,31.428571,-57.142857,6.150090
0.050000,80.698407,162.280211,8.517857,23.571429,28.571429,-57.142857,6.124947
0.050000,81.891186,162.072840,9.728571,24.857143,25.714286,-57.142857,6.096911
0.050000,83.136794,161.818196,11.000000,26.000000,22.857143,-57.142857,6.065873
0.050000,84.425540,161.510700,12.325000,27.000000,20.000000,-57.142857,6.031750
0.050000,85.747257,161.145053,13.696429,27.857143,17.142857,-57.142857,5.994506
0.050000,87.091203,160.716513,15.107143,28.571429,14.285714,-57.142857,5.954178
0.050000,88.446238,160.221145,16.550000,29.142857,11.428571,-57.142857,5.910894
0.050000,89.800866,159.656176,18.017857,29.571429,8.571429,-57.142857,5.864902
0.050000,91.143475,159.020312,19.503571,29.857143,5.714286,-57.142857,5.816580
0.050000,92.462574,158.314067,21.000000,30.000000,2.857143,-57.142857,5.766449
0.050000,93.747208,157.539967,22.500000,30.000000,0.000000,-57.142857,5.715152
0.050000,94.990186,156.700627,24.000000,30.000000,0.000000,0.000000,5.663308
0.050000,96.187955,155.797947,25.500000,30.000000,0.000000,0.000000,5.611462
0.050000,97.337567,154.834669,27.000000,30.000000,0.000000,0.000000,5.560175
0.050000,98.436804,153.814278,28.500000,30.000000,0.000000,0.000000,5.509988
0.050000,99.484290,152.740815,30.000000,30.000000,0.000000,0.000000,5.461395
0.050000,100.479502,151.618699,31.500000,30.000000,0.000000,0.000000,5.414817
0.050000,101.422737,150.452535,33.000000,30.000000,0.000000,0.000000,5.370585
0.050000,102.315034,149.246933,34.500000,30.000000,0.000000,0.000000,5.328944
0.050000,103.158069,148.006366,36.000000,30.000000,0.000000,0.000000,5.290046
0.050000,103.954021,146.735061,37.500000,30.000000,0.000000,0.000000,5.253971
0.050000,104.705452,145.436931,39.000000,30.000000,0.000000,0.000000,5.220732
0.050000,105.415189,144.115530,40.500000,30.000000,0.000000,0.000000,5.190294
0.050000,106.086229,142.774054,42.000000,30.000000,0.000000,0.000000,5.162587
0.050000,106.721656,141.415336,43.500000,30.000000,0.000000,0.000000,5.137517
0.050000,107.324576,140.041875,45.000000,30.000000,0.000000,0.000000,5.114976
0.050000,107.898077,138.655867,46.500000,30.000000,0.000000,0.000000,5.094852
0.050000,108.445196,137.259228,48.000000,30.000000,0.000000,0.000000,5.077032
0.050000,108.968902,135.853635,49.500000,30.000000,0.000000,0.000000,5.061410
0.050000,109.472078,134.440561,51.000000,30.000000,0.000000,0.000000,5.047884
0.050000,109.957533,133.021297,52.500000,30.000000,0.000000,0.000000,5.036366
0.050000,110.427991,131.596989,54.000000,30.000000,0.000000,0.000000,5.026775
0.050000,110.886104,130.168660,55.500000,30.000000,0.000000,0.000000,5.019045
0.050000,111.334462,128.737238,57.000000,30.000000,0.000000,0.000000,5.013121
0.050000,111.775600,127.303573,58.500000,30.000000,0.000000,0.000000,5.008960
0.050000,112.212016,125.868463,60.000000,30.000000,0.000000,0.000000,5.006531
0.050000,112.646178,124.432668,61.500000,30.000000,0.000000,0.000000,5.005818
0.050000,113.080543,122.996936,63.000000,30.000000,0.000000,0.000000,5.006814
0.050000,113.517569,121.562011,64.500000,30.000000,0.000000,0.000000,5.009528
0.050000,113.959730,120.128661,66.000000,30.000000,0.000000,0.000000,5.013979
0.050000,114.409526,118.697691,67.500000,30.000000,0.000000,0.000000,5.020199
0.050000,114.869503,117.269962,69.000000,30.000000,0.000000,0.000000,5.028233
0.050000,115.342259,115.846415,70.500000,30.000000,0.000000,0.000000,5.038138
0.050000,115.830458,114.428094,72.000000,30.000000,0.000000,0.000000,5.049983
0.050000,116.336839,113.016164,73.500000,30.000000,0.000000,0.000000,5.063849
0.050000,116.864219,111.611947,75.000000,30.000000,0.000000,0.000000,5.079828
0.050000,117.415500,110.216947,76.500000,30.000000,0.000000,0.000000,5.098022
0.050000,117.993662,108.832877,78.000000,30.000000,0.000000,0.000000,5.118538
0.050000,118.576852,107.511612,79.500000,30.000000,0.000000,0.000000,5.129310
0.050000,119.166863,106.132565,81.000000,30.000000,0.000000,0.000000,5.104437
0.050000,119.724160,104.739968,82.500000,30.000000,0.000000,0.000000,5.082095
0.050000,120.251976,103.335926,84.000000,30.000000,0.000000,0.000000,5.062263
0.050000,120.753602,101.922308,85.500000,30.000000,0.000000,0.000000,5.044907
0.050000,121.232357,100.500776,87.000000,30.000000,0.000000,0.000000,5.029986
0.050000,121.691561,99.072805,88.500000,30.000000,0.000000,0.000000,5.017454
0.050000,122.134522,97.639708,90.000000,30.000000,0.000000,0.000000,5.007268
0.050000,122.564524,96.202667,91.500000,30.000000,0.000000,0.000000,4.999388
0.050000,122.984832,94.762759,93.000000,30.000000,0.000000,0.000000,4.993782
0.050000,123.398685,93.320981,94.500000,30.000000,0.000000,0.000000,4.990426
0.050000,123.809310,91.878279,96.000000,30.000000,0.000000,0.000000,4.989304
0.050000,124.219924,90.435575,97.500000,30.000000,0.000000,0.000000,4.990411
0.050000,124.633745,88.993787,99.000000,30.000000,0.000000,0.000000,4.993752
0.050000,125.053998,87.553863,100.500000,30.000000,0.000000,0.000000,4.999343
0.050000,125.483924,86.116799,102.000000,30.000000,0.000000,0.000000,5.007207
0.050000,125.926786,84.683672,103.500000,30.000000,0.000000,0.000000,5.017377
0.050000,126.385870,83.255662,105.000000,30.000000,0.000000,0.000000,5.029894
0.050000,126.864482,81.834082,106.500000,30.000000,0.000000,0.000000,5.044799
0.050000,127.365943,80.420406,108.000000,30.000000,0.000000,0.000000,5.062138
0.050000,127.893571,79.016292,109.500000,30.000000,0.000000,0.000000,5.081953
0.050000,128.450659,77.623611,111.000000,30.000000,0.000000,0.000000,5.104278
0.050000,129.040439,76.244466,112.500000,30.000000,0.000000,0.000000,5.129134
0.050000,129.666036,74.881202,114.000000,30.000000,0.000000,0.000000,5.156521
0.050000,130.330113,73.537009,115.499340,29.973603,-0.527931,-10.558619,5.186396
0.050000,131.033289,72.218402,116.993789,29.804350,-3.385074,-57.142857,5.218596
0.050000,131.773865,70.934313,118.476204,29.492239,-6.242217,-57.142857,5.252821
