dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,68.766571,150.402594,0.003571,0.142857,2.857143,57.142857,0.000287
0.050000,68.766119,150.402594,0.004024,0.009044,-2.676265,-110.668153,0.000251
0.050000,68.765101,150.402593,0.005042,0.020359,0.226301,58.051320,0.000170
0.050000,68.763289,150.402593,0.006853,0.036229,0.317391,1.821802,0.000025
0.050000,68.840039,150.402585,0.083603,1.534999,29.975418,593.160541,6.282983
0.050000,68.964519,150.402540,0.208082,2.489582,19.091644,-217.675484,6.282656
0.050000,69.133930,150.402412,0.377494,3.388231,17.972986,-22.373164,6.282209
0.050000,69.355169,150.402131,0.598733,4.424786,20.731105,55.162379,6.281622
0.050000,69.635122,150.401589,0.878686,5.599064,23.485552,55.088944,6.280876
0.050000,69.980660,150.400631,1.224225,6.910781,26.234340,54.975748,6.279947
0.050000,70.398638,150.399041,1.642207,8.359630,28.976983,54.852866,6.278814
0.050000,70.895890,150.396530,2.139465,9.945157,31.710551,54.671354,6.277452
0.050000,71.479224,150.392714,2.722811,11.666934,34.435525,54.499482,6.275834
0.050000,72.155417,150.387102,3.399028,13.524337,37.148072,54.250958,6.273932
0.050000,72.927763,150.379104,4.171415,15.447735,38.467948,26.397517,6.271722
0.050000,73.792630,150.368103,5.036352,17.298738,37.020067,-28.957626,6.269203
0.050000,74.742926,150.353478,5.986760,19.008174,34.188720,-56.626938,6.266379
0.050000,75.771560,150.334587,7.015568,20.576148,31.359471,-56.584992,6.263255
0.050000,76.871434,150.310790,8.115700,22.002641,28.529867,-56.592077,6.259837
0.050000,78.035460,150.281457,9.280095,23.287913,25.705444,-56.488453,6.256131
0.050000,79.256552,150.245989,10.501702,24.432125,22.884242,-56.424032,6.252146
0.050000,80.527634,150.203825,11.773483,25.435620,20.069899,-56.286862,6.247888
0.050000,81.841649,150.154465,13.088425,26.298845,17.264503,-56.107921,6.243369
0.050000,83.191553,150.097480,14.439531,27.022128,14.465651,-55.977052,6.238601
0.050000,84.570328,150.032526,15.819836,27.606085,11.679136,-55.730286,6.233597
0.050000,85.970976,149.959361,17.222393,28.051142,8.901151,-55.559715,6.228373
0.050000,87.386531,149.877858,18.640292,28.357987,6.136904,-55.284930,6.222948
0.050000,88.810060,149.788018,20.066654,28.527230,3.384858,-55.040924,6.217343
0.050000,90.234667,149.689977,21.494630,28.559523,0.645859,-54.779982,6.211581
0.050000,91.656877,149.583762,22.920801,28.523422,-0.722021,-27.357602,6.205675
0.050000,93.076615,149.469192,24.345154,28.487066,-0.727126,-0.102092,6.199623
0.050000,94.493802,149.346087,25.767678,28.450466,-0.731996,-0.097398,6.193425
0.050000,95.908355,149.214267,27.188359,28.413636,-0.736598,-0.092049,6.187080
0.050000,97.320189,149.073553,28.607189,28.376591,-0.740899,-0.086012,6.180586
0.050000,98.729218,148.923767,30.024156,28.339348,-0.744862,-0.079254,6.173944
0.050000,100.135350,148.764730,31.439253,28.301943,-0.748112,-0.065003,6.167152
0.050000,101.538491,148.596265,32.852472,28.264377,-0.751313,-0.064031,6.160210
0.050000,102.938546,148.418195,34.263805,28.226661,-0.754327,-0.060281,6.153117
0.050000,104.335413,148.230345,35.673247,28.188833,-0.756559,-0.044632,6.145872
0.050000,105.728991,148.032541,37.080793,28.150920,-0.758251,-0.033848,6.138476
0.050000,107.119176,147.824611,38.486442,28.112975,-0.758899,-0.012944,6.130928
0.050000,108.505859,147.606384,39.890192,28.074996,-0.759580,-0.013632,6.123229
0.050000,109.888930,147.377691,41.292042,28.037012,-0.759690,-0.002196,6.115377
0.050000,111.268275,147.138365,42.691996,27.999072,-0.758791,0.017978,6.107374
0.050000,112.643781,146.888241,44.090058,27.961244,-0.756567,0.044490,6.099219
0.050000,114.015328,146.627159,45.486234,27.923515,-0.754570,0.039926,6.090913
0.050000,115.382797,146.354957,46.880531,27.885945,-0.751408,0.063239,6.082457
0.050000,116.746066,146.071481,48.272961,27.848599,-0.746912,0.089932,6.073852
0.050000,118.105011,145.776576,49.663536,27.811510,-0.741782,0.102601,6.065098
0.050000,119.459505,145.470093,51.052272,27.774711,-0.735993,0.115771,6.056198
0.050000,120.809421,145.151886,52.439186,27.738278,-0.728658,0.146712,6.047151
0.050000,122.154631,144.821812,53.824299,27.702255,-0.720450,0.164149,6.037961
0.050000,123.495002,144.479732,55.207633,27.666685,-0.711410,0.180798,6.028628
0.050000,124.830404,144.125514,56.589215,27.631641,-0.700873,0.210736,6.019155
0.050000,126.160704,143.759027,57.969073,27.597172,-0.689387,0.229723,6.009544
0.050000,127.485767,143.380147,59.347240,27.563336,-0.676706,0.253628,5.999798
0.050000,128.805461,142.988754,60.723750,27.530196,-0.662796,0.278187,5.989919
0.050000,130.119649,142.584733,62.098641,27.497812,-0.647693,0.302073,5.979911
0.050000,131.428199,142.167976,63.471953,27.466251,-0.631215,0.329549,5.969776
0.050000,132.730973,141.738380,64.843731,27.435556,-0.613894,0.346431,5.959519
0.050000,134.027838,141.295846,66.214022,27.405811,-0.594906,0.379751,5.949143
0.050000,135.318661,140.840283,67.582875,27.377078,-0.574669,0.404748,5.938651
0.050000,136.603306,140.371605,68.950345,27.349382,-0.553910,0.415169,5.928049
0.050000,137.881642,139.889735,70.316486,27.322824,-0.531153,0.455141,5.917341
0.050000,139.153538,139.394598,71.681359,27.297460,-0.507279,0.477496,5.906532
0.050000,140.418862,138.886131,73.045025,27.273316,-0.482888,0.487813,5.895626
0.050000,141.677485,138.364274,74.407547,27.250453,-0.457270,0.512368,5.884628
0.050000,142.929283,137.828975,75.768995,27.228963,-0.429791,0.549574,5.873544
0.050000,144.174128,137.280189,77.129439,27.208869,-0.401887,0.558075,5.862380
0.050000,145.411898,136.717880,78.488949,27.190200,-0.373383,0.570077,5.851142
0.050000,146.642472,136.142017,79.847598,27.172988,-0.344233,0.583012,5.839834
0.050000,147.865731,135.552577,81.205465,27.157336,-0.313046,0.623729,5.828464
0.050000,149.081560,134.949546,82.562627,27.143239,-0.281923,0.622470,5.817038
0.050000,150.289847,134.332915,83.919163,27.130730,-0.250198,0.634501,5.805561
0.050000,151.490482,133.702684,85.275155,27.119832,-0.217957,0.644809,5.794041
0.050000,152.683356,133.058861,86.630683,27.110567,-0.185289,0.653353,5.782484
0.050000,153.868367,132.401462,87.985831,27.102953,-0.152284,0.660111,5.770897
0.050000,155.045414,131.730508,89.340681,27.097002,-0.119030,0.665079,5.759285
0.050000,156.214400,131.046029,90.695317,27.092721,-0.085616,0.668275,5.747657
0.050000,157.375232,130.348065,92.049823,27.090114,-0.052129,0.669735,5.736018
0.050000,158.527821,129.636658,93.404282,27.089182,-0.018654,0.669516,5.724375
0.050000,159.672080,128.911863,94.758778,27.089918,0.014731,0.667695,5.712736
0.050000,160.807929,128.173738,96.113392,27.092289,0.047416,0.653695,5.701105
0.050000,161.935283,127.422353,97.468201,27.096180,0.077824,0.608156,5.689491
0.050000,163.054076,126.657778,98.823292,27.101812,0.112636,0.696246,5.677899
0.050000,164.164236,125.880094,100.178743,27.109026,0.144286,0.633001,5.666335
0.050000,165.265690,125.089395,101.534622,27.117571,0.170906,0.532395,5.654806
0.050000,166.358387,124.285765,102.891017,27.127905,0.206665,0.715184,5.643318
0.050000,167.442258,123.469315,104.247986,27.139384,0.229589,0.458489,5.631877
0.050000,168.517259,122.640142,105.605615,27.152579,0.263904,0.686286,5.620487
0.050000,169.617049,121.776117,107.004213,27.971963,16.387680,322.475534,5.618842
0.050000,170.880972,120.794653,108.604455,32.004837,80.657479,1285.395976,5.626862
0.050000,172.143029,119.829831,110.193061,31.772116,-4.654435,-1706.238287,5.633950
0.050000,173.402296,118.880302,111.770197,31.542724,-4.587840,1.331904,5.640121
0.050000,174.657892,117.944754,113.336011,31.316267,-4.529123,1.174337,5.645387
0.050000,175.908975,117.021908,114.890634,31.092466,-4.476024,1.061988,5.649757
0.050000,177.154731,116.110523,116.434179,30.870895,-4.431432,0.891842,5.653240
0.050000,178.394368,115.209395,117.966736,30.651143,-4.395028,0.728080,5.655845
0.050000,179.627111,114.317357,119.488375,30.432788,-4.367114,0.558280,5.657576
0.050000,180.852193,113.433281,120.999143,30.215350,-4.348750,0.367274,5.658437
0.050000,182.068854,112.556072,122.499062,29.998385,-4.339302,0.188956,5.658431
0.050000,183.276332,111.684678,123.988132,29.781410,-4.339499,-0.003946,5.657556
0.050000,184.473861,110.818078,125.466331,29.563967,-4.348865,-0.187315,5.655812
0.050000,185.660665,109.955291,126.933609,29.345571,-4.367909,-0.380877,5.653195
0.050000,186.835958,109.095369,128.389899,29.125791,-4.395601,-0.553848,5.649698
0.050000,187.998939,108.237404,129.835107,28.904173,-4.432373,-0.735427,5.645315
0.050000,189.148786,107.380521,131.269122,28.680294,-4.477564,-0.903822,5.640036
0.050000,190.284663,106.523881,132.691812,28.453803,-4.529835,-1.045431,5.633851
0.050000,191.405709,105.666688,134.103027,28.224289,-4.590269,-1.208665,5.626749
0.050000,192.511047,104.808175,135.502603,27.991532,-4.655146,-1.297539,5.618715
0.050000,193.599773,103.947621,136.890363,27.755201,-4.726618,-1.429444,5.609736
0.050000,194.670969,103.084340,138.266123,27.515201,-4.800009,-1.467832,5.599798
0.050000,195.723697,102.217687,139.629694,27.271401,-4.875997,-1.519748,5.588884
0.050000,196.757004,101.347060,140.980884,27.023812,-4.951781,-1.515681,5.576980
0.050000,197.769930,100.471893,142.319516,26.772633,-5.023577,-1.435921,5.564071
0.050000,198.761504,99.591666,143.645419,26.518063,-5.091391,-1.356280,5.550144
0.050000,199.730761,98.705898,144.958447,26.260567,-5.149929,-1.170759,5.535187
0.050000,200.676744,97.814149,146.258486,26.000766,-5.196027,-0.921970,5.519191
0.050000,201.598512,96.916015,147.545459,25.739478,-5.225751,-0.594467,5.502151
0.050000,202.495153,96.011127,148.819346,25.477729,-5.234974,-0.184474,5.484063
0.050000,203.365790,95.099149,150.080184,25.216770,-5.219179,0.315915,5.464932
0.050000,204.209597,94.179769,151.328090,24.958118,-5.173043,0.922705,5.444766
0.050000,205.025803,93.252695,152.563266,24.703518,-5.091994,1.620993,5.423582
0.050000,205.813709,92.317646,153.786014,24.454950,-4.971376,2.412358,5.401403
0.050000,206.572692,91.374347,154.996744,24.214602,-4.806964,3.288243,5.378264
0.050000,207.302212,90.422517,156.195986,23.984840,-4.595240,4.234479,5.354206
0.050000,208.001821,89.461860,157.384394,23.768155,-4.333694,5.230918,5.329281
0.050000,208.671160,88.492064,158.562748,23.567099,-4.021118,6.251523,5.303552
0.050000,209.309965,87.512789,159.731958,23.384193,-3.658128,7.259799,5.277091
0.050000,209.918052,86.523667,160.893049,23.221820,-3.247453,8.213491,5.249982
0.050000,210.495324,85.524299,162.047163,23.082277,-2.790866,9.131734,5.222314
0.050000,211.040716,84.516244,163.193299,22.922717,-3.191185,-8.006379,5.194242
