dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,77.070546,174.215491,0.003571,0.142857,2.857143,57.142857,0.000172
0.050000,77.071112,174.215491,0.004137,0.011316,-2.630831,-109.759483,0.000127
0.050000,77.072378,174.215491,0.005404,0.025333,0.280346,58.223554,0.000025
0.050000,77.123666,174.215487,0.056692,1.025759,20.008524,394.563557,6.283032
0.050000,77.216380,174.215460,0.149406,1.854281,16.570446,-68.761563,6.282758
0.050000,77.349769,174.215378,0.282795,2.667777,16.269905,-6.010812,6.282373
0.050000,77.531100,174.215184,0.464125,3.626607,19.176600,58.133886,6.281866
0.050000,77.767546,174.214797,0.700572,4.728932,22.046499,57.397982,6.281236
0.050000,78.066161,174.214102,0.999187,5.972314,24.867653,56.423088,6.280490
0.050000,78.433841,174.212953,1.366869,7.353641,27.626531,55.177549,6.279647
0.050000,78.877290,174.211179,1.810322,8.869046,30.308112,53.631623,6.278742
0.050000,79.402975,174.208596,2.336013,10.513826,32.895601,51.749777,6.277829
0.050000,80.017083,174.205035,2.950132,12.282378,35.371036,49.508710,6.276986
0.050000,80.725473,174.200386,3.658537,14.168091,37.714257,46.864422,6.276313
0.050000,81.530034,174.194681,4.463118,16.091631,38.470788,15.130620,6.275947
0.050000,82.425213,174.188205,5.358321,17.904059,36.248560,-44.444564,6.276045
0.050000,83.401796,174.181534,6.334926,19.532101,32.560858,-73.754042,6.276774
0.050000,84.450571,174.175541,7.383718,20.975841,28.874798,-73.721209,6.278299
0.050000,85.562367,174.171405,8.495522,22.236084,25.204855,-73.398860,6.280783
0.050000,86.728078,174.170602,9.661233,23.314218,21.562682,-72.843455,0.001198
0.050000,87.938678,174.174879,10.871841,24.212155,17.958731,-72.079017,0.006064
0.050000,89.185239,174.186210,12.118454,24.932253,14.401968,-71.135255,0.012334
0.050000,90.458941,174.206738,13.392321,25.477356,10.902062,-69.998119,0.020139
0.050000,91.751084,174.238703,14.684859,25.850760,7.468070,-68.679843,0.029593
0.050000,93.053106,174.284356,15.987681,26.056430,4.113411,-67.093179,0.040795
0.050000,94.356606,174.345867,17.292632,26.099013,0.851646,-65.235293,0.053827
0.050000,95.653386,174.425223,18.591838,25.984132,-2.297614,-62.985202,0.068746
0.050000,96.935499,174.524124,19.877760,25.718436,-5.313925,-60.326227,0.085586
0.050000,98.195310,174.643884,21.143250,25.309806,-8.172586,-57.173227,0.104345
0.050000,99.428489,174.785697,22.384556,24.826117,-9.673786,-30.023999,0.125039
0.050000,100.633758,174.950841,23.601086,24.330603,-9.910285,-4.729985,0.147714
0.050000,101.809852,175.140456,24.792368,23.825641,-10.099242,-3.779130,0.172409
0.050000,102.955574,175.355528,25.958101,23.314658,-10.219645,-2.408051,0.199148
0.050000,104.069853,175.596896,27.098223,22.802438,-10.244415,-0.495415,0.227935
0.050000,105.151829,175.865251,28.212981,22.295167,-10.145418,1.979954,0.258751
0.050000,106.200917,176.161165,29.303005,21.800463,-9.894082,5.026709,0.291545
