dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,77.074845,149.215491,0.003571,0.142857,2.857143,57.142857,0.000172
0.050000,77.074279,149.215491,0.004137,0.011316,-2.630831,-109.759483,0.000127
0.050000,77.073013,149.215491,0.005404,0.025333,0.280346,58.223554,0.000025
0.050000,77.119841,149.215488,0.052232,0.936558,18.224503,358.883123,6.283032
0.050000,77.205698,149.215463,0.138089,1.717141,15.611654,-52.256974,6.282758
0.050000,77.329452,149.215386,0.261843,2.475081,15.158802,-9.057045,6.282373
0.050000,77.498121,149.215206,0.430513,3.373394,17.966272,56.149405,6.281866
0.050000,77.718817,149.214844,0.651209,4.413926,20.810634,56.887252,6.281236
0.050000,77.998772,149.214193,0.931165,5.599116,23.703791,57.863123,6.280490
0.050000,78.345375,149.213110,1.277768,6.932076,26.659214,59.108470,6.279647
0.050000,78.766205,149.211426,1.698602,8.416676,29.691990,60.655514,6.278742
0.050000,79.269079,149.208954,2.201482,10.057604,32.818558,62.531366,6.277829
0.050000,79.862093,149.205516,2.794506,11.860476,36.057454,64.777910,6.276986
0.050000,80.553674,149.200976,3.486102,13.831912,39.428712,67.425174,6.276313
0.050000,81.349072,149.195336,4.281521,15.908374,41.529248,42.010723,6.275947
0.050000,82.246703,149.188842,5.179175,17.953089,40.894290,-12.699166,6.276045
0.050000,83.241504,149.182048,6.173999,19.896475,38.867718,-40.531437,6.276774
0.050000,84.328408,149.175839,7.260921,21.738444,36.839391,-40.566547,6.278299
0.050000,85.502310,149.171477,8.434831,23.478199,34.795083,-40.886151,6.280783
0.050000,86.758026,149.170620,9.690547,25.114330,32.722624,-41.449196,0.001198
0.050000,88.090265,149.175338,11.022794,26.644939,30.612188,-42.208706,0.006064
0.050000,89.493590,149.188111,12.426177,28.067654,28.454302,-43.157734,0.012334
0.050000,90.962382,149.211807,13.895161,29.379669,26.240293,-44.280182,0.020139
0.050000,92.490794,149.249648,15.424041,30.577606,23.958743,-45.630998,0.029593
0.050000,94.072699,149.305156,17.006919,31.657565,21.599173,-47.191394,0.040795
0.050000,95.701625,149.382074,18.637661,32.614833,19.145368,-49.076093,0.053827
0.050000,97.370693,149.484275,20.309855,33.443886,16.581051,-51.286349,0.068746
0.050000,99.072533,149.615630,22.016757,34.138034,13.882959,-53.961843,0.085586
0.050000,100.799206,149.779859,23.751222,34.689307,11.025475,-57.149676,0.104345
0.050000,102.546321,149.980876,25.509863,35.172822,9.670288,-27.103740,0.125039
0.050000,104.313200,150.223089,27.293267,35.668081,9.905195,4.698136,0.147714
0.050000,106.098764,150.511098,29.101909,36.172837,10.095119,3.798487,0.172409
0.050000,107.901428,150.849641,30.936087,36.683557,10.214389,2.385400,0.199148
0.050000,109.719014,151.243519,32.795861,37.195482,10.238509,0.482401,0.227935
0.050000,111.548657,151.697492,34.680983,37.702445,10.139263,-1.984928,0.258751
0.050000,113.386726,152.216142,36.590825,38.196833,9.887755,-5.030146,0.291545
0.050000,115.228773,152.803702,38.524310,38.669697,9.457281,-8.609478,0.326232
0.050000,117.069523,153.463866,40.479860,39.111002,8.826100,-12.623636,0.362684
0.050000,118.902918,154.199581,42.455364,39.510073,7.981420,-16.893585,0.400734
0.050000,120.722229,155.012848,44.448175,39.856224,6.923024,-21.167930,0.440169
0.050000,122.520232,155.904544,46.455147,40.139445,5.664412,-25.172227,0.480738
0.050000,124.289458,156.874304,48.472718,40.351427,4.239638,-28.495489,0.522156
0.050000,126.022475,157.920466,50.497022,40.486062,2.692694,-30.938890,0.564112
0.050000,127.712200,159.040110,52.524032,40.540217,1.083111,-32.191654,0.606285
0.050000,129.352196,160.229174,54.549732,40.513999,-0.524364,-32.149492,0.648353
0.050000,130.936930,161.482663,56.570280,40.410958,-2.060827,-30.729270,0.690008
0.050000,132.461937,162.794881,58.582136,40.237118,-3.476796,-28.319384,0.730968
0.050000,133.923941,164.159728,60.582202,40.001310,-4.716165,-24.787371,0.770984
0.050000,135.320850,165.570948,62.567874,39.713458,-5.757030,-20.817295,0.809848
0.050000,136.651702,167.022379,64.537093,39.384365,-6.581853,-16.496466,0.847395
