dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,8.210856,220.512465,0.003571,0.142857,2.857143,57.142857,0.000794
0.050000,8.212624,220.512466,0.005340,0.035372,-2.149711,-100.137084,0.000652
0.050000,8.216603,220.512468,0.009319,0.079574,0.884040,60.675035,0.000334
0.050000,8.247065,220.512466,0.039780,0.609234,10.593212,194.183433,6.282954
0.050000,8.347396,220.512398,0.140112,2.006624,27.947805,347.091858,6.282070
0.050000,8.491864,220.512145,0.284580,2.889367,17.654853,-205.859029,6.280798
0.050000,8.688488,220.511506,0.481205,3.932506,20.862780,64.158540,6.279068
0.050000,8.945281,220.510159,0.738002,5.135929,24.068461,64.113620,6.276810
0.050000,9.270237,220.507623,1.062967,6.499311,27.267630,63.983376,6.273956
0.050000,9.671344,220.503215,1.464099,8.022630,30.466394,63.975277,6.270437
0.050000,10.156562,220.495997,1.949370,9.705422,33.655839,63.788898,6.266187
0.050000,10.733819,220.484726,2.526738,11.547352,36.838591,63.655046,6.261140
0.050000,11.411001,220.467793,3.204131,13.547865,40.010264,63.433458,6.255234
0.050000,12.195929,220.443165,3.989446,15.706299,43.168681,63.168333,6.248409
0.050000,13.092332,220.408491,4.886519,17.941457,44.703155,30.689492,6.240643
0.050000,14.095852,220.361417,5.891143,20.092479,43.020441,-33.654284,6.231987
0.050000,15.198056,220.299704,6.995073,22.078604,39.722490,-65.959028,6.222529
0.050000,16.390438,220.221195,8.190036,23.899268,36.413283,-66.184145,6.212360
0.050000,17.664432,220.123894,9.467740,25.554080,33.096248,-66.340688,6.201572
0.050000,19.011420,220.006031,10.819875,27.042707,29.772530,-66.474360,6.190258
0.050000,20.422749,219.866120,12.238122,28.364938,26.444630,-66.558000,6.178512
0.050000,21.889753,219.703014,13.714165,29.520862,23.118476,-66.523090,6.166427
0.050000,23.403766,219.515944,15.239692,30.510538,19.793530,-66.498924,6.154099
0.050000,24.956162,219.304546,16.806415,31.334460,16.478435,-66.301896,6.141617
