dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,34.999858,222.500000,0.003571,0.142857,2.857143,57.142857,0.000011
0.050000,34.999878,222.500000,0.003591,0.000400,-2.849142,-114.125689,0.000010
0.050000,34.999923,222.500000,0.003636,0.000900,0.009990,57.182625,0.000006
0.050000,35.002146,222.500000,0.005859,0.044454,0.871095,17.222108,6.283185
0.050000,35.091556,222.500000,0.095269,1.788205,34.875007,680.078229,6.283175
0.050000,35.220306,222.499997,0.224020,2.575003,15.735977,-382.780587,6.283161
0.050000,35.395548,222.499991,0.399262,3.504845,18.596823,57.216925,6.283141
0.050000,35.624434,222.499978,0.628148,4.577719,21.457496,57.213461,6.283116
0.050000,35.914115,222.499954,0.917829,5.793616,24.317939,57.208856,6.283085
0.050000,36.271741,222.499911,1.275455,7.152521,27.178087,57.202949,6.283046
0.050000,36.704462,222.499841,1.708175,8.654414,30.037865,57.195575,6.283000
0.050000,37.219426,222.499731,2.223139,10.299274,32.897194,57.186574,6.282946
0.050000,37.823779,222.499567,2.827493,12.087073,35.755983,57.175780,6.282883
0.050000,38.524668,222.499330,3.528382,14.017780,38.614135,57.163033,6.282812
0.050000,39.325660,222.498999,4.329374,16.019841,40.041223,28.541769,6.282732
0.050000,40.223170,222.498554,5.226884,17.950197,38.607124,-28.681985,6.282646
0.050000,41.210036,222.497976,6.213750,19.737325,35.742560,-57.291279,6.282554
0.050000,42.279097,222.497249,7.282811,21.381227,32.878043,-57.290349,6.282457
0.050000,43.423192,222.496359,8.426907,22.881911,30.013670,-57.287460,6.282358
0.050000,44.635161,222.495296,9.638876,24.239387,27.149530,-57.282784,6.282258
0.050000,45.907844,222.494051,10.911560,25.453673,24.285707,-57.276475,6.282158
0.050000,47.234083,222.492622,12.237799,26.524786,21.422271,-57.268705,6.282058
0.050000,48.606719,222.491008,13.610436,27.452751,18.559290,-57.259628,6.281962
0.050000,50.018598,222.489214,15.022316,28.237592,15.696819,-57.249414,6.281869
0.050000,51.462563,222.487247,16.466283,28.879337,12.834908,-57.238223,6.281780
0.050000,52.931463,222.485121,17.935184,29.378017,9.973597,-57.226214,6.281696
0.050000,54.418144,222.482848,19.421867,29.733663,7.112920,-57.213558,6.281619
0.050000,55.915457,222.480449,20.919182,29.946308,4.252899,-57.200411,6.281548
0.050000,57.416255,222.477942,22.419982,30.015985,1.393552,-57.186941,6.281484
0.050000,58.916962,222.475345,23.920691,30.014190,-0.035909,-28.589213,6.281427
0.050000,60.417579,222.472669,25.421311,30.012394,-0.035909,0.000000,6.281378
0.050000,61.918107,222.469923,26.921841,30.010599,-0.035909,-0.000000,6.281335
0.050000,63.418544,222.467120,28.422281,30.008804,-0.035909,0.000001,6.281300
0.050000,64.918892,222.464269,29.922631,30.007008,-0.035909,0.000001,6.281272
0.050000,66.419150,222.461382,31.422892,30.005213,-0.035909,0.000000,6.281251
0.050000,67.919318,222.458469,32.923063,30.003417,-0.035909,-0.000000,6.281237
0.050000,69.419396,222.455541,34.423144,30.001622,-0.035909,0.000001,6.281231
0.050000,70.919385,222.452609,35.923135,29.999826,-0.035909,-0.000000,6.281232
0.050000,72.419283,222.449684,37.423037,29.998031,-0.035909,-0.000000,6.281239
0.050000,73.919092,222.446776,38.922849,29.996236,-0.035909,-0.000000,6.281254
0.050000,75.418811,222.443896,40.422571,29.994440,-0.035909,-0.000001,6.281277
0.050000,76.918441,222.441055,41.922203,29.992645,-0.035909,-0.000001,6.281306
0.050000,78.417981,222.438264,43.421745,29.990849,-0.035909,0.000001,6.281343
0.050000,79.917431,222.435533,44.921198,29.989054,-0.035909,-0.000002,6.281387
0.050000,81.416792,222.432873,46.420561,29.987258,-0.035909,-0.000001,6.281437
0.050000,82.916063,222.430295,47.919834,29.985463,-0.035909,0.000000,6.281496
0.050000,84.415244,222.427810,49.419017,29.983668,-0.035909,-0.000001,6.281561
0.050000,85.914336,222.425429,50.918111,29.981872,-0.035909,-0.000002,6.281633
0.050000,87.413338,222.423161,52.417115,29.980077,-0.035909,-0.000001,6.281713
0.050000,88.912250,222.421019,53.916029,29.978281,-0.035909,0.000001,6.281800
0.050000,90.411073,222.419012,55.414853,29.976486,-0.035909,-0.000003,6.281894
0.050000,91.909807,222.417152,56.913588,29.974690,-0.035909,-0.000001,6.281995
0.050000,93.408450,222.415449,58.412232,29.972895,-0.035909,0.000000,6.282104
0.050000,94.907005,222.413914,59.910787,29.971099,-0.035909,-0.000001,6.282219
0.050000,96.405469,222.412558,61.409253,29.969304,-0.035909,-0.000001,6.282342
0.050000,97.903844,222.411391,62.907628,29.967509,-0.035909,-0.000000,6.282472
0.050000,99.402129,222.410424,64.405914,29.965713,-0.035909,0.000001,6.282609
0.050000,100.900325,222.409668,65.904110,29.963918,-0.035909,-0.000002,6.282754
0.050000,102.398431,222.409134,67.402216,29.962122,-0.035909,0.000001,6.282905
0.050000,103.896447,222.408832,68.900232,29.960327,-0.035909,0.000001,6.283064
0.050000,105.394374,222.408774,70.398159,29.958531,-0.035909,0.000001,0.000044
0.050000,106.892211,222.408969,71.895995,29.956736,-0.035909,0.000001,0.000217
0.050000,108.389958,222.409429,73.393742,29.954940,-0.035909,0.000002,0.000398
0.050000,109.887615,222.410164,74.891400,29.953145,-0.035909,0.000001,0.000585
0.050000,111.385182,222.411185,76.388967,29.951350,-0.035909,0.000004,0.000780
0.050000,112.882659,222.412502,77.886445,29.949554,-0.035908,0.000004,0.000981
0.050000,114.380046,222.414128,79.383833,29.947759,-0.035908,0.000002,0.001190
0.050000,115.877343,222.416071,80.881131,29.945963,-0.035908,0.000004,0.001407
0.050000,117.374550,222.418343,82.378339,29.944168,-0.035908,0.000007,0.001630
0.050000,118.871666,222.420955,83.875458,29.942373,-0.035907,0.000007,0.001860
0.050000,120.368692,222.423917,85.372487,29.940577,-0.035907,-0.000001,0.002098
0.050000,121.865627,222.427240,86.869426,29.938782,-0.035907,0.000014,0.002343
0.050000,123.362472,222.430935,88.366275,29.936987,-0.035906,0.000009,0.002595
0.050000,124.859226,222.435012,89.863035,29.935191,-0.035906,0.000004,0.002854
0.050000,126.355889,222.439483,91.359705,29.933396,-0.035906,0.000009,0.003121
0.050000,127.852461,222.444357,92.856285,29.931601,-0.035905,0.000018,0.003394
0.050000,129.348942,222.449645,94.352775,29.929806,-0.035904,0.000014,0.003675
0.050000,130.845332,222.455359,95.849176,29.928010,-0.035904,-0.000004,0.003963
0.050000,132.341630,222.461509,97.345486,29.926215,-0.035903,0.000032,0.004258
0.050000,133.837837,222.468106,98.841707,29.924420,-0.035902,0.000018,0.004560
0.050000,135.333951,222.475159,100.337839,29.922625,-0.035901,0.000007,0.004870
0.050000,136.829974,222.482681,101.833880,29.920830,-0.035900,0.000018,0.005187
0.050000,138.325904,222.490681,103.329832,29.919035,-0.035899,0.000035,0.005511
0.050000,139.821742,222.499171,104.825694,29.917240,-0.035897,0.000025,0.005842
0.050000,141.195810,222.507592,106.199788,27.481877,-48.707272,-973.427487,0.006436
0.050000,142.687608,222.517684,107.691620,29.836641,47.095283,1916.051087,0.007089
0.050000,144.179637,222.528737,109.183690,29.841409,0.095361,-939.998440,0.007724
0.050000,145.671898,222.540725,110.675999,29.846177,0.095371,0.000204,0.008339
0.050000,147.164390,222.553619,112.168546,29.850946,0.095375,0.000087,0.008935
0.050000,148.657112,222.567390,113.661332,29.855715,0.095380,0.000100,0.009512
0.050000,150.150065,222.582011,115.154356,29.860484,0.095387,0.000137,0.010071
0.050000,151.643248,222.597454,116.647619,29.865254,0.095390,0.000056,0.010610
0.050000,153.136660,222.613689,118.141120,29.870024,0.095393,0.000071,0.011129
0.050000,154.630303,222.630690,119.634860,29.874794,0.095397,0.000081,0.011630
0.050000,156.124176,222.648427,121.128838,29.879563,0.095399,0.000036,0.012112
0.050000,157.618279,222.666872,122.623055,29.884334,0.095401,0.000045,0.012575
0.050000,159.112612,222.685998,124.117510,29.889104,0.095403,0.000037,0.013018
0.050000,160.607175,222.705775,125.612204,29.893874,0.095405,0.000023,0.013443
0.050000,162.101968,222.726176,127.107136,29.898644,0.095406,0.000024,0.013848
0.050000,163.596991,222.747172,128.602307,29.903415,0.095406,0.000005,0.014235
0.050000,165.092245,222.768735,130.097716,29.908185,0.095407,0.000016,0.014602
0.050000,166.587729,222.790836,131.593364,29.912955,0.095407,0.000007,0.014950
0.050000,168.083445,222.813447,133.089250,29.917726,0.095406,-0.000018,0.015279
0.050000,169.579391,222.836540,134.585375,29.922496,0.095407,0.000013,0.015589
0.050000,171.075569,222.860086,136.081738,29.927266,0.095407,-0.000005,0.015880
0.050000,172.571979,222.884056,137.578340,29.932036,0.095405,-0.000030,0.016152
0.050000,174.068621,222.908424,139.075180,29.936807,0.095406,0.000011,0.016405
0.050000,175.565496,222.933159,140.572259,29.941577,0.095405,-0.000013,0.016638
0.050000,177.062603,222.958234,142.069576,29.946347,0.095403,-0.000032,0.016853
0.050000,178.559944,222.983619,143.567132,29.951117,0.095404,0.000007,0.017048
0.050000,180.057518,223.009288,145.064927,29.955887,0.095403,-0.000017,0.017225
0.050000,181.555327,223.035210,146.562959,29.960658,0.095402,-0.000027,0.017382
0.050000,183.053370,223.061358,148.061231,29.965428,0.095402,0.000004,0.017521
0.050000,184.551648,223.087703,149.559741,29.970198,0.095401,-0.000016,0.017640
0.050000,186.050162,223.114217,151.058489,29.974968,0.095400,-0.000019,0.017740
0.050000,187.548912,223.140870,152.557476,29.979738,0.095400,0.000002,0.017821
0.050000,189.047898,223.167635,154.056701,29.984508,0.095399,-0.000012,0.017883
0.050000,190.547122,223.194483,155.556165,29.989278,0.095399,-0.000010,0.017926
0.050000,192.046583,223.221386,157.055868,29.994048,0.095399,0.000000,0.017950
0.050000,193.546282,223.248313,158.555808,29.998818,0.095399,-0.000005,0.017954
