dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,35.256027,222.497378,0.003571,0.142857,2.857143,57.142857,6.262702
0.050000,35.255859,222.497381,0.003740,0.003370,-2.789742,-112.937692,6.262715
0.050000,35.255480,222.497389,0.004119,0.007580,0.084191,57.478647,6.262745
0.050000,35.275358,222.496983,0.024001,0.397635,7.801107,154.338320,6.262799
0.050000,35.363574,222.495189,0.112236,1.764703,27.341356,390.804991,6.262883
0.050000,35.490610,222.492617,0.239297,2.541229,15.530522,-236.216674,6.263004
0.050000,35.663525,222.489141,0.412247,3.459003,18.355481,56.499164,6.263168
0.050000,35.889384,222.484643,0.638151,4.518069,21.181324,56.516860,6.263382
0.050000,36.175253,222.479020,0.924075,5.718486,24.008333,56.540187,6.263651
0.050000,36.528203,222.472183,1.277092,7.060329,26.836858,56.570491,6.263981
0.050000,36.955310,222.464064,1.704276,8.543692,29.667263,56.608107,6.264377
0.050000,37.463657,222.454621,2.212711,10.168690,32.499961,56.653964,6.264845
0.050000,38.060333,222.443839,2.809484,11.935461,35.335414,56.709067,6.265389
0.050000,38.752435,222.431738,3.501692,13.844167,38.174124,56.774182,6.266013
0.050000,39.543541,222.418430,4.292909,15.824348,39.603629,28.590103,6.266715
0.050000,40.430168,222.404170,5.179652,17.734844,38.209926,-27.874064,6.267490
0.050000,41.405307,222.389273,6.154904,19.505042,35.403953,-56.119460,6.268327
0.050000,42.461943,222.374044,7.211650,21.134930,32.597767,-56.123706,6.269216
0.050000,43.593064,222.358770,8.342874,22.624473,29.790844,-56.138467,6.270147
0.050000,44.791650,222.343721,9.541554,23.973609,26.982733,-56.162226,6.271109
0.050000,46.050679,222.329139,10.800667,25.182260,24.173019,-56.194267,6.272095
0.050000,47.363121,222.315241,12.113184,26.250327,21.361333,-56.233717,6.273093
0.050000,48.721944,222.302213,13.472068,27.177693,18.547318,-56.280305,6.274097
0.050000,50.120103,222.290208,14.870280,27.964228,15.730707,-56.332227,6.275097
0.050000,51.550552,222.279350,16.300769,28.609789,12.911227,-56.389585,6.276086
0.050000,53.006231,222.269727,17.756480,29.114224,10.088684,-56.450869,6.277058
0.050000,54.480076,222.261400,19.230349,29.477369,7.262900,-56.515688,6.278006
