dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,34.743973,197.502622,0.003571,0.142857,2.857143,57.142857,6.262702
0.050000,34.744141,197.502619,0.003740,0.003370,-2.789742,-112.937692,6.262715
0.050000,34.744520,197.502611,0.004119,0.007580,0.084191,57.478647,6.262745
0.050000,34.765744,197.502178,0.025347,0.424564,8.339684,165.109868,6.262799
0.050000,34.856061,197.500340,0.115683,1.806726,27.643242,386.071159,6.262883
0.050000,34.986116,197.497708,0.245765,2.601628,15.898047,-234.903891,6.263004
0.050000,35.163130,197.494149,0.422815,3.540997,18.787376,57.786578,6.263168
0.050000,35.394324,197.489546,0.654054,4.624788,21.675823,57.768941,6.263382
0.050000,35.686914,197.483790,0.946701,5.852943,24.563088,57.745297,6.263651
0.050000,36.048116,197.476793,1.307970,7.225385,27.448855,57.715337,6.263981
0.050000,36.485138,197.468486,1.745072,8.742022,30.332741,57.677713,6.264377
0.050000,37.005185,197.458825,2.265209,10.402739,33.214325,57.631681,6.264845
0.050000,37.615455,197.447798,2.875578,12.207396,36.093153,57.576573,6.265389
0.050000,38.323139,197.435424,3.583370,14.155833,38.968727,57.511472,6.266013
0.050000,39.131807,197.421820,4.392153,16.175651,40.396369,28.552836,6.266715
0.050000,40.037805,197.407249,5.298267,18.122298,38.932934,-29.268697,6.267490
0.050000,41.033865,197.392033,6.294444,19.923528,36.024603,-58.166624,6.268327
0.050000,42.112721,197.376483,7.373412,21.579354,33.116519,-58.161683,6.269216
0.050000,43.267106,197.360895,8.527902,23.089812,30.209153,-58.147303,6.270147
0.050000,44.489758,197.345544,9.750650,24.454960,27.302974,-58.123587,6.271109
0.050000,45.773415,197.330677,11.034394,25.674880,24.398401,-58.091462,6.272095
0.050000,47.110824,197.316514,12.371878,26.749671,21.495816,-58.051702,6.273093
0.050000,48.494733,197.303245,13.755850,27.679448,18.595531,-58.005697,6.274097
0.050000,49.917897,197.291026,15.179067,28.464341,15.697867,-57.953283,6.275097
0.050000,51.373080,197.279980,16.634292,29.104494,12.803055,-57.896244,6.276086
0.050000,52.853051,197.270197,18.114295,29.600060,9.911319,-57.834724,6.277058
0.050000,54.350587,197.261735,19.611855,29.951201,7.022818,-57.770014,6.278006
0.050000,55.858474,197.254621,21.119759,30.158085,4.137681,-57.702744,6.278924
0.050000,57.369508,197.248854,22.630803,30.220884,1.255993,-57.633749,6.279807
0.050000,58.880086,197.244396,24.141388,30.211696,-0.183767,-28.795213,6.280654
0.050000,60.390208,197.241189,25.651513,30.202507,-0.183782,-0.000292,6.281464
0.050000,61.899872,197.239179,27.161179,30.193317,-0.183793,-0.000228,6.282237
0.050000,63.409078,197.238309,28.670386,30.184127,-0.183802,-0.000170,6.282974
0.050000,64.917825,197.238523,30.179132,30.174937,-0.183809,-0.000142,0.000488
0.050000,66.426112,197.239764,31.687420,30.165746,-0.183814,-0.000098,0.001151
0.050000,67.933938,197.241977,33.195247,30.156555,-0.183818,-0.000072,0.001778
0.050000,69.441303,197.245105,34.702616,30.147364,-0.183820,-0.000043,0.002367
0.050000,70.948206,197.249093,36.209524,30.138173,-0.183820,-0.000010,0.002920
0.050000,72.454648,197.253884,37.715973,30.128982,-0.183821,-0.000007,0.003436
0.050000,73.960627,197.259424,39.221963,30.119791,-0.183820,0.000015,0.003915
0.050000,75.466144,197.265655,40.727493,30.110600,-0.183818,0.000042,0.004357
0.050000,76.971199,197.272523,42.232563,30.101409,-0.183816,0.000030,0.004763
0.050000,78.475792,197.279971,43.737174,30.092219,-0.183814,0.000042,0.005132
0.050000,79.979922,197.287945,45.241326,30.083028,-0.183811,0.000064,0.005464
0.050000,81.483590,197.296387,46.745018,30.073838,-0.183809,0.000043,0.005759
0.050000,82.986796,197.305244,48.248250,30.064647,-0.183806,0.000046,0.006018
0.050000,84.489541,197.314458,49.751023,30.055457,-0.183803,0.000062,0.006240
0.050000,85.991824,197.323976,51.253336,30.046267,-0.183801,0.000039,0.006425
0.050000,87.493646,197.333740,52.755190,30.037077,-0.183800,0.000035,0.006573
0.050000,88.995008,197.343697,54.256584,30.027887,-0.183797,0.000042,0.006685
0.050000,90.495909,197.353791,55.757519,30.018697,-0.183796,0.000021,0.006759
0.050000,91.996350,197.363966,57.257995,30.009508,-0.183796,0.000015,0.006797
0.050000,93.496331,197.374168,58.758011,30.000318,-0.183795,0.000011,0.006799
0.050000,94.995853,197.384341,60.257567,29.991128,-0.183795,-0.000003,0.006763
0.050000,96.494916,197.394430,61.756664,29.981938,-0.183796,-0.000007,0.006691
0.050000,97.993520,197.404380,63.255301,29.972749,-0.183797,-0.000023,0.006582
0.050000,99.491666,197.414136,64.753479,29.963559,-0.183798,-0.000029,0.006436
0.050000,100.989354,197.423643,66.251198,29.954369,-0.183799,-0.000024,0.006254
0.050000,102.486585,197.432847,67.748457,29.945179,-0.183802,-0.000054,0.006034
0.050000,103.983358,197.441692,69.245256,29.935988,-0.183805,-0.000049,0.005778
0.050000,105.479674,197.450124,70.741596,29.926798,-0.183806,-0.000033,0.005485
0.050000,106.975534,197.458087,72.237476,29.917607,-0.183810,-0.000074,0.005156
0.050000,108.470936,197.465528,73.732897,29.908417,-0.183813,-0.000056,0.004790
0.050000,109.965882,197.472392,75.227858,29.899226,-0.183814,-0.000030,0.004386
0.050000,111.460370,197.478623,76.722360,29.890035,-0.183818,-0.000073,0.003947
0.050000,112.954402,197.484168,78.216402,29.880844,-0.183820,-0.000043,0.003470
0.050000,114.447977,197.488972,79.709985,29.871653,-0.183821,-0.000013,0.002957
0.050000,115.941095,197.492981,81.203108,29.862462,-0.183823,-0.000041,0.002406
0.050000,117.433755,197.496139,82.695772,29.853271,-0.183823,-0.000004,0.001820
0.050000,118.925957,197.498394,84.187976,29.844080,-0.183822,0.000027,0.001196
0.050000,120.417701,197.499689,85.679720,29.834889,-0.183820,0.000026,0.000535
0.050000,121.742992,197.499692,87.005011,26.505810,-66.581574,-1327.955074,6.279621
0.050000,122.920741,197.480588,88.182915,23.558088,-58.954448,152.542512,6.253856
0.050000,124.069275,197.431075,89.332515,22.992006,-11.321635,952.656260,6.225829
0.050000,125.184549,197.350263,90.450714,22.363969,-12.560740,-24.782099,6.195286
0.050000,126.262013,197.237556,91.534057,21.666861,-13.942155,-27.628297,6.161958
0.050000,127.296899,197.092729,92.579027,20.899410,-15.349029,-28.137485,6.125560
0.050000,128.284182,196.916063,93.581992,20.059289,-16.802410,-29.067617,6.085803
0.050000,129.218912,196.708426,94.539506,19.150278,-18.180227,-27.556328,6.042412
0.050000,130.096602,196.471311,95.448662,18.183119,-19.343183,-23.259126,5.995151
0.050000,130.913647,196.206806,96.307455,17.175859,-20.145192,-16.040187,5.943862
0.050000,131.667987,195.917366,97.115417,16.159256,-20.332072,-3.737603,5.888507
0.050000,132.359775,195.605362,97.874310,15.177843,-19.628260,14.076257,5.829228
0.050000,132.991873,195.272419,98.588732,14.288453,-17.787799,36.809219,5.766391
0.050000,133.570024,194.918579,99.266567,13.556695,-14.635162,63.052739,5.700628
0.050000,134.102504,194.541511,99.919035,13.049371,-10.146475,89.773729,5.632836
0.050000,134.599111,194.136097,100.560112,12.821541,-4.556602,111.797459,5.564132
0.050000,135.069743,193.694636,101.205389,12.905535,1.679894,124.729932,5.495765
0.050000,135.522917,193.207774,101.870522,13.302651,7.942304,125.248194,5.428986
0.050000,135.964698,192.665899,102.569663,13.982834,13.603672,113.227364,5.364927
0.050000,136.398340,192.060599,103.314266,14.892056,18.184442,91.615389,5.304504
0.050000,136.824589,191.385738,104.112468,15.964035,21.439577,65.102709,5.248369
0.050000,137.242434,190.637941,104.969086,17.132359,23.366480,38.538063,5.196906
0.050000,137.649958,189.816519,105.886043,18.339139,24.135596,15.382309,5.150269
0.050000,138.045081,188.922996,106.863031,19.539762,24.012461,-2.462698,5.108434
0.050000,138.426067,187.960491,107.898196,20.703302,23.270793,-14.833351,5.071252
0.050000,138.791802,186.933092,108.988751,21.811098,22.155927,-22.297326,5.038500
0.050000,139.141897,185.845333,110.131461,22.854205,20.862134,-25.875860,5.009920
0.050000,139.476672,184.701805,111.322985,23.830481,19.525530,-26.732080,4.985245
0.050000,139.797089,183.506882,112.560122,24.742739,18.245163,-25.607347,4.964217
0.050000,140.104658,182.264573,113.839938,25.596322,17.071663,-23.469989,4.946604
0.050000,140.401354,180.978415,115.159874,26.398722,16.047992,-20.473428,4.932200
0.050000,140.689537,179.651452,116.517771,27.157926,15.184085,-17.278130,4.920832
0.050000,140.971905,178.286225,117.911892,27.882425,14.489971,-13.882294,4.912362
0.050000,141.251459,176.884797,119.340931,28.580771,13.966931,-10.460798,4.906685
0.050000,141.531491,175.448774,120.804003,29.261450,13.613569,-7.067242,4.903731
0.050000,141.815593,173.979339,122.300650,29.932946,13.429931,-3.672749,4.903462
0.050000,142.107676,172.477296,123.830829,30.603575,13.412568,-0.347257,4.905877
0.050000,142.412021,170.943107,125.394914,31.281694,13.562390,2.996443,4.911004
0.050000,142.733325,169.376939,126.993700,31.975722,13.880559,6.363363,4.918907
0.050000,143.076785,167.778720,128.628408,32.694164,14.368827,9.765363,4.929684
0.050000,143.448179,166.148205,130.300686,33.445548,15.027699,13.177449,4.943467
0.050000,143.853972,164.485075,132.012605,34.238394,15.856901,16.584037,4.960422
0.050000,144.301423,162.789065,133.766647,35.080835,16.848834,19.838651,4.980748
0.050000,144.798698,161.060145,135.565660,35.980259,17.988480,22.792921,5.004673
0.050000,145.354976,159.298743,137.412815,36.943095,19.256720,25.364806,5.032449
0.050000,145.980483,157.506137,139.311418,37.972075,20.579595,26.457492,5.064344
0.050000,146.686482,155.684856,141.264749,39.066603,21.890565,26.219419,5.100619
0.050000,147.485082,153.839268,143.275708,40.219187,23.051675,23.222189,5.141507
0.050000,148.388847,151.976239,145.346376,41.413366,23.883578,16.638067,5.187175
0.050000,149.410067,150.105818,147.477424,42.620958,24.151842,5.365270,5.237677
0.050000,150.559669,148.241818,149.667420,43.799918,23.579195,-11.452930,5.292899
0.050000,151.845769,146.402017,151.912174,44.895074,21.903121,-33.521476,5.352506
0.050000,153.272031,144.607774,154.204232,45.841169,18.921895,-59.624528,5.415902
0.050000,154.836197,142.882789,156.532791,46.571184,14.600305,-86.431793,5.482221
0.050000,155.988994,141.728810,158.163929,32.622753,-278.968611,-5871.378321,5.503957
0.050000,157.142110,140.600146,159.777483,32.271088,-7.033297,5438.706276,5.513041
0.050000,158.304952,139.482410,161.390411,32.258542,-0.250923,135.647480,5.522076
0.050000,159.477314,138.375665,163.002651,32.244808,-0.274679,-0.475115,5.531056
0.050000,160.658995,137.279959,164.614154,32.230057,-0.295032,-0.407057,5.539976
0.050000,161.849787,136.195331,166.224869,32.214303,-0.315070,-0.400772,5.548834
0.050000,163.049484,135.121809,167.834752,32.197653,-0.332997,-0.358544,5.557625
0.050000,164.257868,134.059417,169.443748,32.179926,-0.354555,-0.431153,5.566345
0.050000,165.474725,133.008168,171.051811,32.161255,-0.373405,-0.376997,5.574991
0.050000,166.699838,131.968064,172.658894,32.141666,-0.391788,-0.367672,5.583558
0.050000,167.932988,130.939101,174.264953,32.121182,-0.409670,-0.357640,5.592043
0.050000,169.173956,129.921262,175.869945,32.099831,-0.427019,-0.346979,5.600443
0.050000,170.422522,128.914523,177.473827,32.077641,-0.443808,-0.335765,5.608754
0.050000,171.678464,127.918854,179.076559,32.054641,-0.460011,-0.324077,5.616972
0.050000,172.941563,126.934211,180.678102,32.030860,-0.475611,-0.311989,5.625096
0.050000,174.211599,125.960546,182.278418,32.006330,-0.490590,-0.299572,5.633122
0.050000,175.488351,124.997801,183.877472,31.981084,-0.504934,-0.286898,5.641047
0.050000,176.771602,124.045910,185.475230,31.955152,-0.518636,-0.274034,5.648868
0.050000,178.061135,123.104800,187.071658,31.928568,-0.531688,-0.261044,5.656582
0.050000,179.356734,122.174389,188.666727,31.901363,-0.544088,-0.247990,5.664188
0.050000,180.658187,121.254588,190.260405,31.873571,-0.555834,-0.234929,5.671683
0.050000,181.965281,120.345303,191.852666,31.845225,-0.566930,-0.221915,5.679064
0.050000,183.277809,119.446430,193.443484,31.816356,-0.577380,-0.209000,5.686329
0.050000,184.595563,118.557861,195.032834,31.786996,-0.587191,-0.196229,5.693478
0.050000,185.918342,117.679480,196.620693,31.757178,-0.596374,-0.183645,5.700507
0.050000,187.245943,116.811166,198.207039,31.726931,-0.604938,-0.171288,5.707415
0.050000,188.578171,115.952792,199.791854,31.696286,-0.612898,-0.159193,5.714200
0.050000,189.914831,115.104225,201.375117,31.665273,-0.620267,-0.147392,5.720861
0.050000,191.255731,114.265329,202.956813,31.633919,-0.627063,-0.135913,5.727397
0.050000,192.600686,113.435961,204.536926,31.602254,-0.633302,-0.124781,5.733807
0.050000,193.949512,112.615973,206.115441,31.570304,-0.639003,-0.114017,5.740088
0.050000,195.302028,111.805215,207.692346,31.538095,-0.644185,-0.103638,5.746241
0.050000,196.658059,111.003531,209.267629,31.505651,-0.648868,-0.093662,5.752263
