dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,35.000440,222.500000,0.003571,0.142857,2.857143,57.142857,6.283150
0.050000,35.000370,222.500000,0.003641,0.001398,-2.829192,-113.726701,6.283156
0.050000,35.000213,222.500000,0.003798,0.003142,0.034892,57.281678,6.283168
0.050000,35.013427,222.500000,0.017012,0.264269,5.222532,103.752804,0.000005
0.050000,35.102277,222.500002,0.105863,1.777019,30.255007,500.649511,0.000040
0.050000,35.230225,222.500010,0.233810,2.558951,15.638643,-292.327281,0.000090
0.050000,35.404380,222.500032,0.407965,3.483100,18.482975,56.886633,0.000158
0.050000,35.631855,222.500078,0.635440,4.549499,21.327985,56.900203,0.000245
0.050000,35.919765,222.500164,0.923350,5.758194,24.173897,56.918238,0.000355
0.050000,36.275227,222.500315,1.278812,7.109242,27.020966,56.941376,0.000490
0.050000,36.705363,222.500560,1.708948,8.602716,29.869479,56.970258,0.000650
0.050000,37.217298,222.500941,2.220883,10.238704,32.719755,57.005516,0.000838
0.050000,37.818163,222.501510,2.821749,12.017311,35.572144,57.047790,0.001055
0.050000,38.515096,222.502331,3.518682,13.938663,38.427030,57.097722,0.001300
0.050000,39.311683,222.503476,4.315271,15.931776,39.862258,28.704553,0.001573
0.050000,40.204407,222.505013,5.207996,17.854500,38.454491,-28.155336,0.001869
0.050000,41.186192,222.507004,6.189782,19.635736,35.624721,-56.595393,0.002184
0.050000,42.249963,222.509502,7.253556,21.275475,32.794770,-56.599036,0.002510
0.050000,43.388643,222.512552,8.392241,22.773687,29.964252,-56.610349,0.002844
0.050000,44.595154,222.516188,9.598757,24.130328,27.132818,-56.628684,0.003180
0.050000,45.862414,222.520431,10.866024,25.345336,24.300149,-56.653379,0.003513
0.050000,47.183336,222.525288,12.186955,26.418634,21.465958,-56.683823,0.003838
0.050000,48.550832,222.530755,13.554462,27.350133,18.629989,-56.719385,0.004152
0.050000,49.957806,222.536809,14.961449,28.139734,15.792018,-56.759402,0.004450
0.050000,51.397157,222.543419,16.400815,28.787327,12.951857,-56.803238,0.004730
0.050000,52.861779,222.550538,17.865455,29.292794,10.109343,-56.850275,0.004987
0.050000,54.344561,222.558109,19.348255,29.656011,7.264350,-56.899849,0.005220
0.050000,55.838382,222.566065,20.842098,29.876851,4.416783,-56.951349,0.005427
0.050000,57.336118,222.574331,22.339857,29.955179,1.566577,-57.004110,0.005606
0.050000,58.834205,222.582846,23.837967,29.962212,0.140641,-28.518731,0.005757
0.050000,60.332641,222.591569,25.336430,29.969243,0.140640,-0.000024,0.005880
0.050000,61.831429,222.600457,26.835243,29.976275,0.140639,-0.000020,0.005975
0.050000,63.330567,222.609469,28.334409,29.983307,0.140638,-0.000016,0.006042
0.050000,64.830056,222.618561,29.833926,29.990339,0.140637,-0.000012,0.006081
0.050000,66.329897,222.627693,31.333794,29.997371,0.140637,-0.000007,0.006091
0.050000,67.830090,222.636821,32.834014,30.004403,0.140637,-0.000003,0.006074
0.050000,69.330634,222.645904,34.334586,30.011435,0.140637,0.000002,0.006028
0.050000,70.831530,222.654900,35.835510,30.018467,0.140637,0.000007,0.005954
0.050000,72.332779,222.663765,37.336784,30.025498,0.140638,0.000011,0.005852
0.050000,73.834380,222.672459,38.838411,30.032530,0.140639,0.000016,0.005722
0.050000,75.336334,222.680937,40.340389,30.039562,0.140640,0.000020,0.005564
0.050000,76.838642,222.689159,41.842719,30.046594,0.140641,0.000023,0.005377
0.050000,78.341302,222.697082,43.345400,30.053627,0.140642,0.000026,0.005163
0.050000,79.844316,222.704663,44.848433,30.060659,0.140643,0.000028,0.004920
0.050000,81.347683,222.711860,46.351818,30.067691,0.140645,0.000029,0.004649
0.050000,82.851404,222.718630,47.855554,30.074723,0.140646,0.000030,0.004350
0.050000,84.355479,222.724931,49.359642,30.081756,0.140648,0.000029,0.004023
0.050000,85.859907,222.730720,50.864081,30.088788,0.140649,0.000027,0.003668
0.050000,87.364689,222.735955,52.368872,30.095821,0.140650,0.000024,0.003285
0.050000,88.869824,222.740594,53.874015,30.102853,0.140651,0.000020,0.002874
0.050000,90.375313,222.744593,55.379509,30.109886,0.140652,0.000014,0.002434
0.050000,91.881156,222.747909,56.885355,30.116918,0.140652,0.000006,0.001966
0.050000,93.387351,222.750501,58.391552,30.123951,0.140652,-0.000003,0.001471
0.050000,94.893899,222.752326,59.898102,30.130984,0.140652,-0.000014,0.000947
0.050000,96.400800,222.753340,61.405002,30.138016,0.140650,-0.000026,0.000395
0.050000,97.908052,222.753501,62.912255,30.145049,0.140648,-0.000041,6.283000
0.050000,99.415656,222.752766,64.419859,30.152081,0.140645,-0.000058,6.282391
0.050000,100.923611,222.751092,65.927815,30.159113,0.140641,-0.000077,6.281755
0.050000,102.431915,222.748437,67.436122,30.166145,0.140637,-0.000098,6.281090
0.050000,103.940570,222.744757,68.944781,30.173176,0.140630,-0.000122,6.280398
0.050000,105.449573,222.740010,70.453791,30.180207,0.140623,-0.000148,6.279677
0.050000,106.958923,222.734153,71.963153,30.187238,0.140614,-0.000177,6.278928
0.050000,108.468620,222.727142,73.472866,30.194268,0.140604,-0.000209,6.278151
0.050000,109.978663,222.718936,74.982931,30.201298,0.140592,-0.000243,6.277346
0.050000,111.489050,222.709489,76.493347,30.208327,0.140577,-0.000281,6.276512
0.050000,112.999779,222.698761,78.004115,30.215355,0.140561,-0.000321,6.275651
0.050000,114.510850,222.686707,79.515234,30.222382,0.140543,-0.000365,6.274761
0.050000,116.022261,222.673284,81.026705,30.229408,0.140523,-0.000412,6.273844
0.050000,117.534010,222.658450,82.538526,30.236433,0.140500,-0.000462,6.272898
0.050000,119.046095,222.642162,84.050699,30.243457,0.140474,-0.000516,6.271924
0.050000,120.558515,222.624375,85.563223,30.250479,0.140445,-0.000573,6.270922
0.050000,122.071266,222.605047,87.076098,30.257500,0.140413,-0.000634,6.269892
0.050000,123.584347,222.584135,88.589324,30.264519,0.140378,-0.000699,6.268834
0.050000,125.097756,222.561596,90.102901,30.271536,0.140340,-0.000770,6.267748
0.050000,126.611490,222.537386,91.616828,30.278550,0.140298,-0.000848,6.266634
0.050000,128.125547,222.511462,93.131107,30.285563,0.140252,-0.000908,6.265491
0.050000,129.575895,222.484809,94.581700,29.011870,-25.473865,-512.282351,6.263864
0.050000,131.103254,222.453589,96.109378,30.553567,30.833935,1126.156000,6.261650
0.050000,132.629083,222.419109,97.635596,30.524355,-0.584230,-628.363290,6.259553
0.050000,134.153377,222.381554,99.160353,30.495132,-0.584460,-0.004610,6.257572
0.050000,135.676135,222.341108,100.683648,30.465900,-0.584645,-0.003694,6.255708
0.050000,137.197356,222.297955,102.205481,30.436661,-0.584782,-0.002737,6.253962
0.050000,138.717040,222.252278,103.725852,30.407416,-0.584883,-0.002019,6.252332
0.050000,140.235189,222.204259,105.244760,30.378169,-0.584951,-0.001354,6.250819
0.050000,141.751806,222.154081,106.762206,30.348919,-0.584991,-0.000802,6.249424
0.050000,143.266892,222.101925,108.278189,30.319669,-0.585011,-0.000396,6.248145
0.050000,144.780451,222.047973,109.792710,30.290418,-0.585010,0.000012,6.246983
0.050000,146.292489,221.992405,111.305769,30.261168,-0.585000,0.000202,6.245939
0.050000,147.803010,221.935401,112.817365,30.231920,-0.584976,0.000482,6.245011
0.050000,149.312019,221.877140,114.327498,30.202672,-0.584951,0.000503,6.244200
0.050000,150.819523,221.817802,115.836170,30.173426,-0.584917,0.000668,6.243507
0.050000,152.325528,221.757564,117.343379,30.144182,-0.584889,0.000570,6.242930
0.050000,153.830040,221.696606,118.849126,30.114939,-0.584857,0.000631,6.242470
0.050000,155.333067,221.635103,120.353410,30.085697,-0.584834,0.000465,6.242127
0.050000,156.834616,221.573233,121.856233,30.056457,-0.584812,0.000434,6.241901
0.050000,158.334694,221.511173,123.357594,30.027217,-0.584800,0.000247,6.241793
0.050000,159.833307,221.449097,124.857493,29.997977,-0.584793,0.000138,6.241801
0.050000,161.330465,221.387181,126.355930,29.968737,-0.584794,-0.000023,6.241926
0.050000,162.826172,221.325600,127.852905,29.939497,-0.584804,-0.000190,6.242168
0.050000,164.320438,221.264529,129.348418,29.910256,-0.584818,-0.000288,6.242527
0.050000,165.813267,221.204140,130.842468,29.881014,-0.584842,-0.000487,6.243003
0.050000,167.304668,221.144608,132.335057,29.851771,-0.584867,-0.000490,6.243596
0.050000,168.794646,221.086104,133.826183,29.822526,-0.584901,-0.000687,6.244305
0.050000,170.283208,221.028802,135.315847,29.793279,-0.584930,-0.000572,6.245132
0.050000,171.770358,220.972872,136.804049,29.764031,-0.584966,-0.000722,6.246076
