dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,35.000000,197.500000,0.003571,0.142857,2.857143,57.142857,0.000000
0.050000,35.000000,197.500000,0.003571,0.000000,-2.857143,-114.285714,0.000000
0.050000,35.000000,197.500000,0.003571,0.000000,0.000000,57.142857,0.000000
0.050000,35.013492,197.500000,0.017064,0.269847,5.396934,107.938687,0.000000
0.050000,35.102778,197.500000,0.106349,1.785714,30.317351,498.408340,0.000000
0.050000,35.231349,197.500000,0.234921,2.571429,15.714286,-292.061313,0.000000
0.050000,35.406349,197.500000,0.409921,3.500000,18.571429,57.142857,0.000000
0.050000,35.634921,197.500000,0.638492,4.571429,21.428571,57.142857,0.000000
0.050000,35.924207,197.500000,0.927778,5.785714,24.285714,57.142857,0.000000
0.050000,36.281349,197.500000,1.284921,7.142857,27.142857,57.142857,0.000000
0.050000,36.713492,197.500000,1.717064,8.642857,30.000000,57.142857,0.000000
0.050000,37.227778,197.500000,2.231349,10.285714,32.857143,57.142857,0.000000
0.050000,37.831349,197.500000,2.834921,12.071429,35.714286,57.142857,0.000000
0.050000,38.531349,197.500000,3.534921,14.000000,38.571429,57.142857,0.000000
0.050000,39.331349,197.500000,4.334921,16.000000,40.000000,28.571429,0.000000
0.050000,40.227778,197.500000,5.231349,17.928571,38.571429,-28.571429,0.000000
0.050000,41.213492,197.500000,6.217064,19.714286,35.714286,-57.142857,0.000000
0.050000,42.281349,197.500000,7.284921,21.357143,32.857143,-57.142857,0.000000
0.050000,43.424207,197.500000,8.427778,22.857143,30.000000,-57.142857,0.000000
0.050000,44.634921,197.500000,9.638492,24.214286,27.142857,-57.142857,0.000000
0.050000,45.906349,197.500000,10.909921,25.428571,24.285714,-57.142857,0.000000
0.050000,47.231349,197.500000,12.234921,26.500000,21.428571,-57.142857,0.000000
0.050000,48.602778,197.500000,13.606349,27.428571,18.571429,-57.142857,0.000000
0.050000,50.013492,197.500000,15.017064,28.214286,15.714286,-57.142857,0.000000
0.050000,51.456349,197.500000,16.459921,28.857143,12.857143,-57.142857,0.000000
0.050000,52.924207,197.500000,17.927778,29.357143,10.000000,-57.142857,0.000000
0.050000,54.409921,197.500000,19.413492,29.714286,7.142857,-57.142857,0.000000
0.050000,55.906349,197.500000,20.909921,29.928571,4.285714,-57.142857,0.000000
0.050000,57.406349,197.500000,22.409921,30.000000,1.428571,-57.142857,0.000000
0.050000,58.906349,197.500000,23.909921,30.000000,0.000000,-28.571429,0.000000
0.050000,60.406349,197.500000,25.409921,30.000000,0.000000,0.000000,0.000000
0.050000,61.906349,197.500000,26.909921,30.000000,-0.000000,-0.000000,0.000000
0.050000,63.406349,197.500000,28.409921,30.000000,0.000000,0.000000,0.000000
0.050000,64.906349,197.500000,29.909921,30.000000,-0.000000,-0.000000,0.000000
0.050000,66.406349,197.500000,31.409921,30.000000,0.000000,0.000000,0.000000
0.050000,67.906349,197.500000,32.909921,30.000000,0.000000,-0.000000,0.000000
0.050000,69.406349,197.500000,34.409921,30.000000,0.000000,0.000000,0.000000
0.050000,70.906349,197.500000,35.909921,30.000000,0.000000,0.000000,0.000000
0.050000,72.406349,197.500000,37.409921,30.000000,0.000000,0.000000,0.000000
0.050000,73.906349,197.500000,38.909921,30.000000,0.000000,0.000000,0.000000
0.050000,75.406349,197.500000,40.409921,30.000000,0.000000,0.000000,0.000000
0.050000,76.906349,197.500000,41.909921,30.000000,0.000000,0.000000,0.000000
0.050000,78.406349,197.500000,43.409921,30.000000,0.000000,0.000000,0.000000
0.050000,79.906349,197.500000,44.909921,30.000000,0.000000,0.000000,0.000000
0.050000,81.406349,197.500000,46.409921,30.000000,0.000000,0.000000,0.000000
0.050000,82.906349,197.500000,47.909921,30.000000,0.000000,0.000000,0.000000
0.050000,84.406349,197.500000,49.409921,30.000000,0.000000,0.000000,0.000000
0.050000,85.906349,197.500000,50.909921,30.000000,0.000000,0.000000,0.000000
0.050000,87.406349,197.500000,52.409921,30.000000,0.000000,0.000000,0.000000
0.050000,88.906349,197.500000,53.909921,30.000000,-0.000000,-0.000000,0.000000
0.050000,90.406349,197.500000,55.409921,30.000000,0.000000,0.000000,0.000000
0.050000,91.906349,197.500000,56.909921,30.000000,0.000000,-0.000000,0.000000
0.050000,93.406349,197.500000,58.409921,30.000000,0.000000,0.000000,0.000000
0.050000,94.906349,197.500000,59.909921,30.000000,0.000000,0.000000,0.000000
0.050000,96.406349,197.500000,61.409921,30.000000,0.000000,0.000000,0.000000
0.050000,97.906349,197.500000,62.909921,30.000000,0.000000,0.000000,0.000000
0.050000,99.406349,197.500000,64.409921,30.000000,-0.000000,-0.000000,0.000000
0.050000,100.906349,197.500000,65.909921,30.000000,0.000000,0.000000,0.000000
0.050000,102.406349,197.500000,67.409921,30.000000,0.000000,-0.000000,0.000000
0.050000,103.906349,197.500000,68.909921,30.000000,0.000000,0.000000,0.000000
0.050000,105.406349,197.500000,70.409921,30.000000,0.000000,0.000000,0.000000
0.050000,106.906349,197.500000,71.909921,30.000000,-0.000000,-0.000000,0.000000
0.050000,108.406349,197.500000,73.409921,30.000000,0.000000,0.000000,0.000000
0.050000,109.906349,197.500000,74.909921,30.000000,0.000000,-0.000000,0.000000
0.050000,111.406349,197.500000,76.409921,30.000000,0.000000,0.000000,0.000000
0.050000,112.906349,197.500000,77.909921,30.000000,-0.000000,-0.000000,0.000000
0.050000,114.406349,197.500000,79.409921,30.000000,0.000000,0.000000,0.000000
0.050000,115.906349,197.500000,80.909921,30.000000,0.000000,0.000000,0.000000
0.050000,117.406349,197.500000,82.409921,30.000000,-0.000000,-0.000000,0.000000
0.050000,118.906349,197.500000,83.909921,30.000000,0.000000,0.000000,0.000000
0.050000,120.406349,197.500000,85.409921,30.000000,0.000000,0.000000,0.000000
0.050000,121.906349,197.500000,86.909921,30.000000,0.000000,0.000000,0.000000
0.050000,123.406349,197.500000,88.409921,30.000000,-0.000000,-0.000000,0.000000
0.050000,124.906349,197.500000,89.909921,30.000000,0.000000,0.000000,0.000000
0.050000,126.406349,197.500000,91.409921,30.000000,0.000000,-0.000000,0.000000
0.050000,127.906349,197.500000,92.909921,30.000000,0.000000,0.000000,0.000000
0.050000,129.291958,197.499014,94.295530,27.712187,-45.756258,-915.125164,6.280135
0.050000,130.713604,197.490143,95.717203,28.433461,14.425487,1203.634896,6.273869
0.050000,132.143184,197.472722,97.146889,28.593721,3.205184,-224.406045,6.268244
0.050000,133.580620,197.447578,98.584545,28.753123,3.188040,-0.342889,6.263256
0.050000,135.025850,197.415546,100.030131,28.911704,3.171629,-0.328217,6.258903
0.050000,136.478828,197.377474,101.483607,29.069531,3.156529,-0.302001,6.255181
0.050000,137.939521,197.334218,102.944940,29.226658,3.142545,-0.279685,6.252088
0.050000,139.407910,197.286649,104.414100,29.383195,3.130746,-0.235979,6.249621
0.050000,140.883991,197.235647,105.891062,29.539238,3.120852,-0.197875,6.247778
0.050000,142.367770,197.182104,107.375807,29.694900,3.113251,-0.152020,6.246557
0.050000,143.859266,197.126924,108.868322,29.850311,3.108218,-0.100653,6.245959
0.050000,145.358504,197.071026,110.368602,30.005593,3.105641,-0.051538,6.245981
0.050000,146.865519,197.015341,111.876646,30.160880,3.105729,0.001750,6.246625
0.050000,148.380353,196.960814,113.392461,30.316300,3.108411,0.053631,6.247890
0.050000,149.903051,196.908409,114.916060,30.471984,3.113671,0.105219,6.249778
0.050000,151.433659,196.859102,116.447462,30.628046,3.121251,0.151581,6.252290
0.050000,152.972226,196.813891,117.986693,30.784619,3.131452,0.204020,6.255428
