dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,80.591455,222.499955,0.003571,0.142857,2.857143,57.142857,0.002684
0.050000,80.595362,222.499965,0.007478,0.078138,-1.294385,-83.030548,0.002371
0.050000,80.604156,222.499983,0.016272,0.175869,1.954615,64.979995,0.001668
0.050000,80.619798,222.499999,0.031914,0.312854,2.739716,15.702011,0.000416
0.050000,80.714607,222.499931,0.126723,1.896173,31.666367,578.533019,6.281643
0.050000,80.878535,222.499446,0.290652,3.278570,27.647935,-80.368631,6.278814
0.050000,81.101835,222.498039,0.513956,4.466087,23.750347,-77.951766,6.274948
0.050000,81.393909,222.494891,0.806047,5.841820,27.514653,75.286130,6.269867
0.050000,81.764093,222.488763,1.176282,7.404695,31.257510,74.857136,6.263391
0.050000,82.221944,222.477853,1.634263,9.159634,35.098774,76.825274,6.255323
0.050000,82.777180,222.459641,2.189797,11.110676,39.020841,78.441347,6.245453
0.050000,83.439498,222.430700,2.852747,13.259006,42.966608,78.915328,6.233559
0.050000,84.218836,222.386469,3.633340,15.611854,47.056946,81.806773,6.219397
0.050000,85.125125,222.320997,4.541990,18.173004,51.223017,83.321417,6.202704
0.050000,86.163575,222.227109,5.584676,20.853710,53.614114,47.821937,6.183287
0.050000,87.329859,222.097170,6.758176,23.470009,52.325975,-25.762788,6.161120
0.050000,88.614350,221.923413,8.054366,25.923801,49.075838,-65.002731,6.136279
0.050000,90.006643,221.697896,9.464805,28.208781,45.699609,-67.524585,6.108869
0.050000,91.495328,221.412821,10.980539,30.314678,42.117946,-71.633261,6.079034
0.050000,93.067928,221.060894,12.592037,32.229948,38.305384,-76.251232,6.046966
0.050000,94.710832,220.635739,14.289061,33.940480,34.210640,-81.894886,6.012911
0.050000,96.409396,220.132318,16.060657,35.431930,29.829007,-87.632654,5.977175
0.050000,98.148137,219.547344,17.895164,36.690130,25.164000,-93.300148,5.940121
0.050000,99.911013,218.879641,19.780252,37.701769,20.232776,-98.624468,5.902161
0.050000,101.681967,218.130338,21.703201,38.458984,15.144313,-101.769276,5.863744
0.050000,103.445357,217.302977,23.651038,38.956742,9.955156,-103.783133,5.825336
0.050000,105.186515,216.403394,25.610855,39.196334,4.791842,-103.266280,5.787399
0.050000,106.892182,215.439472,27.570050,39.183904,-0.248605,-100.808935,5.750368
0.050000,108.550858,214.420754,29.516584,38.930674,-5.064601,-96.319928,5.714637
0.050000,110.156737,213.355402,31.443711,38.542548,-7.762528,-53.958544,5.680459
0.050000,111.709101,212.249291,33.349838,38.122525,-8.400457,-12.758579,5.647962
0.050000,113.208093,211.108082,35.233806,37.679363,-8.863233,-9.255514,5.617239
0.050000,114.654600,209.937112,37.094868,37.221240,-9.162455,-5.984446,5.588348
0.050000,116.050111,208.741321,38.932629,36.755231,-9.320186,-3.154619,5.561323
0.050000,117.396581,207.525222,40.746983,36.287073,-9.363169,-0.859656,5.536171
0.050000,118.696324,206.292871,42.538078,35.821891,-9.303623,1.190930,5.512880
0.050000,119.951888,205.047901,44.306238,35.363198,-9.173861,2.595231,5.491424
0.050000,121.165965,203.793540,46.051920,34.913649,-8.990986,3.657500,5.471768
0.050000,122.341322,202.532645,47.775671,34.475018,-8.772617,4.367383,5.453866
0.050000,123.480736,201.267751,49.478087,34.048331,-8.533745,4.777429,5.437671
0.050000,124.586955,200.001105,51.159787,33.633992,-8.286773,4.939457,5.423134
0.050000,125.662664,198.734712,52.821382,33.231907,-8.041709,4.901267,5.410205
0.050000,126.710458,197.470375,54.463462,32.841584,-7.806457,4.705052,5.398838
0.050000,127.732837,196.209727,56.086573,32.462228,-7.587117,4.386802,5.388989
0.050000,128.732187,194.954271,57.691214,32.092813,-7.388299,3.976357,5.380617
0.050000,129.710780,193.705405,59.277817,31.732067,-7.214918,3.467605,5.373689
0.050000,130.670779,192.464445,60.846759,31.378838,-7.064578,3.006800,5.368173
0.050000,131.614228,191.232652,62.398342,31.031658,-6.943604,2.419485,5.364047
0.050000,132.543063,190.011257,63.932793,30.689025,-6.852654,1.819001,5.361291
0.050000,133.459111,188.801469,65.450268,30.349503,-6.790456,1.243960,5.359893
0.050000,134.364093,187.604497,66.950846,30.011560,-6.758860,0.631922,5.359846
0.050000,135.259629,186.421564,68.434529,29.673661,-6.757972,0.017759,5.361152
0.050000,136.147239,185.253917,69.901244,29.334287,-6.787482,-0.590202,5.363815
0.050000,137.028344,184.102840,71.350838,28.991886,-6.848014,-1.210637,5.367847
0.050000,137.904269,182.969659,72.783089,28.645026,-6.937207,-1.783858,5.373267
0.050000,138.776240,181.855752,74.197700,28.292208,-7.056353,-2.382927,5.380098
