dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,80.625000,210.000000,0.003571,0.142857,2.857143,57.142857,0.002684
0.050000,80.625000,210.000000,0.017857,0.428571,5.714286,57.142857,0.002371
0.050000,80.625000,210.000000,0.050000,0.857143,8.571429,57.142857,0.001668
0.050000,80.625000,210.000000,0.107143,1.428571,11.428571,57.142857,0.000416
0.050000,80.695323,209.999946,0.196429,2.142857,14.285714,57.142857,6.281643
0.050000,80.823893,209.999566,0.325000,3.000000,17.142857,57.142857,6.278814
0.050000,80.998864,209.998463,0.500000,4.000000,20.000000,57.142857,6.274948
0.050000,81.227437,209.996000,0.728571,5.142857,22.857143,57.142857,6.269867
0.050000,81.516676,209.991212,1.017857,6.428571,25.714286,57.142857,6.263391
0.050000,81.873705,209.982705,1.375000,7.857143,28.571429,57.142857,6.255323
0.050000,82.305640,209.968538,1.807143,9.428571,31.428571,57.142857,6.245453
0.050000,82.819427,209.946089,2.321429,11.142857,34.285714,57.142857,6.233559
0.050000,83.422024,209.911892,2.925000,13.000000,37.142857,57.142857,6.219397
0.050000,84.120197,209.861458,3.625000,15.000000,40.000000,57.142857,6.202704
0.050000,84.916923,209.789430,4.425000,17.000000,40.000000,-0.000000,6.183287
0.050000,85.807824,209.690180,5.321429,18.857143,37.142857,-57.142857,6.161120
0.050000,86.784615,209.558056,6.307143,20.571429,34.285714,-57.142857,6.136279
0.050000,87.838706,209.387330,7.375000,22.142857,31.428571,-57.142857,6.108869
0.050000,88.961126,209.172404,8.517857,23.571429,28.571429,-57.142857,6.079034
0.050000,90.142565,208.908024,9.728571,24.857143,25.714286,-57.142857,6.046966
0.050000,91.373380,208.589519,11.000000,26.000000,22.857143,-57.142857,6.012911
0.050000,92.643686,208.213030,12.325000,27.000000,20.000000,-57.142857,5.977175
0.050000,93.943454,207.775741,13.696429,27.857143,17.142857,-57.142857,5.940121
0.050000,95.262623,207.276086,15.107143,28.571429,14.285714,-57.142857,5.902161
0.050000,96.591345,206.713878,16.550000,29.142857,11.428571,-57.142857,5.863744
0.050000,97.920110,206.090410,18.017857,29.571429,8.571429,-57.142857,5.825336
0.050000,99.239967,205.408460,19.503571,29.857143,5.714286,-57.142857,5.787399
0.050000,100.542656,204.672230,21.000000,30.000000,2.857143,-57.142857,5.750368
0.050000,101.820741,203.887211,22.500000,30.000000,0.000000,-57.142857,5.714637
0.050000,103.070606,203.057987,24.000000,30.000000,0.000000,0.000000,5.680459
0.050000,104.292137,202.187549,25.500000,30.000000,0.000000,0.000000,5.647962
0.050000,105.485546,201.278928,27.000000,30.000000,0.000000,0.000000,5.617239
0.050000,106.651349,200.335135,28.500000,30.000000,0.000000,0.000000,5.588348
0.050000,107.790318,199.359114,30.000000,30.000000,0.000000,0.000000,5.561323
0.050000,108.903441,198.353713,31.500000,30.000000,0.000000,0.000000,5.536171
0.050000,109.991894,197.321645,33.000000,30.000000,0.000000,0.000000,5.512880
0.050000,111.056994,196.265484,34.500000,30.000000,0.000000,0.000000,5.491424
0.050000,112.100166,195.187653,36.000000,30.000000,0.000000,0.000000,5.471768
0.050000,113.122922,194.090424,37.500000,30.000000,0.000000,0.000000,5.453866
0.050000,114.126831,192.975920,39.000000,30.000000,0.000000,0.000000,5.437671
0.050000,115.113503,191.846125,40.500000,30.000000,0.000000,0.000000,5.423134
0.050000,116.084574,190.702888,42.000000,30.000000,0.000000,0.000000,5.410205
0.050000,117.041692,189.547942,43.500000,30.000000,0.000000,0.000000,5.398838
