dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,80.658545,197.500045,0.003571,0.142857,2.857143,57.142857,0.002684
0.050000,80.654638,197.500035,0.007478,0.078138,-1.294385,-83.030548,0.002371
0.050000,80.645844,197.500017,0.016272,0.175869,1.954615,64.979995,0.001668
0.050000,80.630202,197.500001,0.031914,0.312854,2.739716,15.702011,0.000416
0.050000,80.676040,197.499961,0.077753,0.916761,12.078121,186.768110,6.281643
0.050000,80.769252,197.499685,0.170966,1.864260,18.949990,137.437378,6.278814
0.050000,80.895894,197.498887,0.297609,2.532878,13.372355,-111.552692,6.274948
0.050000,81.060966,197.497108,0.462691,3.301640,15.375244,40.057779,6.269867
0.050000,81.269259,197.493661,0.671013,4.166425,17.295696,38.409030,6.263391
0.050000,81.525465,197.487557,0.927292,5.125587,19.183253,37.751135,6.255323
0.050000,81.834100,197.477435,1.236093,6.176016,21.008579,36.506535,6.245453
0.050000,82.199357,197.461478,1.601698,7.312099,22.721656,34.261532,6.233559
0.050000,82.625212,197.437314,2.028238,8.530800,24.374025,33.047374,6.219397
0.050000,83.115270,197.401919,2.519572,9.826690,25.917793,30.875366,6.202704
0.050000,83.670272,197.351751,3.076837,11.145297,26.372135,9.086845,6.183287
0.050000,84.285789,197.283189,3.696161,12.386476,24.823581,-30.971091,6.161120
0.050000,84.954881,197.192698,4.371344,13.503665,22.343791,-49.595803,6.136279
0.050000,85.670769,197.076763,5.096560,14.504309,20.012879,-46.618231,6.108869
0.050000,86.426924,196.931986,5.866449,15.397786,17.869534,-42.866900,6.079034
0.050000,87.217201,196.755154,6.676269,16.196402,15.972324,-37.944205,6.046966
0.050000,88.035928,196.543299,7.521962,16.913852,14.348991,-32.466650,6.012911
0.050000,88.877975,196.293742,8.400211,17.564990,13.022760,-26.524631,5.977175
0.050000,89.738771,196.004138,9.308418,18.164136,11.982926,-20.796683,5.940121
0.050000,90.614233,195.672532,10.244578,18.723203,11.181340,-16.031721,5.902161
0.050000,91.500722,195.297418,11.207165,19.251742,10.570776,-12.211270,5.863744
0.050000,92.394864,194.877844,12.194856,19.753805,10.041258,-10.590367,5.825336
0.050000,93.293419,194.413527,13.206286,20.228606,9.496027,-10.904620,5.787399
0.050000,94.193129,193.904987,14.239771,20.669704,8.821958,-13.481378,5.750368
0.050000,95.090623,193.353669,15.293074,21.066056,7.927038,-17.898388,5.714637
0.050000,95.984476,192.760572,16.365798,21.454480,7.768478,-3.171211,5.680459
0.050000,96.875173,192.125807,17.459538,21.874806,8.406523,12.760898,5.647962
0.050000,97.762999,191.449774,18.575448,22.318200,8.867889,9.227332,5.617239
0.050000,98.648097,190.733158,19.714280,22.776635,9.168699,6.016198,5.588348
0.050000,99.530525,189.976907,20.876431,23.243013,9.327561,3.177234,5.561323
0.050000,100.410300,189.182205,22.061992,23.711232,9.364362,0.736026,5.536171
