dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,80.598663,222.499972,0.003571,0.142857,2.857143,57.142857,0.002107
0.050000,80.602485,222.499980,0.007393,0.076432,-1.328496,-83.712787,0.001801
0.050000,80.611083,222.499992,0.015991,0.171969,1.910727,64.784474,0.001113
0.050000,80.631488,222.500000,0.036396,0.408096,4.722553,56.236520,6.283076
0.050000,80.744667,222.499879,0.149576,2.263585,37.109780,647.744529,6.281164
0.050000,80.907677,222.499325,0.312586,3.260217,19.932637,-343.542848,6.278410
0.050000,81.129592,222.497849,0.534506,4.438385,23.563364,72.614537,6.274656
0.050000,81.419526,222.494664,0.824458,5.799040,27.213100,72.994727,6.269745
0.050000,81.786573,222.488588,1.191555,7.341941,30.858003,72.898050,6.263520
0.050000,82.239868,222.477927,1.644976,9.068420,34.529591,73.431762,6.255818
0.050000,82.788456,222.460347,2.193845,10.977379,38.179177,72.991711,6.246480
0.050000,83.441374,222.432730,2.847347,13.070041,41.853235,73.481174,6.235342
0.050000,84.207520,222.391017,3.614627,15.345608,45.511338,73.162063,6.222245
0.050000,85.095564,222.330051,4.504762,17.802699,49.141818,72.609597,6.207033
0.050000,86.109305,222.243829,5.522163,20.348021,50.906449,35.292612,6.189640
0.050000,87.243028,222.126317,6.661960,22.795940,48.958375,-38.961477,6.170169
0.050000,88.485984,221.971780,7.914486,25.050513,45.091474,-77.338023,6.148823
0.050000,89.826891,221.774780,9.269787,27.106016,41.110047,-79.628534,6.125825
0.050000,91.253947,221.530436,10.717610,28.956473,37.009135,-82.018245,6.101424
0.050000,92.754900,221.234684,12.247424,30.596272,32.795981,-84.263074,6.075893
0.050000,94.317171,220.884490,13.848462,32.020770,28.489960,-86.120426,6.049520
0.050000,95.928004,220.478043,15.509782,33.226398,24.112562,-87.547956,6.022611
0.050000,97.574698,220.014861,17.220378,34.211915,19.710336,-88.044520,5.995473
0.050000,99.244807,219.495850,18.969274,34.977923,15.320161,-87.803502,5.968414
0.050000,100.926371,218.923281,20.745645,35.527414,10.989820,-86.606823,5.941729
0.050000,102.608111,218.300704,22.538924,35.865581,6.763355,-84.529293,5.915691
0.050000,104.279570,217.632807,24.338885,35.999232,2.673016,-81.806780,5.890547
0.050000,105.931229,216.925235,26.135726,35.936812,-1.248398,-78.428285,5.866511
0.050000,107.554543,216.184387,27.920104,35.687553,-4.985187,-74.735786,5.843757
0.050000,109.145683,215.415354,29.687345,35.344823,-6.854590,-37.388045,5.822375
0.050000,110.705111,214.621439,31.437234,34.997792,-6.940634,-1.720897,5.802382
0.050000,112.233543,213.805792,33.169685,34.649007,-6.975698,-0.701264,5.783784
0.050000,113.731908,212.971393,34.884712,34.300554,-6.969055,0.132854,5.766580
0.050000,115.201298,212.121046,36.582416,33.954074,-6.929601,0.789082,5.750762
0.050000,116.642930,211.257385,38.262956,33.610795,-6.865582,1.280374,5.736318
0.050000,118.058109,210.382878,39.926534,33.271573,-6.784437,1.622896,5.723231
0.050000,119.448195,209.499838,41.573379,32.936895,-6.693558,1.817592,5.711482
0.050000,120.814584,208.610435,43.203734,32.607087,-6.596166,1.947840,5.701053
0.050000,122.158680,207.716711,44.817840,32.282124,-6.499250,1.938306,5.691924
0.050000,123.481882,206.820591,46.415930,31.961811,-6.406273,1.859549,5.684077
0.050000,124.785563,205.923903,47.998218,31.645760,-6.321017,1.705116,5.677494
0.050000,126.071069,205.028386,49.564895,31.333539,-6.244416,1.532021,5.672159
0.050000,127.339703,204.135707,51.116123,31.024553,-6.179726,1.293803,5.668061
0.050000,128.592717,203.247472,52.652028,30.718104,-6.128981,1.014895,5.665189
0.050000,129.831311,202.365239,54.172703,30.413490,-6.092272,0.734193,5.663535
0.050000,131.056628,201.490527,55.678200,30.109950,-6.070804,0.429352,5.663095
0.050000,132.269748,200.624826,57.168535,29.806688,-6.065232,0.111446,5.663868
0.050000,133.471685,199.769605,58.643681,29.502923,-6.075298,-0.201329,5.665856
0.050000,134.663388,198.926319,60.103574,29.197859,-6.101290,-0.519839,5.669065
0.050000,135.845736,198.096413,61.548112,28.890766,-6.141848,-0.811165,5.673502
0.050000,137.019539,197.281330,62.977158,28.580919,-6.196951,-1.102055,5.679178
