dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,80.651337,197.500028,0.003571,0.142857,2.857143,57.142857,0.002107
0.050000,80.647515,197.500020,0.007393,0.076432,-1.328496,-83.712787,0.001801
0.050000,80.638917,197.500008,0.015991,0.171969,1.910727,64.784474,0.001113
0.050000,80.628750,197.500000,0.026159,0.203345,0.627518,-25.664192,6.283076
0.050000,80.694144,197.499930,0.091553,1.307881,22.090728,429.264212,6.281164
0.050000,80.788283,197.499610,0.185692,1.882792,11.498224,-211.850079,6.278410
0.050000,80.916354,197.498758,0.313766,2.561475,13.573657,41.508660,6.274656
0.050000,81.083538,197.496922,0.480961,3.343891,15.648320,41.493245,6.269745
0.050000,81.294971,197.493422,0.692423,4.229242,17.707027,41.174144,6.263520
0.050000,81.555782,197.487288,0.953306,5.217661,19.768376,41.226987,6.255818
0.050000,81.871023,197.477186,1.268709,6.308056,21.807899,40.790449,6.246480
0.050000,82.245743,197.461337,1.643763,7.501092,23.860716,41.056359,6.235342
0.050000,82.684944,197.437425,2.083615,8.797038,25.918919,41.164060,6.222245
0.050000,83.193601,197.402505,2.593469,10.197080,28.000841,41.638429,6.207033
0.050000,83.774088,197.353133,3.176052,11.651659,29.091582,21.814823,6.189640
0.050000,84.423643,197.285804,3.829087,13.060694,28.180691,-18.217814,6.170169
0.050000,85.137015,197.197108,4.547952,14.377303,26.332185,-36.970134,6.148823
0.050000,85.909090,197.083671,5.328316,15.607282,24.599583,-34.652043,6.125825
0.050000,86.734900,196.942264,6.166145,16.756586,22.986073,-32.270181,6.101424
0.050000,87.609621,196.769891,7.057688,17.830862,21.485523,-30.011002,6.075893
0.050000,88.528558,196.563883,7.999434,18.834922,20.081207,-28.086333,6.049520
0.050000,89.487106,196.321992,8.988032,19.771950,18.740566,-26.812821,6.022611
0.050000,90.480715,196.042473,10.020208,20.643529,17.431574,-26.179823,5.995473
0.050000,91.504834,195.724169,11.092653,21.448890,16.107215,-26.487191,5.968414
0.050000,92.554871,195.366584,12.201907,22.185083,14.723854,-27.667214,5.941729
0.050000,93.626152,194.969943,13.344260,22.847050,13.239349,-29.690099,5.915691
0.050000,94.713892,194.535235,14.515647,23.427745,11.613893,-32.509126,5.890547
0.050000,95.813184,194.064238,15.711590,23.918861,9.822329,-35.831279,5.866511
0.050000,96.918998,193.559508,16.927146,24.311129,7.845354,-39.539509,5.843757
0.050000,98.028840,193.023038,18.159847,24.654014,6.857702,-19.753022,5.822375
0.050000,99.142818,192.455849,19.409907,25.001193,6.943587,1.717701,5.802382
0.050000,100.261037,191.859059,20.677413,25.350117,6.978474,0.697731,5.783784
0.050000,101.383622,191.233871,21.962348,25.698700,6.971659,-0.136310,5.766580
0.050000,102.510734,190.581557,23.264613,26.045302,6.932050,-0.792180,5.750762
0.050000,103.642577,189.903443,24.584048,26.388697,6.867896,-1.283065,5.736318
0.050000,104.779414,189.200898,25.920449,26.728029,6.786626,-1.625403,5.723231
0.050000,105.921568,188.475320,27.273586,27.062732,6.694075,-1.851017,5.711482
0.050000,107.069432,187.728127,28.643217,27.392626,6.597863,-1.924239,5.701053
0.050000,108.223471,186.960749,30.029101,27.717675,6.500996,-1.937344,5.691924
0.050000,109.384221,186.174624,31.431004,28.038068,6.407854,-1.862849,5.684077
0.050000,110.552291,185.371191,32.848710,28.354128,6.321207,-1.732927,5.677494
0.050000,111.728366,184.551891,34.282030,28.666387,6.245176,-1.520636,5.672159
0.050000,112.913202,183.718163,35.730801,28.975427,6.180792,-1.287664,5.668061
0.050000,114.107627,182.871452,37.194895,29.281886,6.129179,-1.032265,5.665189
0.050000,115.312540,182.013205,38.674221,29.586509,6.092473,-0.734132,5.663535
0.050000,116.528909,181.144880,40.168724,29.890062,6.071061,-0.428221,5.663095
0.050000,117.757765,180.267952,41.678390,30.193320,6.065161,-0.118013,5.663868
0.050000,119.000207,179.383916,43.203244,30.497083,6.075252,0.201828,5.665856
0.050000,120.257391,178.494303,44.743350,30.802115,6.100633,0.507607,5.669065
0.050000,121.530535,177.600681,46.298810,31.109197,6.141648,0.820301,5.673502
0.050000,122.820906,176.704673,47.869761,31.419024,6.196532,1.097679,5.679178
0.050000,124.129817,175.807964,49.456372,31.732223,6.263997,1.349298,5.686107
0.050000,125.458623,174.912317,51.058841,32.049384,6.343202,1.584103,5.694305
0.050000,126.808708,174.019584,52.677391,32.370990,6.432129,1.778539,5.703789
0.050000,128.181471,173.131721,54.312254,32.697273,6.525652,1.870476,5.714579
0.050000,129.578316,172.250805,55.963675,33.028415,6.622856,1.944077,5.726694
0.050000,131.000631,171.379042,57.631893,33.364350,6.718700,1.916870,5.740152
0.050000,132.449766,170.518788,59.317131,33.704758,6.808153,1.789060,5.754972
0.050000,133.927003,169.672555,61.019582,34.049028,6.885389,1.544734,5.771170
0.050000,135.433530,168.843023,62.739392,34.396204,6.943538,1.162962,5.788757
0.050000,136.970398,168.033046,64.476639,34.744928,6.974473,0.618702,5.807738
0.050000,138.538480,167.245649,66.231311,35.093457,6.970577,-0.077905,5.828115
0.050000,140.138431,166.484027,68.003290,35.439580,6.922457,-0.962401,5.849876
0.050000,141.769284,165.752110,69.790854,35.751273,6.233857,-13.772015,5.872982
0.050000,143.425645,165.055468,71.587752,35.937964,3.733820,-50.000736,5.897317
0.050000,145.098672,164.400273,73.384499,35.934934,-0.060589,-75.888167,5.922694
0.050000,146.778556,163.791877,75.171160,35.733216,-4.034369,-79.475608,5.948888
0.050000,148.454583,163.234622,76.937399,35.324777,-8.168781,-82.688238,5.975644
0.050000,150.115257,162.731667,78.672565,34.703329,-12.428947,-85.203328,6.002682
0.050000,151.748455,162.284864,80.365778,33.864251,-16.781569,-87.052436,6.029703
0.050000,153.341646,161.894689,82.006050,32.805442,-21.176170,-87.892009,6.056398
0.050000,154.882094,161.560251,83.582384,31.526686,-25.575133,-87.979260,6.082460
0.050000,156.357095,161.279357,85.083893,30.030179,-29.930134,-87.100034,6.107588
0.050000,157.754151,161.048655,86.499869,28.319529,-34.212996,-85.657230,6.131497
0.050000,159.061150,160.863825,87.819873,26.400067,-38.389244,-83.524956,6.153924
0.050000,160.266425,160.719821,89.033720,24.276936,-42.462619,-81.467508,6.174626
0.050000,161.358864,160.611115,90.131554,21.956693,-46.404864,-78.844895,6.193385
0.050000,162.329428,160.531862,91.105348,19.475876,-49.616347,-64.229669,6.210033
0.050000,163.175649,160.476009,91.953411,16.961257,-50.292374,-13.520539,6.224523
0.050000,163.902963,160.437830,92.681726,14.566297,-47.899198,47.863520,6.236953
0.050000,164.520126,160.412531,93.299407,12.353635,-44.253238,72.919201,6.247478
0.050000,165.036068,160.396369,93.815602,10.323891,-40.594880,73.167171,6.256259
0.050000,165.459828,160.386483,94.239477,8.477508,-36.927664,73.344312,6.263459
0.050000,165.800460,160.380747,94.580158,6.813619,-33.277787,72.997544,6.269237
0.050000,166.067104,160.377630,94.846820,5.333243,-29.607517,73.405405,6.273753
0.050000,166.268851,160.376071,95.048574,4.035062,-25.963615,72.878024,6.277167
0.050000,166.414790,160.375373,95.194514,2.918803,-22.325179,72.768720,6.279634
0.050000,166.514017,160.375104,95.293741,1.984542,-18.685227,72.799049,6.281311
0.050000,166.575579,160.375021,95.355303,1.231249,-15.065849,72.387561,6.282351
0.050000,166.608568,160.375002,95.388292,0.659780,-11.429384,72.729306,6.282908
0.050000,166.622024,160.375000,95.401748,0.269122,-7.813167,72.324322,6.283135
0.050000,166.625000,160.375000,95.404724,0.059519,-4.192044,72.422465,6.283185
0.050000,166.625000,160.375000,95.404724,0.000000,-1.190388,60.033123,6.283185
