dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,62.850281,181.267266,0.003571,0.142857,2.857143,57.142857,0.001825
0.050000,62.848198,181.267262,0.005654,0.041659,-2.023964,-97.622132,0.001658
0.050000,62.843511,181.267255,0.010342,0.093752,1.041859,61.316452,0.001283
0.050000,62.835174,181.267247,0.018679,0.166736,1.459678,8.356373,0.000616
0.050000,62.858674,181.267238,0.042179,0.470012,6.065522,92.116885,6.282758
0.050000,62.968427,181.267109,0.151932,2.195051,34.500781,568.705193,6.281254
0.050000,63.117770,181.266667,0.301276,2.986872,15.836424,-373.287149,6.279201
0.050000,63.312711,181.265628,0.496220,3.898884,18.240228,48.076089,6.276510
0.050000,63.559218,181.263562,0.742735,4.930309,20.628512,47.765665,6.273088
0.050000,63.863238,181.259847,1.046777,6.080845,23.010722,47.644212,6.268840
0.050000,64.230637,181.253626,1.414230,7.349045,25.363988,47.065307,6.263665
0.050000,64.667196,181.243750,1.850900,8.733415,27.687407,46.468382,6.257456
0.050000,65.178593,181.228710,2.362519,10.232366,29.979013,45.832117,6.250100
0.050000,65.770346,181.206576,2.954685,11.843324,32.219159,44.802927,6.241475
0.050000,66.444886,181.175061,3.629960,13.505511,33.243753,20.491877,6.231496
0.050000,67.198378,181.131808,4.384694,15.094662,31.783019,-29.214680,6.220162
0.050000,68.024023,181.074476,5.212326,16.552651,29.159784,-52.464689,6.207514
0.050000,68.914880,181.000717,6.106231,17.878103,26.509042,-53.014849,6.193599
0.050000,69.864055,180.908234,7.059902,19.073407,23.906062,-52.059598,6.178465
0.050000,70.864659,180.794842,8.066910,20.140173,21.335331,-51.414623,6.162169
0.050000,71.909786,180.658541,9.120888,21.079546,18.787455,-50.957510,6.144776
0.050000,72.992645,180.497551,10.215648,21.895220,16.313474,-49.479619,6.126357
0.050000,74.106466,180.310392,11.345085,22.588725,13.870106,-48.867360,6.106999
0.050000,75.244612,180.095917,12.503262,23.163540,11.496307,-47.475993,6.086798
0.050000,76.400563,179.853364,13.684386,23.622487,9.178932,-46.347495,6.065862
0.050000,77.567991,179.582388,14.882850,23.969284,6.935949,-44.859658,6.044311
0.050000,78.740690,179.283112,16.093136,24.205710,4.728523,-44.148524,6.022280
0.050000,79.912692,178.956131,17.309895,24.335185,2.589499,-42.780473,5.999908
0.050000,81.078212,178.602547,18.527868,24.359465,0.485598,-42.078016,5.977348
0.050000,82.234414,178.223042,19.744761,24.337845,-0.432397,-18.359902,5.954701
0.050000,83.381297,177.817575,20.961208,24.328955,-0.177812,5.091697,5.932019
0.050000,84.518887,177.386129,22.177866,24.333154,0.083989,5.236013,5.909355
0.050000,85.647245,176.928712,23.395414,24.350961,0.356140,5.443026,5.886760
0.050000,86.766432,176.445369,24.614512,24.381966,0.620096,5.279114,5.864290
0.050000,87.876534,175.936169,25.835827,24.426297,0.886624,5.330572,5.841998
0.050000,88.977647,175.401219,27.060009,24.483631,1.146681,5.201136,5.819934
0.050000,90.069876,174.840656,28.287688,24.553580,1.398981,5.046005,5.798151
0.050000,91.153328,174.254661,29.519458,24.635402,1.636423,4.748839,5.776694
0.050000,92.228123,173.643446,30.755892,24.728682,1.865599,4.583524,5.755611
0.050000,93.294376,173.007266,31.997512,24.832406,2.074491,4.177838,5.734942
0.050000,94.352208,172.346418,33.244800,24.945760,2.267073,3.851637,5.714727
0.050000,95.401741,171.661236,34.498193,25.067864,2.442076,3.500055,5.695000
0.050000,96.443106,170.952096,35.758082,25.197778,2.598293,3.124346,5.675793
0.050000,97.476431,170.219411,37.024806,25.334470,2.733832,2.710778,5.657132
0.050000,98.501855,169.463632,38.298656,25.477009,2.850777,2.338889,5.639042
0.050000,99.519523,168.685245,39.579880,25.624472,2.949273,1.969930,5.621541
