dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,80.588270,222.499946,0.003571,0.142857,2.857143,57.142857,0.002938
0.050000,80.590907,222.499954,0.006208,0.052738,-1.802383,-93.190510,0.002727
0.050000,80.596843,222.499968,0.012144,0.118711,1.319468,62.437007,0.002253
0.050000,80.607403,222.499988,0.022705,0.211216,1.850100,10.612638,0.001408
0.050000,80.623927,222.500000,0.039228,0.330471,2.385094,10.699889,0.000086
0.050000,80.770647,222.499867,0.185949,2.934408,52.078748,993.873086,6.281361
0.050000,80.978288,222.499218,0.393591,4.152836,24.368556,-554.203851,6.278750
0.050000,81.249760,222.497548,0.665068,5.429541,25.534084,23.310571,6.275317
0.050000,81.593732,222.494089,1.009057,6.879793,29.005050,69.419313,6.270937
0.050000,82.019177,222.487717,1.434550,8.509855,32.601237,71.923731,6.265470
0.050000,82.534906,222.476855,1.950393,10.316870,36.140300,70.781270,6.258772
0.050000,83.150194,222.459344,2.565930,12.310736,39.877333,74.740663,6.250676
0.050000,83.874152,222.432304,3.290393,14.489261,43.570497,73.863279,6.241004
0.050000,84.716364,222.391939,4.133572,16.863578,47.486340,78.316853,6.229549
0.050000,85.682178,222.333615,5.101145,19.351459,49.757616,45.425524,6.216143
0.050000,86.768386,222.252295,6.190393,21.784965,48.670108,-21.750165,6.200715
0.050000,87.967449,222.142675,7.394456,24.081251,45.925735,-54.887456,6.183247
0.050000,89.271472,221.999102,8.706360,26.238076,43.136491,-55.784889,6.163721
0.050000,90.672330,221.815651,10.119178,28.256364,40.365772,-55.414362,6.142122
0.050000,92.161402,221.586262,11.625815,30.132749,37.527696,-56.761539,6.118445
0.050000,93.729514,221.304877,13.218973,31.863156,34.608131,-58.391299,6.092702
0.050000,95.366852,220.965625,14.891088,33.442297,31.582827,-60.506064,6.064929
0.050000,97.062826,220.563044,16.634188,34.862000,28.394051,-63.775527,6.035190
0.050000,98.805997,220.092352,18.439789,36.112023,25.000471,-67.871608,6.003590
0.050000,100.584245,219.549691,20.298996,37.184140,21.442340,-71.162615,5.970276
0.050000,102.384498,218.932524,22.202100,38.062080,17.558789,-77.671010,5.935448
0.050000,104.193209,218.239851,24.138910,38.736198,13.482366,-81.528467,5.899352
0.050000,105.996377,217.472534,26.098550,39.192804,9.132123,-87.004859,5.862285
0.050000,107.779966,216.633465,28.069648,39.421947,4.582850,-90.985457,5.824589
0.050000,109.534363,215.725443,30.045100,39.509050,1.742065,-56.815710,5.786542
0.050000,111.254415,214.750324,32.022330,39.544587,0.710751,-20.626278,5.748354
0.050000,112.935228,213.710766,33.998642,39.526259,-0.366572,-21.546453,5.710239
0.050000,114.572339,212.610157,35.971324,39.453638,-1.452420,-21.716955,5.672415
0.050000,116.161863,211.452501,37.937731,39.328136,-2.510032,-21.152252,5.635093
0.050000,117.700607,210.242281,39.895373,39.152835,-3.506018,-19.919712,5.598472
0.050000,119.186136,208.984308,41.841984,38.932222,-4.412275,-18.125154,5.562734
0.050000,120.616804,207.683556,43.775573,38.671783,-5.208761,-15.929720,5.528039
0.050000,121.991730,206.345027,45.694449,38.377509,-5.885488,-13.534530,5.494522
0.050000,123.310769,204.973603,47.597253,38.056093,-6.428321,-10.856661,5.462291
0.050000,124.574423,203.573948,49.482951,37.713953,-6.842805,-8.289680,5.431429
0.050000,125.783750,202.150438,51.350798,37.356945,-7.140151,-5.946924,5.401996
0.050000,126.940284,200.707083,53.200350,36.991045,-7.318001,-3.557005,5.374026
0.050000,128.045920,199.247522,55.031402,36.621023,-7.400451,-1.648984,5.347538
0.050000,129.102824,197.775008,56.843953,36.251037,-7.399706,0.014900,5.322530
0.050000,130.113355,196.292418,58.638180,35.884524,-7.330262,1.388879,5.298988
0.050000,131.079989,194.802269,60.414390,35.524214,-7.206211,2.481019,5.276888
0.050000,132.005264,193.306751,62.173000,35.172187,-7.040537,3.313476,5.256197
0.050000,132.891728,191.807753,63.914497,34.829946,-6.844811,3.914527,5.236875
0.050000,133.741905,190.306899,65.639422,34.498494,-6.629055,4.315109,5.218880
0.050000,134.558262,188.805586,67.348333,34.178230,-6.405282,4.475470,5.202165
0.050000,135.343194,187.305013,69.041802,33.869378,-6.177026,4.565124,5.186686
0.050000,136.099021,185.806185,70.720421,33.572375,-5.940073,4.739054,5.172395
0.050000,136.827959,184.309983,72.384744,33.286466,-5.718171,4.438046,5.159249
0.050000,137.532124,182.817173,74.035299,33.011088,-5.507558,4.212241,5.147203
0.050000,138.213548,181.328385,75.672621,32.746459,-5.292578,4.299618,5.136218
0.050000,138.874145,179.844222,77.297161,32.490787,-5.113447,3.582615,5.126253
0.050000,139.515760,178.365162,78.909392,32.244630,-4.923144,3.806062,5.117275
0.050000,140.140128,176.891680,80.509700,32.006155,-4.769502,3.072840,5.109250
0.050000,140.748915,175.424179,82.098467,31.775333,-4.616426,3.061522,5.102148
0.050000,141.343699,173.963046,83.676022,31.551101,-4.484644,2.635639,5.095944
0.050000,141.925986,172.508657,85.242643,31.332426,-4.373494,2.222985,5.090614
0.050000,142.497218,171.061357,86.798595,31.119030,-4.267935,2.111185,5.086138
0.050000,143.058774,169.621497,88.344085,30.909812,-4.184364,1.671426,5.082499
0.050000,143.611970,168.189436,89.879280,30.703902,-4.118185,1.323577,5.079683
0.050000,144.158079,166.765529,91.404320,30.500793,-4.062191,1.119887,5.077680
0.050000,144.698320,165.350149,92.919299,30.299573,-4.024394,0.755936,5.076482
0.050000,145.233870,163.943689,94.424272,30.099465,-4.002151,0.444855,5.076084
0.050000,145.765869,162.546562,95.919259,29.899745,-3.994403,0.154972,5.076485
0.050000,146.295418,161.159208,97.404241,29.699646,-4.001980,-0.151545,5.077687
0.050000,146.823587,159.782102,98.879160,29.498375,-4.025424,-0.468888,5.079693
0.050000,147.351414,158.415749,100.343920,29.295200,-4.063497,-0.761449,5.082512
0.050000,147.879913,157.060693,101.798392,29.089429,-4.115418,-1.038432,5.086155
0.050000,148.410065,155.717530,103.242396,28.880087,-4.186856,-1.428746,5.090634
0.050000,148.942828,154.386899,104.675719,28.666464,-4.272458,-1.712057,5.095968
0.050000,149.479140,153.069475,106.098124,28.448095,-4.367384,-1.898508,5.102176
0.050000,150.019906,151.766017,107.509305,28.223616,-4.489561,-2.443543,5.109281
0.050000,150.566009,150.477321,108.908935,27.992612,-4.620095,-2.610672,5.117311
0.050000,151.118308,149.204243,110.296654,27.754370,-4.764835,-2.894803,5.126293
0.050000,151.677624,147.947722,111.672037,27.507661,-4.934181,-3.386917,5.136262
0.050000,152.244760,146.708731,113.034660,27.252471,-5.103803,-3.392446,5.147252
0.050000,152.820468,145.488346,114.384022,26.987241,-5.304601,-4.015963,5.159302
0.050000,153.405475,144.287678,115.719626,26.712068,-5.503462,-3.977213,5.172453
0.050000,154.000456,143.107920,117.040925,26.425990,-5.721558,-4.361928,5.186748
0.050000,154.606036,141.950327,118.347352,26.128526,-5.949269,-4.554221,5.202233
0.050000,155.222795,140.816192,119.638341,25.819781,-6.174906,-4.512739,5.218952
0.050000,155.851248,139.706864,120.913316,25.499505,-6.405527,-4.612412,5.236953
