dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,77.049272,211.015631,0.003571,0.142857,2.857143,57.142857,0.001874
0.050000,77.050383,211.015633,0.004683,0.022229,-2.412564,-105.394137,0.001785
0.050000,77.052885,211.015637,0.007185,0.050035,0.556116,59.373590,0.001585
0.050000,77.057336,211.015643,0.011635,0.089018,0.779659,4.470862,0.001229
0.050000,77.064299,211.015650,0.018599,0.139262,1.004888,4.504587,0.000672
0.050000,77.095465,211.015651,0.049764,0.623314,9.681031,173.522858,6.283053
0.050000,77.284280,211.015523,0.238580,3.776308,63.059883,1067.577045,6.281955
0.050000,77.530885,211.015042,0.485185,4.932107,23.115975,-798.878153,6.280512
0.050000,77.843146,211.013920,0.797448,6.245268,26.263236,62.945220,6.278674
0.050000,78.228928,211.011739,1.183236,7.715759,29.409818,62.931630,6.276383
0.050000,78.695965,211.007908,1.650289,9.341052,32.505857,61.920782,6.273580
0.050000,79.252589,211.001623,2.206949,11.133196,35.842870,66.740258,6.270198
0.050000,79.906488,210.991814,2.860921,13.079453,38.925143,61.645457,6.266165
0.050000,80.665890,210.977083,3.620465,15.190878,42.228512,66.067378,6.261399
0.050000,81.535224,210.955728,4.490062,17.391932,44.021081,35.851395,6.255830
0.050000,82.511121,210.925914,5.466414,19.527050,42.702359,-26.374449,6.249432
0.050000,83.586663,210.885718,6.542707,21.525852,39.976031,-54.526569,6.242195
0.050000,84.754385,210.833119,7.711613,23.378116,37.045278,-58.615054,6.234108
0.050000,86.007384,210.765982,8.966410,25.095937,34.356432,-53.776924,6.225154
0.050000,87.338415,210.682120,10.300080,26.673408,31.549412,-56.140398,6.215315
0.050000,88.740437,210.579293,11.705868,28.115756,28.846963,-54.048980,6.204569
0.050000,90.206135,210.455269,13.176804,29.418720,26.059287,-55.753518,6.192893
0.050000,91.728246,210.307829,14.706038,30.584692,23.319430,-54.797134,6.180265
0.050000,93.299499,210.134808,16.286789,31.615010,20.606368,-54.261249,6.166661
0.050000,94.912305,209.934166,17.912028,32.504779,17.795378,-56.219798,6.152064
0.050000,96.559246,209.703977,19.574977,33.258989,15.084201,-54.223539,6.136454
0.050000,98.232600,209.442537,21.268632,33.873081,12.281844,-56.047140,6.119822
0.050000,99.924369,209.148434,22.985775,34.342862,9.395618,-57.724527,6.102166
0.050000,101.626360,208.820609,24.719049,34.665491,6.452581,-58.860731,6.083495
0.050000,103.334610,208.457456,26.465474,34.928502,5.260213,-23.847364,6.063783
0.050000,105.048610,208.056620,28.225719,35.204902,5.527997,5.355677,6.042962
0.050000,106.767912,207.615525,30.000702,35.499661,5.895183,7.343736,6.020960
0.050000,108.491877,207.131412,31.791350,35.812957,6.265930,7.414926,5.997704
0.050000,110.219576,206.601364,33.598530,36.143588,6.612609,6.933577,5.973121
0.050000,111.950045,206.022218,35.423340,36.496201,7.052257,8.792975,5.947137
