dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,77.096119,186.015675,0.003571,0.142857,2.857143,57.142857,0.001874
0.050000,77.095008,186.015673,0.004683,0.022229,-2.412564,-105.394137,0.001785
0.050000,77.092506,186.015669,0.007185,0.050035,0.556116,59.373590,0.001585
0.050000,77.088055,186.015662,0.011635,0.089018,0.779659,4.470862,0.001229
0.050000,77.081092,186.015656,0.018599,0.139262,1.004888,4.504587,0.000672
0.050000,77.092162,186.015652,0.029668,0.221389,1.642537,12.752990,6.283053
0.050000,77.253515,186.015542,0.191021,3.227061,60.113436,1169.417979,6.281955
0.050000,77.464063,186.015131,0.401570,4.210969,19.678169,-808.705339,6.280512
0.050000,77.730357,186.014175,0.667866,5.325929,22.299206,52.420728,6.278674
0.050000,78.058867,186.012317,0.996381,6.570290,24.887213,51.760142,6.276383
0.050000,78.455844,186.009062,1.393371,7.939818,27.390558,50.066896,6.273580
0.050000,78.927919,186.003731,1.865476,9.442098,30.045600,53.100851,6.270198
0.050000,79.481006,185.995435,2.418625,11.062979,32.417616,47.440321,6.266165
0.050000,80.121269,185.983016,3.059009,12.807681,34.894049,49.528657,6.261399
0.050000,80.851434,185.965081,3.789395,14.607705,36.000476,22.128536,6.255830
0.050000,81.667459,185.940153,4.605800,16.328113,34.408154,-31.846430,6.249432
0.050000,82.562197,185.906717,5.501163,17.907247,31.582686,-56.509372,6.242195
0.050000,83.527954,185.863220,6.467899,19.334723,28.549520,-60.663310,6.234108
0.050000,84.557427,185.808065,7.498848,20.618984,25.685219,-57.286022,6.225154
0.050000,85.642966,185.739677,8.586538,21.753810,22.696526,-59.773870,6.215315
0.050000,86.777044,185.656511,9.723662,22.742468,19.773154,-58.467425,6.204569
0.050000,87.951889,185.557109,10.902704,23.580851,16.767657,-60.109946,6.192893
0.050000,89.159772,185.440120,12.116240,24.270711,13.797196,-59.409223,6.180265
0.050000,90.392990,185.304339,13.356910,24.813410,10.853982,-58.864283,6.166661
0.050000,91.643654,185.148769,14.617213,25.206057,7.852943,-60.020778,6.152064
0.050000,92.904118,184.972620,15.889926,25.454245,4.963764,-57.783573,6.136454
0.050000,94.166655,184.775391,17.167775,25.556998,2.055049,-58.174314,6.119822
0.050000,95.423550,184.556918,18.443516,25.514817,-0.843619,-57.973361,6.102166
0.050000,96.667223,184.317406,19.710042,25.330523,-3.685874,-56.845097,6.083495
0.050000,97.893457,184.056763,20.963671,25.072580,-5.158853,-29.459579,6.063783
0.050000,99.100623,183.774498,22.203398,24.794526,-5.561079,-8.044519,6.042962
0.050000,100.287155,183.470136,23.428345,24.498936,-5.911802,-7.014452,6.020960
0.050000,101.451398,183.143255,24.637606,24.185239,-6.273947,-7.242901,5.997704
0.050000,102.591588,182.793512,25.830231,23.852480,-6.655176,-7.624575,5.973121
0.050000,103.706061,182.420593,27.005441,23.504209,-6.965416,-6.204814,5.947137
0.050000,104.792844,182.024364,28.162201,23.135205,-7.380084,-8.293350,5.919685
0.050000,105.850272,181.604683,29.299868,22.753330,-7.637508,-5.148477,5.890701
0.050000,106.876547,181.161571,30.417718,22.357010,-7.926388,-5.777597,5.860133
0.050000,107.870060,180.695105,31.515288,21.951393,-8.112354,-3.719332,5.827942
0.050000,108.829351,180.205439,32.592326,21.540757,-8.212713,-2.007180,5.794107
0.050000,109.753134,179.692802,33.648817,21.129816,-8.218815,-0.122036,5.758634
0.050000,110.640534,179.157363,34.685240,20.728476,-8.026807,3.840167,5.721553
0.050000,111.490948,178.599276,35.702425,20.343703,-7.695458,6.626979,5.682933
0.050000,112.304161,178.018584,36.701684,19.985178,-7.170491,10.499322,5.642881
0.050000,113.080419,177.415105,37.684925,19.664808,-6.407405,15.261725,5.601544
0.050000,113.820276,176.788473,38.654490,19.391312,-5.469933,18.749439,5.559116
0.050000,114.524693,176.137982,39.613313,19.176462,-4.296995,23.458774,5.515828
0.050000,115.194859,175.462650,40.564731,19.028349,-2.962262,26.694657,5.471949
0.050000,115.832142,174.761182,41.512458,18.954549,-1.476001,29.725222,5.427773
0.050000,116.437926,174.032084,42.460381,18.958451,0.078045,31.080908,5.383614
0.050000,117.013524,173.273735,43.412435,19.041075,1.652492,31.488940,5.339784
0.050000,117.560090,172.484509,44.372441,19.200136,3.181219,30.574545,5.296591
0.050000,118.078552,171.662907,45.343951,19.430199,4.601254,28.400705,5.254318
0.050000,118.569599,170.807689,46.330119,19.723345,5.862915,25.233215,5.213217
0.050000,119.033691,169.917961,47.333612,20.069860,6.930310,21.347898,5.173502
0.050000,119.471108,168.993238,48.356570,20.459173,7.786251,17.118824,5.135344
0.050000,119.882004,168.033471,49.400596,20.880504,8.426630,12.807579,5.098871
0.050000,120.266476,167.039029,50.466773,21.323545,8.860809,8.683575,5.064170
0.050000,120.624623,166.010663,51.555720,21.778946,9.108029,4.944400,5.031290
0.050000,120.956590,164.949442,52.667651,22.238624,9.193546,1.710334,5.000248
0.050000,121.262608,163.856699,53.802435,22.695678,9.141097,-1.048975,4.971034
0.050000,121.543019,162.733940,54.959682,23.144933,8.985087,-3.120191,4.943617
0.050000,121.798282,161.582772,56.138811,23.582577,8.752877,-4.644195,4.917950
0.050000,122.028970,160.404879,57.339081,24.005407,8.456610,-5.925357,4.893973
0.050000,122.235763,159.201962,58.559644,24.411267,8.117188,-6.788426,4.871621
0.050000,122.419446,157.975649,59.799637,24.799851,7.771684,-6.910093,4.850822
0.050000,122.580880,156.727555,61.058128,25.169816,7.399304,-7.447592,4.831503
0.050000,122.720996,155.459190,62.334209,25.521629,7.036270,-7.260684,4.813591
0.050000,122.840780,154.171958,63.627002,25.855861,6.684628,-7.032841,4.797015
0.050000,122.941256,152.867179,64.935644,26.172838,6.339543,-6.901694,4.781707
0.050000,123.023476,151.546063,66.259316,26.473446,6.012156,-6.547737,4.767602
0.050000,123.088509,150.209711,67.597249,26.758659,5.704257,-6.157991,4.754637
0.050000,123.137435,148.859113,68.948733,27.029672,5.420261,-5.679917,4.742756
0.050000,123.171336,147.495165,70.313103,27.287401,5.154575,-5.313707,4.731906
0.050000,123.191293,146.118656,71.689756,27.533068,4.913349,-4.824529,4.722039
0.050000,123.198379,144.730288,73.078143,27.767724,4.693126,-4.404457,4.713111
0.050000,123.193659,143.330675,74.477764,27.992419,4.493902,-3.984475,4.705081
0.050000,123.178192,141.920351,75.888172,28.208166,4.314925,-3.579542,4.697913
0.050000,123.153023,140.499785,77.308961,28.415791,4.152509,-3.248320,4.691576
0.050000,123.119189,139.069369,78.739777,28.616314,4.010449,-2.841217,4.686042
0.050000,123.077719,137.629418,80.180325,28.810960,3.892933,-2.350316,4.681286
0.050000,123.029635,136.180204,81.630337,29.000233,3.785450,-2.149645,4.677287
0.050000,122.975954,134.721940,83.089588,29.185034,3.696032,-1.788375,4.674027
0.050000,122.917690,133.254773,84.557911,29.366461,3.628525,-1.350142,4.671492
0.050000,122.855861,131.778821,86.035158,29.544939,3.569568,-1.179126,4.669672
0.050000,122.791485,130.294138,87.521236,29.721550,3.532227,-0.746829,4.668558
0.050000,122.725590,128.800746,89.016082,29.896913,3.507247,-0.499594,4.668146
0.050000,122.659217,127.298620,90.519673,30.071832,3.498396,-0.177032,4.668433
0.050000,122.593420,125.787701,92.032024,30.247021,3.503777,0.107626,4.669421
0.050000,122.529277,124.267884,93.553194,30.423393,3.527444,0.473347,4.671114
0.050000,122.467891,122.739042,95.083267,30.601471,3.561554,0.682201,4.673520
0.050000,122.410397,121.201005,96.622379,30.782234,3.615260,1.074119,4.676649
0.050000,122.357970,119.653569,98.170703,30.966478,3.684886,1.392510,4.680515
0.050000,122.311828,118.096515,99.728441,31.154756,3.765549,1.613258,4.685134
0.050000,122.273240,116.529572,101.295859,31.348362,3.872128,2.131595,4.690527
0.050000,122.243540,114.952458,102.873252,31.547859,3.989925,2.355927,4.696719
0.050000,122.224126,113.364874,104.460955,31.754062,4.124077,2.683052,4.703735
0.050000,122.216477,111.766488,106.059360,31.968090,4.280551,3.129475,4.711608
0.050000,122.222160,110.156937,107.668920,32.191215,4.462492,3.638818,4.720373
0.050000,122.242845,108.535871,109.290118,32.423958,4.654862,3.847396,4.730069
0.050000,122.280309,106.902927,110.923492,32.667485,4.870548,4.313727,4.740740
0.050000,122.336461,105.257737,112.569640,32.922952,5.109341,4.775850,4.752432
0.050000,122.413343,103.599947,114.229212,33.191430,5.369564,5.204470,4.765199
0.050000,122.513156,101.929227,115.902910,33.473976,5.650912,5.626947,4.779096
0.050000,122.638267,100.245288,117.591491,33.771604,5.952572,6.033202,4.794184
0.050000,122.791228,98.547889,119.295768,34.085551,6.278932,6.527215,4.810528
0.050000,122.974790,96.836876,121.016599,34.416627,6.621511,6.851569,4.828195
0.050000,123.191909,95.112246,122.754843,34.764870,6.964866,6.867108,4.847257
0.050000,123.445765,93.374110,124.511419,35.131514,7.332879,7.360261,4.867786
0.050000,123.739762,91.622783,126.287251,35.516655,7.702823,7.398868,4.889855
0.050000,124.077520,89.858866,128.083214,35.919246,8.051821,6.979957,4.913535
0.050000,124.462867,88.083257,129.900156,36.338847,8.392025,6.804091,4.938895
0.050000,124.899817,86.297231,131.738856,36.773989,8.702838,6.216260,4.965995
0.050000,125.392502,84.502580,133.599906,37.221013,8.940468,4.752593,4.994884
0.050000,125.945128,82.701622,135.483745,37.676775,9.115240,3.495441,5.025598
0.050000,126.560934,80.899903,137.387794,38.080990,8.084302,-20.618749,5.058101
0.050000,127.240885,79.107964,139.304401,38.332127,5.022741,-61.231217,5.092240
0.050000,127.983747,77.338646,141.223341,38.378811,0.933676,-81.781301,5.127769
0.050000,128.786301,75.605149,143.133604,38.205248,-3.471259,-88.098700,5.164377
0.050000,129.643118,73.920729,145.023420,37.796337,-8.178221,-94.139254,5.201695
0.050000,130.546493,72.298248,146.880443,37.140442,-13.117886,-98.793293,5.239305
0.050000,131.486493,70.749770,148.691902,36.229180,-18.225244,-102.147156,5.276758
0.050000,132.451162,69.286139,150.444842,35.058815,-23.407298,-103.641095,5.313588
0.050000,133.426875,67.916651,152.126364,33.630428,-28.567739,-103.208806,5.349334
0.050000,134.398775,66.648842,153.723839,31.949512,-33.618335,-101.011928,5.383557
0.050000,135.351263,65.488439,155.225095,30.025112,-38.487986,-97.393009,5.415856
0.050000,136.268462,64.439459,156.618513,27.868354,-43.135160,-92.943480,5.445871
0.050000,137.134649,63.504433,157.893092,25.491594,-47.535207,-88.000942,5.473294
0.050000,137.934595,62.684726,159.038446,22.907063,-51.690622,-83.108297,5.497865
0.050000,138.655847,61.978980,160.047545,20.181983,-54.501600,-56.219575,5.519424
0.050000,139.292780,61.380287,160.921682,17.482754,-53.984573,10.340547,5.538011
0.050000,139.846037,60.877885,161.669012,14.946599,-50.723107,65.229314,5.553824
0.050000,140.319097,60.460701,162.299748,12.614710,-46.637783,81.706489,5.567106
0.050000,140.716484,60.118734,162.824017,10.485381,-42.586564,81.024366,5.578097
0.050000,141.043573,59.842885,163.251896,8.557580,-38.556026,80.610761,5.587032
0.050000,141.306372,59.624837,163.593375,6.829585,-34.559912,79.922286,5.594139
0.050000,141.511361,59.456926,163.858356,5.299609,-30.599511,79.208014,5.599639
0.050000,141.665381,59.331995,164.056674,3.966364,-26.664906,78.692114,5.603746
0.050000,141.775539,59.243282,164.198111,2.828748,-22.752323,78.251657,5.606670
0.050000,141.849032,59.184391,164.292289,1.883548,-18.903984,76.966776,5.608615
0.050000,141.893329,59.149009,164.348982,1.133863,-14.993698,78.205717,5.609785
0.050000,141.915854,59.131049,164.377791,0.576179,-11.153688,76.800200,5.610379
0.050000,141.924102,59.124478,164.388335,0.210895,-7.305682,76.960133,5.610596
0.050000,141.925595,59.123289,164.390245,0.038193,-3.454033,77.032980,5.610636
0.050000,141.925595,59.123289,164.390245,0.000000,-0.763866,53.803332,5.610636
