dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,77.088324,207.454337,0.003571,0.142857,2.857143,57.142857,6.281935
0.050000,77.086195,207.454340,0.005700,0.042577,-2.005606,-97.254968,6.282105
0.050000,77.081407,207.454344,0.010489,0.095769,1.063844,61.388997,6.282488
0.050000,77.072899,207.454347,0.018997,0.170157,1.487765,8.478407,6.283169
0.050000,77.147540,207.454386,0.093638,1.492825,26.453352,499.311757,0.001046
0.050000,77.257004,207.454584,0.203102,2.189290,13.929293,-250.481180,0.002575
0.050000,77.406044,207.455123,0.352143,2.980815,15.830513,38.024388,0.004652
0.050000,77.600775,207.456292,0.546877,3.894685,18.277387,48.937477,0.007359
0.050000,77.847347,207.458528,0.793460,4.931652,20.739350,49.239275,0.010775
0.050000,78.151935,207.462451,1.098073,6.092252,23.212000,49.452984,0.014977
0.050000,78.520748,207.468910,1.466943,7.377405,25.703049,49.820984,0.020039
0.050000,78.960042,207.479032,1.906353,8.788208,28.216066,50.260342,0.026029
0.050000,79.476119,207.494274,2.422655,10.326032,30.756482,50.808322,0.033010
0.050000,80.075352,207.516474,3.022299,11.992886,33.337081,51.611968,0.041039
0.050000,80.761107,207.547760,3.708767,13.729367,34.729615,27.850692,0.050121
0.050000,81.530691,207.590253,4.479524,15.415139,33.715438,-20.283533,0.060175
0.050000,82.378347,207.645973,5.329009,16.989692,31.491073,-44.487309,0.071073
0.050000,83.298315,207.716858,6.251704,18.453900,29.284164,-44.138190,0.082685
0.050000,84.284820,207.804697,7.242112,19.808156,27.085104,-43.981188,0.094881
0.050000,85.332061,207.911074,8.294742,21.052601,24.888905,-43.923986,0.107527
0.050000,86.434201,208.037311,9.404088,22.186924,22.686461,-44.048868,0.120493
0.050000,87.585364,208.184424,10.564613,23.210492,20.471350,-44.302221,0.133650
0.050000,88.779628,208.353088,11.770728,24.122318,18.236535,-44.696314,0.146874
0.050000,90.011021,208.543608,13.016772,24.920874,15.971119,-45.308310,0.160047
0.050000,91.273514,208.755903,14.296991,25.604369,13.669887,-46.024649,0.173058
0.050000,92.561028,208.989496,15.605524,26.170660,11.325827,-46.881203,0.185803
0.050000,93.867427,209.243513,16.936388,26.617297,8.932750,-47.861530,0.198190
0.050000,95.186517,209.516697,18.283470,26.941633,6.486708,-48.920842,0.210137
0.050000,96.512053,209.807418,19.640513,27.140853,3.984395,-50.046262,0.221573
0.050000,97.840902,210.114453,21.004371,27.277161,2.726177,-25.164347,0.232464
0.050000,99.173084,210.437194,22.375090,27.414375,2.744280,0.362048,0.242806
0.050000,100.508631,210.775017,23.752700,27.552211,2.756704,0.248480,0.252597
0.050000,101.847586,211.127291,25.137221,27.690417,2.764118,0.148288,0.261834
0.050000,103.190005,211.493368,26.528660,27.828778,2.767232,0.062280,0.270519
0.050000,104.535957,211.872595,27.927016,27.967114,2.766713,-0.010385,0.278650
0.050000,105.885522,212.264307,29.332279,28.105267,2.763062,-0.073011,0.286229
0.050000,107.238797,212.667834,30.744436,28.243136,2.757388,-0.113487,0.293256
0.050000,108.595891,213.082498,32.163467,28.380623,2.749740,-0.152963,0.299733
0.050000,109.956927,213.507614,33.589350,28.517663,2.740796,-0.178879,0.305663
0.050000,111.322042,213.942494,35.022061,28.654214,2.731027,-0.195384,0.311046
0.050000,112.691388,214.386442,36.461574,28.790257,2.720857,-0.203393,0.315885
0.050000,114.065128,214.838759,37.907863,28.925791,2.710667,-0.203806,0.320181
0.050000,115.443441,215.298741,39.360905,29.060830,2.700778,-0.197779,0.323938
0.050000,116.826516,215.765679,40.820675,29.195402,2.691450,-0.186557,0.327156
0.050000,118.214558,216.238858,42.287153,29.329559,2.683149,-0.166011,0.329838
0.050000,119.607779,216.717561,43.760320,29.463350,2.675817,-0.146645,0.331985
0.050000,121.006407,217.201062,45.240162,29.596837,2.669732,-0.121705,0.333597
0.050000,122.410676,217.688630,46.726666,29.730089,2.665032,-0.093998,0.334677
0.050000,123.820833,218.179527,48.219825,29.863180,2.661820,-0.064235,0.335224
0.050000,125.237133,218.673009,49.719635,29.996188,2.660165,-0.033105,0.335239
