dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,77.068390,182.454348,0.003571,0.142857,2.857143,57.142857,6.282841
0.050000,77.068849,182.454348,0.004031,0.009182,-2.673502,-110.612899,6.282878
0.050000,77.069882,182.454347,0.005063,0.020659,0.229533,58.060696,6.282960
0.050000,77.071718,182.454347,0.006900,0.036723,0.321295,1.835242,6.283107
0.050000,77.133454,182.454352,0.068635,1.234708,23.959695,472.768008,0.000151
0.050000,77.266155,182.454394,0.201337,2.654031,28.386448,88.535054,0.000482
0.050000,77.446775,182.454521,0.381957,3.612406,19.167517,-184.378621,0.000931
0.050000,77.682685,182.454810,0.617867,4.718199,22.115843,58.966515,0.001518
0.050000,77.981255,182.455374,0.916437,5.971402,25.064069,58.964518,0.002261
0.050000,78.349852,182.456377,1.285035,7.371967,28.011296,58.944551,0.003178
0.050000,78.795846,182.458041,1.731032,8.919944,30.959536,58.964803,0.004286
0.050000,79.326600,182.460666,2.261793,10.615216,33.905453,58.918333,0.005604
0.050000,79.949478,182.464638,2.884684,12.457807,36.851805,58.927043,0.007150
0.050000,80.671836,182.470449,3.607066,14.447639,39.796649,58.896881,0.008940
0.050000,81.497344,182.478674,4.432614,16.510964,41.266493,29.396884,0.010984
0.050000,82.422293,182.489892,5.357631,18.500344,39.787600,-29.577871,0.013271
0.050000,83.439286,182.504666,6.374732,20.342017,36.833465,-59.082700,0.015782
0.050000,84.540926,182.523551,7.476533,22.036027,33.880197,-59.065347,0.018498
0.050000,85.719807,182.547070,8.655648,23.582307,30.925595,-59.092046,0.021398
0.050000,86.968525,182.575711,9.904696,24.980945,27.972775,-59.056405,0.024465
0.050000,88.279674,182.609904,11.216290,26.231883,25.018761,-59.080281,0.027678
0.050000,89.645844,182.650011,12.583049,27.335181,22.065950,-59.056209,0.031019
0.050000,91.059628,182.696321,13.997591,28.290841,19.113213,-59.054756,0.034468
0.050000,92.513618,182.749034,15.452536,29.098905,16.161263,-59.038991,0.038007
0.050000,94.000410,182.808258,16.940507,29.759414,13.210193,-59.021409,0.041616
0.050000,95.512601,182.874000,18.454126,30.272385,10.259421,-59.015429,0.045277
0.050000,97.042794,182.946163,19.986020,30.637879,7.309881,-58.990796,0.048971
0.050000,98.583599,183.024545,21.528818,30.855948,4.361368,-58.970258,0.052681
0.050000,100.127632,183.108833,23.075149,30.926639,1.413822,-58.950937,0.056388
0.050000,101.671192,183.198825,24.621331,30.923632,-0.060129,-29.479018,0.060082
0.050000,103.214258,183.294501,26.167360,30.920575,-0.061146,-0.020333,0.063765
0.050000,104.756806,183.395838,27.713233,30.917468,-0.062147,-0.020014,0.067434
0.050000,106.298815,183.502815,29.258949,30.914311,-0.063131,-0.019690,0.071092
0.050000,107.840264,183.615410,30.804504,30.911106,-0.064099,-0.019363,0.074736
0.050000,109.381131,183.733599,32.349897,30.907854,-0.065051,-0.019032,0.078368
0.050000,110.921394,183.857359,33.895124,30.904554,-0.065986,-0.018698,0.081986
0.050000,112.461034,183.986668,35.440185,30.901209,-0.066904,-0.018360,0.085591
0.050000,114.000030,184.121501,36.985076,30.897819,-0.067805,-0.018020,0.089182
0.050000,115.538362,184.261833,38.529795,30.894385,-0.068689,-0.017678,0.092760
0.050000,117.076009,184.407642,40.074340,30.890907,-0.069555,-0.017333,0.096324
0.050000,118.612953,184.558901,41.618710,30.887387,-0.070405,-0.016987,0.099873
0.050000,120.149175,184.715585,43.162901,30.883825,-0.071237,-0.016639,0.103409
0.050000,121.684655,184.877670,44.706912,30.880222,-0.072051,-0.016290,0.106930
0.050000,123.219375,185.045129,46.250741,30.876580,-0.072848,-0.015939,0.110436
0.050000,124.753317,185.217937,47.794386,30.872898,-0.073627,-0.015588,0.113928
