dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,57.020014,39.499984,0.003571,0.142857,2.857143,57.142857,6.281584
0.050000,57.018285,39.499987,0.005300,0.034576,-2.165617,-100.455204,6.281722
0.050000,57.014396,39.499992,0.009190,0.077797,0.864417,60.600678,6.282034
0.050000,57.007480,39.499998,0.016105,0.138308,1.210209,6.915845,6.282587
0.050000,57.024159,39.500003,0.032785,0.333581,3.905470,53.905218,0.000266
0.050000,57.137160,39.500104,0.145785,2.260011,38.528592,692.462439,0.001511
0.050000,57.290953,39.500467,0.299579,3.075880,16.317380,-444.224237,0.003208
0.050000,57.491811,39.501334,0.500439,4.017197,18.826352,50.179443,0.005426
0.050000,57.745952,39.503069,0.754586,5.082934,21.314738,49.767715,0.008236
0.050000,58.059652,39.506198,1.068302,6.274318,23.827684,50.258924,0.011710
0.050000,58.439117,39.511441,1.447802,7.590015,26.313932,49.724955,0.015922
0.050000,58.890545,39.519762,1.899307,9.030094,28.801587,49.753112,0.020944
0.050000,59.420125,39.532420,2.429039,10.594636,31.290840,49.785057,0.026852
0.050000,60.033991,39.551016,3.043186,12.282934,33.765964,49.502473,0.033720
0.050000,60.735121,39.577428,3.744813,14.032546,34.992236,24.525440,0.041590
0.050000,61.520189,39.613573,4.530713,15.717996,33.709000,-25.664720,0.050431
0.050000,62.382741,39.661323,5.394586,17.277465,31.189377,-50.392460,0.060178
0.050000,63.316296,39.722528,6.330144,18.711171,28.674110,-50.305326,0.070762
0.050000,64.314357,39.798963,7.331128,20.019675,26.170084,-50.080528,0.082111
0.050000,65.370438,39.892278,8.391324,21.203911,23.684719,-49.707310,0.094152
0.050000,66.478060,40.003946,9.504561,22.264751,21.216810,-49.358181,0.106807
0.050000,67.630736,40.135225,10.664688,23.202542,18.755824,-49.219712,0.119995
0.050000,68.822020,40.287115,11.865617,24.018564,16.320442,-48.707639,0.133635
0.050000,70.045458,40.460324,13.101255,24.712762,13.883952,-48.729808,0.147640
0.050000,71.294649,40.655241,14.365561,25.286133,11.467411,-48.330810,0.161923
0.050000,72.563215,40.871910,15.652497,25.738714,9.051618,-48.315861,0.176396
0.050000,73.844813,41.110012,16.956026,26.070584,6.637409,-48.284190,0.190969
0.050000,75.133173,41.368858,18.270131,26.282102,4.230369,-48.140790,0.205555
0.050000,76.422034,41.647373,19.588741,26.372198,1.801917,-48.569042,0.220065
0.050000,77.708279,41.944836,20.908935,26.403868,0.633390,-23.370532,0.234448
0.050000,78.991860,42.261105,22.230906,26.439419,0.711033,1.552846,0.248690
0.050000,80.272732,42.596019,23.554839,26.478674,0.785101,1.481368,0.262774
0.050000,81.550867,42.949405,24.880927,26.521757,0.861649,1.530956,0.276686
0.050000,82.826230,43.321072,26.209343,26.568323,0.931320,1.393413,0.290412
0.050000,84.098795,43.710814,27.540252,26.618177,0.997085,1.315317,0.303939
0.050000,85.368539,44.118411,28.873814,26.671233,1.061126,1.280816,0.317253
0.050000,86.635452,44.543629,30.210181,26.727347,1.122280,1.223069,0.330342
0.050000,87.899521,44.986220,31.549494,26.786250,1.178056,1.115527,0.343197
0.050000,89.160741,45.445921,32.891880,26.847720,1.229403,1.026941,0.355805
0.050000,90.419112,45.922459,34.237460,26.911607,1.277728,0.966504,0.368158
0.050000,91.674641,46.415549,35.586345,26.977707,1.322008,0.885591,0.380246
0.050000,92.927342,46.924893,36.938636,27.045821,1.362279,0.805430,0.392062
0.050000,94.177235,47.450184,38.294425,27.115765,1.398872,0.731858,0.403599
0.050000,95.424343,47.991105,39.653791,27.187319,1.431093,0.644408,0.414849
0.050000,96.668700,48.547331,41.016806,27.260303,1.459670,0.571546,0.425807
0.050000,97.910344,49.118527,42.383533,27.334547,1.484891,0.504431,0.436468
0.050000,99.149320,49.704352,43.754027,27.409882,1.506692,0.436014,0.446828
0.050000,100.385683,50.304458,45.128335,27.486145,1.525250,0.371151,0.456883
0.050000,101.619492,50.918492,46.506494,27.563182,1.540753,0.310077,0.466630
0.050000,102.850815,51.546096,47.888536,27.640852,1.553402,0.252961,0.476066
0.050000,104.079726,52.186906,49.274487,27.719014,1.563227,0.196519,0.485190
0.050000,105.306307,52.840556,50.664365,27.797554,1.570811,0.151673,0.493999
0.050000,106.530649,53.506676,52.058183,27.876362,1.576165,0.107080,0.502493
0.050000,107.752847,54.184896,53.455950,27.955335,1.579456,0.065819,0.510672
0.050000,108.973008,54.874841,54.857669,28.034381,1.580916,0.029200,0.518534
0.050000,110.191242,55.576138,56.263340,28.113418,1.580743,-0.003466,0.526080
0.050000,111.407668,56.288411,57.672958,28.192375,1.579127,-0.032307,0.533310
0.050000,112.622412,57.011283,59.086517,28.271168,1.575867,-0.065216,0.540225
0.050000,113.835607,57.744381,60.504005,28.349772,1.572088,-0.075566,0.546826
0.050000,115.047393,58.487329,61.925412,28.428142,1.567388,-0.094010,0.553113
0.050000,116.257918,59.239753,63.350724,28.506231,1.561777,-0.112222,0.559088
0.050000,117.467335,60.001281,64.779924,28.584008,1.555558,-0.124369,0.564752
0.050000,118.675803,60.771541,66.212997,28.661452,1.548872,-0.133727,0.570106
0.050000,119.883489,61.550163,67.649922,28.738510,1.541160,-0.154248,0.575152
0.050000,121.090565,62.336777,69.090684,28.815240,1.534606,-0.131072,0.579891
0.050000,122.297210,63.131018,70.535265,28.891605,1.527289,-0.146347,0.584324
0.050000,123.503609,63.932521,71.983645,28.967603,1.519957,-0.146636,0.588454
0.050000,124.709951,64.740922,73.435807,29.043234,1.512627,-0.146595,0.592281
0.050000,125.916432,65.555858,74.891731,29.118489,1.505091,-0.150716,0.595807
0.050000,127.123252,66.376971,76.351403,29.193435,1.498921,-0.123412,0.599033
0.050000,128.330619,67.203901,77.814806,29.268057,1.492456,-0.129293,0.601961
0.050000,129.538743,68.036292,79.281924,29.342376,1.486380,-0.121513,0.604591
0.050000,130.747839,68.873786,80.752744,29.416395,1.480365,-0.120311,0.606926
0.050000,131.958129,69.716029,82.227253,29.490175,1.475606,-0.095181,0.608965
0.050000,133.169839,70.562668,83.705439,29.563733,1.471152,-0.089068,0.610710
0.050000,134.383196,71.413347,85.187294,29.637090,1.467148,-0.080090,0.612162
0.050000,135.598436,72.267714,86.672807,29.710269,1.463579,-0.071375,0.613321
0.050000,136.815796,73.125414,88.161973,29.783321,1.461037,-0.050839,0.614187
0.050000,138.035518,73.986095,89.654787,29.856273,1.459047,-0.039800,0.614762
0.050000,139.257847,74.849402,91.151245,29.929154,1.457626,-0.028417,0.615046
