dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,74.347380,27.906879,0.003571,0.142857,2.857143,57.142857,6.281729
0.050000,74.349247,27.906877,0.005438,0.037335,-2.110451,-99.351873,6.281879
0.050000,74.353447,27.906872,0.009638,0.084001,0.933319,60.875394,6.282215
0.050000,74.360913,27.906867,0.017105,0.149326,1.306516,7.463933,6.282812
0.050000,74.426169,27.906883,0.082360,1.305113,23.115733,436.184343,0.000560
0.050000,74.571543,27.907062,0.227734,2.907482,32.047376,178.632860,0.001905
0.050000,74.769429,27.907620,0.425621,3.957741,21.005183,-220.843860,0.003735
0.050000,75.027899,27.908895,0.684094,5.169450,24.234185,64.580049,0.006128
0.050000,75.355061,27.911395,1.011265,6.543430,27.479602,64.908327,0.009159
0.050000,75.759000,27.915851,1.415230,8.079286,30.717126,64.750479,0.012904
0.050000,76.247795,27.923268,1.904081,9.777026,33.954794,64.753361,0.017441
0.050000,76.829534,27.934988,2.485937,11.637127,37.202017,64.944473,0.022847
0.050000,77.512277,27.952758,3.168912,13.659495,40.447353,64.906710,0.029199
0.050000,78.304055,27.978806,3.961118,15.844115,43.692413,64.901212,0.036576
0.050000,79.208802,28.015736,4.866618,18.110013,45.317944,32.510622,0.045016
0.050000,80.222311,28.066199,5.881383,20.295301,43.705763,-32.243619,0.054483
0.050000,81.336240,28.132770,6.997299,22.318314,40.460258,-64.910111,0.064900
0.050000,82.542162,28.217981,8.206228,24.178581,37.205347,-65.098219,0.076186
0.050000,83.831544,28.324237,9.499981,25.875049,33.929358,-65.519775,0.088258
0.050000,85.195769,28.453743,10.870340,27.407180,30.642631,-65.734538,0.101031
0.050000,86.626124,28.608426,12.309034,28.773892,27.334239,-66.167846,0.114413
0.050000,88.113838,28.789877,13.807773,29.974771,24.017570,-66.333389,0.128313
0.050000,89.650074,28.999288,15.358215,31.008849,20.681572,-66.719948,0.142635
0.050000,91.225972,29.237407,16.952002,31.875741,17.337822,-66.875000,0.157283
0.050000,92.832705,29.504503,18.580785,32.575647,13.998122,-66.794009,0.172158
0.050000,94.461448,29.800329,20.236175,33.107802,10.643116,-67.100115,0.187162
0.050000,96.103473,30.124118,21.909819,33.472882,7.301580,-66.830711,0.202197
0.050000,97.750158,30.474575,23.593384,33.671299,3.968340,-66.664807,0.217170
0.050000,99.393033,30.849885,25.278583,33.703990,0.653828,-66.290243,0.231987
0.050000,101.027672,31.248708,26.961172,33.651774,-1.044322,-33.962994,0.246595
0.050000,102.653627,31.670477,28.640939,33.595342,-1.128634,-1.686250,0.260978
0.050000,104.270496,32.114596,30.317694,33.535096,-1.204915,-1.525608,0.275119
0.050000,105.877908,32.580439,31.991248,33.471083,-1.280260,-1.506904,0.289005
0.050000,107.475533,33.067357,33.661426,33.403557,-1.350528,-1.405362,0.302620
0.050000,109.063090,33.574684,35.328075,33.332973,-1.411685,-1.223140,0.315953
0.050000,110.640324,34.101733,36.991039,33.259286,-1.473732,-1.240947,0.328991
0.050000,112.207036,34.647808,38.650190,33.183020,-1.525323,-1.031821,0.341724
0.050000,113.763054,35.212199,40.305402,33.104252,-1.575355,-1.000627,0.354142
0.050000,115.308251,35.794193,41.956570,33.023343,-1.618177,-0.856440,0.366236
0.050000,116.842537,36.393071,43.603594,32.940479,-1.657296,-0.782378,0.377999
0.050000,118.365856,37.008115,45.246390,32.855925,-1.691078,-0.675656,0.389423
0.050000,119.878188,37.638606,46.884885,32.769895,-1.720599,-0.590414,0.400503
0.050000,121.379543,38.283829,48.519015,32.682609,-1.745719,-0.502405,0.411235
0.050000,122.869966,38.943076,50.148728,32.594269,-1.766806,-0.421725,0.421612
0.050000,124.349527,39.615644,51.773982,32.505063,-1.784109,-0.346070,0.431633
0.050000,125.818323,40.300840,53.394740,32.415168,-1.797905,-0.275910,0.441294
0.050000,127.276480,40.997980,55.010977,32.324746,-1.808442,-0.210751,0.450594
