dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,79.077334,297.189104,0.003571,0.142857,2.857143,57.142857,0.000694
0.050000,79.078506,297.189105,0.004744,0.023456,-2.388032,-104.903494,0.000600
0.050000,79.081143,297.189106,0.007381,0.052734,0.585573,59.472090,0.000389
0.050000,79.085824,297.189107,0.012061,0.093610,0.817519,4.638934,0.000015
0.050000,79.180142,297.189080,0.106380,1.886373,35.855256,700.754733,6.282616
0.050000,79.319180,297.188943,0.245418,2.780764,17.887827,-359.348587,6.281779
0.050000,79.508352,297.188570,0.434590,3.783435,20.053405,43.311559,6.280645
0.050000,79.755305,297.187760,0.681545,4.939091,23.113136,61.194623,6.279175
0.050000,80.067646,297.186219,0.993889,6.246888,26.155938,60.856049,6.277330
0.050000,80.452927,297.183529,1.379180,7.705813,29.178499,60.451212,6.275078
0.050000,80.918636,297.179126,1.844910,9.314598,32.175688,59.943791,6.272391
0.050000,81.472178,297.172278,2.398494,11.071686,35.141765,59.321523,6.269247
0.050000,82.120857,297.162059,3.047254,12.975202,38.070323,58.571165,6.265632
0.050000,82.871862,297.147332,3.798403,15.022990,40.955752,57.708586,6.261540
0.050000,83.728420,297.126832,4.655206,17.136048,42.261179,26.108531,6.256996
0.050000,84.686014,297.099375,5.613193,19.159750,40.474035,-35.742863,6.252071
0.050000,85.736276,297.063929,6.664054,21.017213,37.149249,-66.495733,6.246859
0.050000,86.870846,297.019603,7.799489,22.708702,33.829784,-66.389294,6.241453
0.050000,88.081386,296.965686,9.011230,24.234815,30.522265,-66.150386,6.235942
0.050000,89.359609,296.901680,10.291054,25.596486,27.233411,-65.777072,6.230413
0.050000,90.697290,296.827319,11.630800,26.794914,23.968567,-65.296875,6.224948
0.050000,92.086285,296.742582,13.022377,27.831548,20.732671,-64.717926,6.219621
0.050000,93.518547,296.647692,14.457779,28.708046,17.529962,-64.054173,6.214503
0.050000,94.986136,296.543112,15.929090,29.426215,14.363378,-63.331696,6.209656
0.050000,96.481229,296.429527,17.428491,29.988025,11.236212,-62.543304,6.205132
0.050000,97.996124,296.307822,18.948267,30.395517,8.149827,-61.727712,6.200978
0.050000,99.523244,296.179062,20.480806,30.650771,5.105084,-60.894864,6.197232
0.050000,101.055141,296.044453,22.018606,30.756000,2.104579,-60.010088,6.193923
0.050000,102.584490,295.905318,23.554271,30.713294,-0.854110,-59.173794,6.191069
0.050000,104.107708,295.762713,25.084150,30.597581,-2.314262,-29.203031,6.188679
0.050000,105.624876,295.617368,26.608264,30.482279,-2.306042,0.164400,6.186750
0.050000,107.136075,295.470003,28.126631,30.367349,-2.298600,0.148849,6.185281
0.050000,108.641385,295.321328,29.639265,30.252687,-2.293232,0.107347,6.184270
0.050000,110.140883,295.172042,31.146176,30.138220,-2.289355,0.077549,6.183717
0.050000,111.634643,295.022839,32.647369,30.023857,-2.287254,0.042020,6.183622
0.050000,113.122734,294.874402,34.142845,29.909513,-2.286888,0.007323,6.183983
