dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,58.015815,285.500010,0.003571,0.142857,2.857143,57.142857,0.001265
0.050000,58.014046,285.500008,0.005341,0.035393,-2.149274,-100.128336,0.001124
0.050000,58.010064,285.500004,0.009323,0.079633,0.884800,60.681488,0.000805
0.050000,58.002986,285.500000,0.016401,0.141564,1.238619,7.076377,0.000239
0.050000,58.057115,285.499982,0.070530,1.082590,18.820505,351.637718,6.282539
0.050000,58.169754,285.499837,0.183170,2.252785,23.403897,91.667828,6.281265
0.050000,58.323054,285.499410,0.336470,3.066009,16.264490,-142.788136,6.279529
0.050000,58.523270,285.498450,0.536688,4.004358,18.766980,50.049800,6.277260
0.050000,58.776628,285.496585,0.790054,5.067312,21.259070,49.841810,6.274387
0.050000,59.089370,285.493279,1.102813,6.255182,23.757409,49.966771,6.270836
0.050000,59.467703,285.487793,1.481185,7.567450,26.245360,49.759024,6.266535
0.050000,59.917839,285.479143,1.931405,9.004388,28.738765,49.868098,6.261410
0.050000,60.445960,285.466050,2.459687,10.565654,31.225313,49.730956,6.255386
0.050000,61.058217,285.446883,3.072245,12.251151,33.709950,49.692737,6.248391
0.050000,61.757622,285.419736,3.772177,13.998636,34.949687,24.794742,6.240386
0.050000,62.540916,285.382668,4.556347,15.683401,33.695297,-25.087791,6.231406
0.050000,63.401697,285.333791,5.418515,17.243358,31.199149,-49.922972,6.221522
0.050000,64.333538,285.271246,6.352453,18.678758,28.708007,-49.822838,6.210809
0.050000,65.330036,285.193252,7.351997,19.990898,26.242798,-49.304166,6.199345
0.050000,66.384768,285.098165,8.411007,21.180196,23.785950,-49.136975,6.187209
0.050000,67.491302,284.984524,9.523362,22.247088,21.337856,-48.961882,6.174483
0.050000,68.643228,284.851091,10.682990,23.192566,18.909557,-48.565963,6.161254
0.050000,69.834145,284.696897,11.883847,24.017144,16.491545,-48.360246,6.147610
0.050000,71.057666,284.521270,13.119909,24.721242,14.081963,-48.191645,6.133638
0.050000,72.307419,284.323867,14.385156,25.304935,11.673857,-48.162126,6.119430
0.050000,73.577071,284.104691,15.673587,25.768621,9.273721,-48.002709,6.105077
0.050000,74.860312,283.864115,16.979185,26.111953,6.866655,-48.141319,6.090669
0.050000,76.150872,283.602885,18.295918,26.334669,4.454315,-48.246802,6.076294
0.050000,77.442514,283.322129,19.617721,26.436054,2.027705,-48.532204,6.062039
0.050000,78.732113,283.022618,20.941643,26.478451,0.847935,-23.595403,6.047954
0.050000,80.019631,282.704537,22.267870,26.524540,0.921778,1.476875,6.034053
0.050000,81.305040,282.368086,23.596583,26.574250,0.994191,1.448248,6.020351
0.050000,82.588307,282.013484,24.927941,26.627171,1.058431,1.284796,6.006860
0.050000,83.869408,281.640961,26.262106,26.683288,1.122339,1.278159,5.993594
0.050000,85.148328,281.250764,27.599225,26.742392,1.182086,1.194956,5.980565
0.050000,86.425047,280.843153,28.939434,26.804173,1.235608,1.070429,5.967782
0.050000,87.699562,280.418400,30.282864,26.868595,1.288455,1.056942,5.955257
0.050000,88.971865,279.976793,31.629627,26.935268,1.333457,0.900038,5.942999
0.050000,90.241961,279.518628,32.979834,27.004134,1.377323,0.877324,5.931016
0.050000,91.509856,279.044216,34.333578,27.074890,1.415102,0.755585,5.919316
0.050000,92.775565,278.553875,35.690949,27.147402,1.450240,0.702750,5.907907
0.050000,94.039108,278.047935,37.052020,27.221430,1.480571,0.606624,5.896793
0.050000,95.300512,277.526734,38.416861,27.296821,1.507808,0.544747,5.885981
0.050000,96.559810,276.990617,39.785530,27.373372,1.531021,0.464264,5.875475
0.050000,97.817044,276.439938,41.158076,27.450928,1.551122,0.402004,5.865279
0.050000,99.072260,275.875057,42.534542,27.529321,1.567874,0.335038,5.855397
0.050000,100.325514,275.296340,43.914962,27.608402,1.581618,0.274895,5.845831
0.050000,101.576868,274.704155,45.299364,27.688038,1.592720,0.222030,5.836583
0.050000,102.826391,274.098879,46.687768,27.768086,1.600946,0.164525,5.827656
0.050000,104.074160,273.480889,48.080191,27.848448,1.607241,0.125908,5.819050
0.050000,105.320260,272.850566,49.476640,27.928990,1.610844,0.072053,5.810766
0.050000,106.564782,272.208294,50.877123,28.009647,1.613135,0.045818,5.802805
0.050000,107.807827,271.554457,52.281638,28.090299,1.613047,-0.001760,5.795167
0.050000,109.049500,270.889440,53.690183,28.170902,1.612053,-0.019883,5.787851
0.050000,110.289916,270.213632,55.102751,28.251362,1.609212,-0.056809,5.780856
0.050000,111.529197,269.527419,56.519333,28.331640,1.605559,-0.073062,5.774183
0.050000,112.767470,268.831188,57.939917,28.411684,1.600871,-0.093760,5.767830
0.050000,114.004872,268.125325,59.364489,28.491439,1.595100,-0.115421,5.761796
0.050000,115.241545,267.410216,60.793034,28.570909,1.589398,-0.114052,5.756080
0.050000,116.477637,266.686245,62.225535,28.650008,1.581985,-0.148244,5.750680
0.050000,117.713306,265.953796,63.661975,28.728797,1.575787,-0.123965,5.745595
0.050000,118.948713,265.213252,65.102334,28.807187,1.567795,-0.159848,5.740824
0.050000,120.184027,264.464993,66.546596,28.885233,1.560916,-0.137573,5.736365
0.050000,121.419422,263.709398,67.994741,28.962905,1.553441,-0.149493,5.732217
0.050000,122.655079,262.946847,69.446751,29.040199,1.545873,-0.151366,5.728378
0.050000,123.891184,262.177713,70.902609,29.117163,1.539297,-0.131523,5.724846
0.050000,125.127930,261.402375,72.362297,29.193759,1.531921,-0.147517,5.721621
0.050000,126.365513,260.621205,73.825799,29.270050,1.525809,-0.122246,5.718702
0.050000,127.604137,259.834575,75.293101,29.346039,1.519789,-0.120393,5.716086
0.050000,128.844008,259.042859,76.764188,29.421728,1.513771,-0.120366,5.713773
0.050000,130.085341,258.246427,78.239047,29.497185,1.509149,-0.092435,5.711762
0.050000,131.328351,257.445650,79.717667,29.572408,1.504453,-0.093928,5.710051
0.050000,132.573260,256.640897,81.200039,29.647431,1.500460,-0.079858,5.708641
0.050000,133.820295,255.832540,82.686154,29.722300,1.497382,-0.061551,5.707530
0.050000,135.069686,255.020950,84.176006,29.797032,1.494630,-0.055038,5.706718
0.050000,136.321668,254.206496,85.669589,29.871669,1.492745,-0.037710,5.706205
0.050000,137.576477,253.389553,87.166901,29.946246,1.491551,-0.023887,5.705990
0.050000,138.834357,252.570493,88.667941,30.020796,1.490999,-0.011028,5.706073
0.050000,140.095551,251.749691,90.172709,30.095357,1.491215,0.004316,5.706454
0.050000,141.360309,250.927526,91.681207,30.169960,1.492055,0.016809,5.707134
0.050000,142.628880,250.104378,93.193439,30.244650,1.493797,0.034843,5.708113
0.050000,143.901519,249.280628,94.709412,30.319449,1.495984,0.043725,5.709391
0.050000,145.178481,248.456665,96.229131,30.394392,1.498853,0.057380,5.710968
0.050000,146.460026,247.632878,97.752608,30.469534,1.502846,0.079860,5.712846
0.050000,147.746411,246.809663,99.279852,30.544869,1.506694,0.076956,5.715026
0.050000,149.037900,245.987418,100.810874,30.620448,1.511595,0.098023,5.717508
0.050000,150.334755,245.166549,102.345689,30.696310,1.517243,0.112958,5.720293
0.050000,151.637237,244.347466,103.884312,30.772442,1.522641,0.107961,5.723383
0.050000,152.945613,243.530586,105.426757,30.848909,1.529328,0.133750,5.726779
0.050000,154.260143,242.716333,106.973042,30.925701,1.535850,0.130445,5.730481
0.050000,155.581090,241.905138,108.523183,31.002827,1.542520,0.133401,5.734493
0.050000,156.908717,241.097440,110.077201,31.080352,1.550486,0.159310,5.738814
0.050000,158.243281,240.293685,111.635111,31.158200,1.556963,0.129550,5.743447
0.050000,159.585041,239.494329,113.196933,31.236445,1.564905,0.158828,5.748393
0.050000,160.934248,238.699836,114.762686,31.315045,1.571995,0.141800,5.753653
0.050000,162.094865,238.019111,116.108203,26.910349,-88.093923,-1793.318348,5.748995
0.050000,163.297037,237.301264,117.508389,28.003724,21.867513,2199.228713,5.741010
0.050000,164.507693,236.566259,118.924695,28.326112,6.447751,-308.395239,5.734314
0.050000,165.726605,235.816049,120.355974,28.625589,5.989551,-9.163997,5.728816
0.050000,166.953755,235.052403,121.801330,28.907108,5.630376,-7.183497,5.724445
0.050000,168.189299,234.276951,123.260060,29.174613,5.350096,-5.605606,5.721143
0.050000,169.433552,233.491198,124.731649,29.431782,5.143371,-4.134513,5.718870
0.050000,170.686977,232.696545,126.215747,29.681952,5.003413,-2.799158,5.717598
0.050000,171.950178,231.894315,127.712159,29.928243,4.925821,-1.551835,5.717311
0.050000,173.223902,231.085767,129.220842,30.173660,4.908335,-0.349720,5.718006
0.050000,174.509045,230.272114,130.741902,30.421203,4.950856,0.850431,5.719690
0.050000,175.806654,229.454540,132.275596,30.673875,5.053453,2.051928,5.722386
0.050000,177.117949,228.634221,133.822340,30.934873,5.219951,3.329960,5.726125
0.050000,178.444337,227.812340,135.382723,31.207657,5.455674,4.714471,5.730956
0.050000,179.787450,226.990105,136.957532,31.496179,5.770447,6.295448,5.736940
0.050000,181.149159,226.168783,138.547758,31.804535,6.167115,7.933361,5.744159
0.050000,182.531627,225.349722,140.154643,32.137685,6.663004,9.917789,5.752710
0.050000,183.937395,224.534369,141.779753,32.502213,7.290558,12.551085,5.762719
0.050000,185.369381,223.724351,143.424963,32.904191,8.039557,14.979962,5.774336
0.050000,186.831036,222.921502,145.092596,33.352667,8.969525,18.599364,5.787748
0.050000,188.326415,222.127953,146.785487,33.857812,10.102899,22.667492,5.803181
0.050000,189.860344,221.346226,148.507123,34.432735,11.498453,27.911068,5.820913
0.050000,191.438551,220.579408,150.261760,35.092723,13.199770,34.026339,5.841286
0.050000,193.067932,219.831328,152.054664,35.858095,15.307439,42.153378,5.864722
0.050000,194.756754,219.106892,153.892306,36.752836,17.894821,51.747653,5.891738
0.050000,196.515029,218.412491,155.782736,37.808595,21.115172,64.407022,5.922978
0.050000,198.354744,217.756686,157.735844,39.062161,25.071319,79.122941,5.959236
0.050000,200.290184,217.151131,159.763805,40.559221,29.941208,97.397764,6.001485
0.050000,202.337993,216.611957,161.881404,42.351989,35.855367,118.283194,6.050910
0.050000,204.516522,216.161712,164.105974,44.491393,42.788073,138.654115,6.108900
0.050000,206.844184,215.831770,166.456905,47.018609,50.544310,155.124737,6.177011
0.050000,209.335143,215.664863,168.953448,49.930876,58.245350,154.020805,6.256788
0.050000,211.991464,215.716118,171.610264,53.136321,64.108905,117.271094,0.066224
0.050000,214.790960,216.049385,174.429528,56.385265,64.978882,17.399537,0.171871
0.050000,217.674651,216.724545,177.391202,59.233487,56.964430,-160.289027,0.288940
0.050000,220.543649,217.775174,180.446520,61.106353,37.457325,-390.142104,0.413525
0.050000,223.276991,219.186817,183.522864,61.526892,8.410772,-580.931067,0.539797
0.050000,225.767381,220.894075,186.542264,60.387985,-22.778131,-623.778066,0.661498
0.050000,227.951934,222.802666,189.443124,58.017214,-47.415434,-492.746058,0.773690
0.050000,229.818715,224.820550,192.192074,54.979001,-60.764245,-266.976222,0.873699
0.050000,231.391917,226.877720,194.781846,51.795427,-63.671486,-58.144807,0.960945
0.050000,232.712040,228.929870,197.221936,48.801812,-59.872303,75.983663,1.036201
0.050000,233.822077,230.953463,199.529990,46.161078,-52.814684,141.152366,1.100876
0.050000,234.760374,232.938152,201.725301,43.906217,-45.097211,154.349464,1.156525
