dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,-0.023862,71.999976,0.003623,0.144910,2.898207,57.964140,0.001988
0.050000,-0.017729,71.999987,0.009755,0.122655,-0.445111,-66.866368,0.001477
0.050000,-0.003929,71.999999,0.023556,0.276001,3.066930,70.240830,0.000327
0.050000,0.069308,71.999940,0.096792,1.464731,23.774585,414.153098,6.281467
0.050000,0.198294,71.999512,0.225779,2.579742,22.300239,-29.486926,6.278266
0.050000,0.384157,71.998169,0.411646,3.717345,22.752044,9.036107,6.273645
0.050000,0.637357,71.994955,0.664867,5.064416,26.941422,83.787551,6.267336
0.050000,0.968421,71.988338,0.995998,6.622606,31.163804,84.447649,6.259063
0.050000,1.387928,71.976010,1.415685,8.393755,35.422975,85.183422,6.248543
0.050000,1.906471,71.954650,1.934668,10.379654,39.717992,85.900337,6.235483
0.050000,2.534561,71.919665,2.563732,12.581286,44.032634,86.292839,6.219590
0.050000,3.282521,71.864890,3.313694,14.999242,48.359115,86.529623,6.200565
0.050000,4.160170,71.782293,4.195222,17.630547,52.626112,85.339935,6.178124
0.050000,5.176456,71.661692,5.218639,20.468342,56.755901,82.595788,6.152008
0.050000,6.338964,71.490538,6.393679,23.500799,60.649128,77.864528,6.122011
0.050000,7.653109,71.253868,7.728965,26.705726,64.098540,68.988253,6.088017
0.050000,9.121333,70.934495,9.231523,30.051165,66.908794,56.205065,6.050045
0.050000,10.737173,70.514997,10.900929,33.388113,66.738945,-3.396961,6.008430
0.050000,12.485058,69.979785,12.728921,36.559837,63.434476,-66.089382,5.963862
0.050000,14.345709,69.315782,14.704503,39.511636,59.035986,-87.969812,5.917257
0.050000,16.297003,68.513923,16.814130,42.192547,53.618221,-108.355290,5.869744
0.050000,18.315544,67.570307,19.042339,44.564189,47.432835,-123.707730,5.822613
0.050000,20.378607,66.486754,21.372643,46.606073,40.837691,-131.902882,5.777239
0.050000,22.466087,65.270677,23.788511,48.317355,34.225631,-132.241195,5.735001
0.050000,24.558370,63.936819,26.269806,49.625904,26.170976,-161.093093,5.697277
0.050000,26.638170,62.506486,28.793973,50.483347,17.148876,-180.441998,5.665341
0.050000,28.694567,61.003983,31.340791,50.936363,9.060317,-161.771191,5.640277
0.050000,30.721938,59.455646,33.891788,51.019924,1.671219,-147.781965,5.623018
0.050000,32.718438,57.889406,36.429330,50.750842,-5.381653,-141.057424,5.614430
0.050000,34.684293,56.334795,38.935602,50.125442,-12.507999,-142.526920,5.615392
0.050000,36.620063,54.823121,41.391689,49.121739,-20.074047,-151.320971,5.626875
0.050000,38.524970,53.387470,43.777012,47.706467,-28.305441,-164.627873,5.649988
0.050000,40.395463,52.062049,46.069496,45.849675,-37.135839,-176.607970,5.685963
0.050000,42.224483,50.880269,48.247091,43.551893,-45.955637,-176.395957,5.736033
