dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.024085,48.000024,0.003094,0.123752,2.475049,49.500983,0.002007
0.050000,0.018848,48.000015,0.008331,0.104746,-0.380137,-57.103716,0.001571
0.050000,0.007063,48.000002,0.020116,0.235698,2.619051,59.983749,0.000589
0.050000,0.018924,47.999989,0.031976,0.237210,0.030227,-51.776470,6.282027
0.050000,0.061695,47.999883,0.074748,0.855438,12.364569,246.686830,6.279404
0.050000,0.118650,47.999568,0.131704,1.139105,5.673345,-133.824482,6.275900
0.050000,0.189718,47.998895,0.202775,1.421418,5.646253,-0.541826,6.271510
0.050000,0.274816,47.997676,0.287882,1.702153,5.614706,-0.630953,6.266228
0.050000,0.373865,47.995691,0.386950,1.981366,5.584248,-0.609152,6.260045
0.050000,0.486756,47.992678,0.499882,2.258631,5.545305,-0.778865,6.252956
0.050000,0.613375,47.988342,0.626576,2.533870,5.504781,-0.810479,6.244951
0.050000,0.753618,47.982351,0.766946,2.807411,5.470827,-0.679070,6.236023
0.050000,0.907361,47.974336,0.920897,3.079026,5.432285,-0.770841,6.226164
0.050000,1.074496,47.963891,1.088359,3.349231,5.404106,-0.563594,6.215369
0.050000,1.254927,47.950573,1.269281,3.618441,5.384196,-0.398203,6.203633
0.050000,1.448560,47.933902,1.463630,3.886977,5.370722,-0.269480,6.190953
0.050000,1.655330,47.913356,1.671418,4.155765,5.375759,0.100751,6.177331
0.050000,1.875210,47.888375,1.892713,4.425898,5.402666,0.538133,6.162772
0.050000,2.108201,47.858351,2.127630,4.698352,5.449086,0.928406,6.147285
0.050000,2.354350,47.822633,2.376357,4.974527,5.523489,1.488059,6.130887
0.050000,2.613764,47.780517,2.639167,5.256213,5.633731,2.204832,6.113600
0.050000,2.886609,47.731243,2.916426,5.545177,5.779277,2.910934,6.095454
0.050000,3.173123,47.673990,3.208605,5.843570,5.967861,3.771676,6.076490
0.050000,3.473621,47.607869,3.516291,6.153732,6.203240,4.707575,6.056755
0.050000,3.788493,47.531920,3.840194,6.478043,6.486208,5.659368,6.036309
0.050000,4.118216,47.445103,4.181155,6.819226,6.823660,6.749034,6.015222
0.050000,4.463339,47.346295,4.540143,7.179771,7.210909,7.744975,5.993574
0.050000,4.824488,47.234290,4.918263,7.562382,7.652230,8.826429,5.971459
0.050000,5.202355,47.107793,5.316740,7.969547,8.143300,9.821397,5.948978
0.050000,5.597678,46.965430,5.736916,8.403517,8.679395,10.721897,5.926242
0.050000,6.011241,46.805749,6.180235,8.866387,9.257401,11.560118,5.903372
0.050000,6.443845,46.627237,6.648223,9.359759,9.867443,12.200847,5.880496
0.050000,6.896300,46.428331,7.142469,9.884928,10.503381,12.718751,5.857745
0.050000,7.369407,46.207439,7.664603,10.442667,11.154763,13.027652,5.835256
0.050000,7.863945,45.962966,8.216269,11.033322,11.813102,13.166767,5.813165
0.050000,8.380665,45.693334,8.799108,11.656777,12.469112,13.120201,5.791610
0.050000,8.920284,45.397013,9.414733,12.312515,13.114745,12.912667,5.770724
0.050000,9.483490,45.072545,10.064718,12.999692,13.743540,12.575896,5.750639
0.050000,10.070948,44.718572,10.750578,13.717197,14.350117,12.131546,5.731481
0.050000,10.683316,44.333853,11.473767,14.463783,14.931717,11.631993,5.713371
0.050000,11.321265,43.917290,12.235675,15.238168,15.487691,11.119476,5.696425
0.050000,11.985504,43.467938,13.037630,16.039090,16.018442,10.615025,5.680753
0.050000,12.676811,42.985022,13.880906,16.865512,16.528452,10.200196,5.666463
0.050000,13.396063,42.467943,14.766735,17.716579,17.021341,9.857781,5.653656
0.050000,14.144274,41.916289,15.696327,18.591846,17.505337,9.679916,5.642433
0.050000,14.922633,41.329837,16.670888,19.491215,17.987373,9.640735,5.632895
0.050000,15.732545,40.708561,17.691642,20.415097,18.477643,9.805395,5.625143
0.050000,16.575673,40.052643,18.759862,21.364393,18.985925,10.165648,5.619285
0.050000,17.453982,39.362481,19.876890,22.340554,19.523219,10.745878,5.615431
