dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000000,60.000000,0.003676,0.147059,2.941176,58.823529,0.002732
0.050000,0.000000,60.000000,0.018382,0.441176,5.882353,58.823529,0.002048
0.050000,0.000000,60.000000,0.051471,0.882353,8.823529,58.823529,0.000508
0.050000,0.047897,59.999947,0.110294,1.470588,11.764706,58.823529,6.280959
0.050000,0.139808,59.999546,0.202206,2.205882,14.705882,58.823529,6.276692
0.050000,0.272155,59.998280,0.334559,3.088235,17.647059,58.823529,6.270557
0.050000,0.452275,59.995255,0.514706,4.117647,20.588235,58.823529,6.262229
0.050000,0.687484,59.989049,0.750000,5.294118,23.529412,58.823529,6.251392
0.050000,0.985054,59.977551,1.047794,6.617647,26.470588,58.823529,6.237750
0.050000,1.352165,59.957779,1.415441,8.088235,29.411765,58.823529,6.221038
0.050000,1.792187,59.926004,1.856618,9.558824,29.411765,0.000000,6.201196
0.050000,2.304638,59.877986,2.371324,11.029412,29.411765,-0.000000,6.178380
0.050000,2.888790,59.808946,2.959559,12.500000,29.411765,-0.000000,6.152801
0.050000,3.543637,59.713668,3.621324,13.970588,29.411765,0.000000,6.124733
0.050000,4.267845,59.586630,4.356618,15.441176,29.411765,0.000000,6.094516
0.050000,5.059737,59.422175,5.165441,16.911765,29.411765,0.000000,6.062562
0.050000,5.917306,59.214694,6.047794,18.382353,29.411765,-0.000000,6.029344
0.050000,6.834733,58.959866,7.000000,19.705882,26.470588,-58.823529,5.995513
0.050000,7.802647,58.655447,8.014706,20.882353,23.529412,-58.823529,5.961839
0.050000,8.811927,58.300714,9.084559,21.911765,20.588235,-58.823529,5.929024
0.050000,9.853864,57.896487,10.202206,22.794118,17.647059,-58.823529,5.897680
0.050000,10.920292,57.445041,11.360294,23.529412,14.705882,-58.823529,5.868308
0.050000,12.003668,56.949954,12.551471,24.117647,11.764706,-58.823529,5.841297
0.050000,13.097097,56.415902,13.768382,24.558824,8.823529,-58.823529,5.816924
0.050000,14.194312,55.848438,15.003676,24.852941,5.882353,-58.823529,5.795365
0.050000,15.289597,55.253773,16.250000,25.000000,2.941176,-58.823529,5.776710
0.050000,16.377708,54.638564,17.500000,25.000000,0.000000,-58.823529,5.760979
0.050000,17.456919,54.007860,18.750000,25.000000,0.000000,0.000000,5.748099
0.050000,18.528805,53.364784,20.000000,25.000000,0.000000,0.000000,5.737957
0.050000,19.594984,52.712285,21.250000,25.000000,0.000000,0.000000,5.730460
0.050000,20.657097,52.053184,22.500000,25.000000,0.000000,0.000000,5.725539
0.050000,21.716796,51.390207,23.750000,25.000000,0.000000,0.000000,5.723149
0.050000,22.775742,50.726026,25.000000,25.000000,0.000000,0.000000,5.723266
0.050000,23.835596,50.063297,26.250000,25.000000,0.000000,0.000000,5.725891
0.050000,24.898018,49.404696,27.500000,25.000000,0.000000,0.000000,5.731050
0.050000,25.964661,48.752955,28.750000,25.000000,0.000000,0.000000,5.738790
0.050000,27.037164,48.110906,30.000000,25.000000,0.000000,0.000000,5.749184
