dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,-0.019253,11.999985,0.000031,0.001247,0.024935,0.498695,0.001604
0.050000,-0.019230,11.999985,0.000054,0.000459,-0.015760,-0.813897,0.001602
0.050000,-0.019178,11.999985,0.000106,0.001032,0.011468,0.544563,0.001598
0.050000,-0.019087,11.999985,0.000197,0.001835,0.016055,0.091731,0.001591
0.050000,-0.018943,11.999985,0.000341,0.002867,0.020640,0.091710,0.001579
0.050000,-0.018737,11.999985,0.000547,0.004128,0.025224,0.091676,0.001561
0.050000,-0.018456,11.999986,0.000828,0.005618,0.029805,0.091626,0.001538
0.050000,-0.018089,11.999986,0.001195,0.007337,0.034383,0.091555,0.001507
0.050000,-0.017625,11.999987,0.001659,0.009285,0.038956,0.091462,0.001469
0.050000,-0.017052,11.999988,0.002232,0.011461,0.043523,0.091341,0.001421
0.050000,-0.016358,11.999989,0.002926,0.013866,0.048083,0.091192,0.001363
0.050000,-0.015534,11.999990,0.003750,0.016497,0.052633,0.091009,0.001294
0.050000,-0.014566,11.999991,0.004718,0.019356,0.057173,0.090789,0.001214
0.050000,-0.013444,11.999992,0.005840,0.022441,0.061699,0.090530,0.001120
0.050000,-0.012156,11.999994,0.007128,0.025751,0.066211,0.090229,0.001013
0.050000,-0.010692,11.999995,0.008592,0.029287,0.070705,0.089881,0.000891
0.050000,-0.009040,11.999997,0.010244,0.033046,0.075179,0.089484,0.000753
0.050000,-0.007188,11.999998,0.012096,0.037027,0.079631,0.089034,0.000599
0.050000,-0.005127,11.999999,0.014157,0.041230,0.084057,0.088529,0.000427
0.050000,-0.002844,12.000000,0.016440,0.045653,0.088455,0.087965,0.000237
0.050000,-0.000329,12.000000,0.018955,0.050294,0.092822,0.087338,0.000027
0.050000,0.015707,11.999998,0.034991,0.320723,5.408587,106.315307,6.282983
0.050000,0.035201,11.999992,0.054485,0.389884,1.383220,-80.507345,6.282732
0.050000,0.056426,11.999980,0.075710,0.424506,0.692430,-13.815814,6.282459
0.050000,0.079456,11.999959,0.098740,0.460596,0.721813,0.587671,6.282164
0.050000,0.104364,11.999930,0.123648,0.498155,0.751183,0.587398,6.281844
0.050000,0.131217,11.999889,0.150501,0.537070,0.778291,0.542166,6.281500
0.050000,0.160078,11.999835,0.179362,0.577215,0.802905,0.492284,6.281131
0.050000,0.191035,11.999766,0.210319,0.619142,0.838531,0.712511,6.280735
0.050000,0.224162,11.999677,0.243446,0.662532,0.867812,0.585621,6.280313
0.050000,0.259522,11.999568,0.278806,0.707208,0.893508,0.513913,6.279862
0.050000,0.297177,11.999434,0.316461,0.753102,0.917880,0.487437,6.279384
0.050000,0.337218,11.999271,0.356503,0.800841,0.954775,0.737912,6.278875
0.050000,0.379714,11.999077,0.399000,0.849923,0.981639,0.537275,6.278337
0.050000,0.424712,11.998846,0.443998,0.899977,1.001098,0.389179,6.277768
0.050000,0.472314,11.998574,0.491601,0.952047,1.041396,0.805967,6.277168
0.050000,0.522571,11.998255,0.541859,1.005158,1.062209,0.416261,6.276536
0.050000,0.575555,11.997885,0.594844,1.059706,1.090968,0.575175,6.275871
0.050000,0.631349,11.997458,0.650640,1.115918,1.124235,0.665344,6.275172
0.050000,0.689996,11.996966,0.709289,1.172990,1.141449,0.344280,6.274440
0.050000,0.751563,11.996404,0.770858,1.231378,1.167747,0.525957,6.273673
0.050000,0.816007,11.995765,0.835305,1.288946,1.151359,-0.327767,6.272873
0.050000,0.883359,11.995043,0.902662,1.347120,1.163489,0.242613,6.272040
0.050000,0.953586,11.994230,0.972893,1.404630,1.150207,-0.265651,6.271174
0.050000,1.026700,11.993319,1.046013,1.462407,1.155542,0.106697,6.270275
0.050000,1.102696,11.992302,1.122015,1.520039,1.152635,-0.058132,6.269345
0.050000,1.181549,11.991173,1.200877,1.577237,1.143947,-0.173757,6.268383
0.050000,1.263280,11.989922,1.282618,1.634808,1.151433,0.149719,6.267389
0.050000,1.347867,11.988542,1.367216,1.691963,1.143099,-0.166683,6.266366
0.050000,1.435299,11.987026,1.454661,1.748900,1.138734,-0.087307,6.265312
0.050000,1.525585,11.985363,1.544962,1.806033,1.142664,0.078604,6.264228
0.050000,1.618718,11.983545,1.638113,1.863004,1.139426,-0.064751,6.263116
0.050000,1.714672,11.981564,1.734087,1.919492,1.129745,-0.193633,6.261974
0.050000,1.813452,11.979411,1.832891,1.976079,1.131755,0.040208,6.260805
0.050000,1.915056,11.977076,1.934522,2.032614,1.130682,-0.021453,6.259609
0.050000,2.019475,11.974550,2.038971,2.088987,1.127469,-0.064259,6.258385
0.050000,2.126700,11.971823,2.146231,2.145200,1.124266,-0.064060,6.257135
0.050000,2.236724,11.968886,2.256294,2.201254,1.121074,-0.063847,6.255860
0.050000,2.349534,11.965729,2.369148,2.257084,1.116597,-0.089532,6.254559
0.050000,2.465123,11.962342,2.484786,2.312764,1.113605,-0.059856,6.253234
0.050000,2.583486,11.958716,2.603206,2.368386,1.112432,-0.023446,6.251885
0.050000,2.704617,11.954840,2.724398,2.423850,1.109278,-0.063084,6.250513
0.050000,2.828506,11.950704,2.848356,2.479157,1.106137,-0.062820,6.249118
0.050000,2.955144,11.946298,2.975071,2.534307,1.103010,-0.062548,6.247701
0.050000,3.084525,11.941612,3.104536,2.589302,1.099896,-0.062268,6.246263
0.050000,3.216638,11.936636,3.236743,2.644142,1.096797,-0.061980,6.244804
0.050000,3.351469,11.931358,3.371677,2.698675,1.090668,-0.122590,6.243326
0.050000,3.489012,11.925769,3.509335,2.753149,1.089472,-0.023918,6.241828
0.050000,3.629262,11.919859,3.649709,2.807489,1.086809,-0.053250,6.240311
0.050000,3.772210,11.913617,3.792793,2.861678,1.083782,-0.060552,6.238777
0.050000,3.917847,11.907031,3.938579,2.915717,1.080770,-0.060241,6.237226
0.050000,4.066165,11.900093,4.087059,2.969605,1.077773,-0.059930,6.235658
0.050000,4.217146,11.892792,4.238216,3.023147,1.070822,-0.139019,6.234074
0.050000,4.370779,11.885118,4.392041,3.076495,1.066971,-0.077030,6.232476
0.050000,4.527067,11.877059,4.548536,3.129904,1.068170,0.023979,6.230863
0.050000,4.686001,11.868606,4.707695,3.183166,1.065247,-0.058454,6.229236
0.050000,4.847551,11.859749,4.869488,3.235867,1.054020,-0.224544,6.227597
0.050000,5.011723,11.850477,5.033922,3.288671,1.056091,0.041423,6.225946
0.050000,5.178515,11.840780,5.200995,3.341467,1.055913,-0.003563,6.224283
0.050000,5.347891,11.830650,5.370674,3.393584,1.042334,-0.271575,6.222610
0.050000,5.519864,11.820074,5.542971,3.445947,1.047261,0.098532,6.220927
0.050000,5.694419,11.809044,5.717874,3.498055,1.042154,-0.102138,6.219235
0.050000,5.871533,11.797551,5.895361,3.549736,1.033627,-0.170543,6.217535
0.050000,6.051219,11.785583,6.075445,3.601688,1.039037,0.108206,6.215827
0.050000,6.233437,11.773134,6.258088,3.652848,1.023198,-0.316786,6.214113
0.050000,6.418209,11.760191,6.443313,3.704503,1.033112,0.198279,6.212392
0.050000,6.605492,11.746747,6.631078,3.755295,1.015836,-0.345506,6.210666
0.050000,6.795306,11.732793,6.821404,3.806520,1.024508,0.173430,6.208936
0.050000,6.987616,11.718319,7.014258,3.857090,1.011401,-0.262145,6.207202
0.050000,7.182428,11.703318,7.209646,3.907758,1.013357,0.039130,6.205465
0.050000,7.379729,11.687780,7.407558,3.958246,1.009744,-0.072259,6.203726
0.050000,7.579494,11.671698,7.607970,4.008235,0.999792,-0.199040,6.201985
0.050000,7.781734,11.655062,7.810893,4.058463,1.004562,0.095390,6.200244
0.050000,7.986427,11.637865,8.016307,4.108276,0.996257,-0.166094,6.198502
0.050000,8.193557,11.620101,8.224197,4.157797,0.990426,-0.116624,6.196762
0.050000,8.403126,11.601760,8.434567,4.207410,0.992247,0.036418,6.195023
0.050000,8.615124,11.582835,8.647408,4.256809,0.987981,-0.085322,6.193287
0.050000,8.829522,11.563322,8.862693,4.305692,0.977665,-0.206317,6.191554
0.050000,9.046324,11.543210,9.080426,4.354664,0.979438,0.035464,6.189824
0.050000,9.265522,11.522495,9.300600,4.403480,0.976329,-0.062171,6.188100
0.050000,9.487103,11.501170,9.523205,4.452095,0.972301,-0.080573,6.186381
0.050000,9.711056,11.479228,9.748230,4.500512,0.968333,-0.079359,6.184667
0.050000,9.937364,11.456664,9.975660,4.548602,0.961791,-0.130847,6.182961
0.050000,10.166021,11.433474,10.205490,4.596603,0.960029,-0.035223,6.181263
0.050000,10.397020,11.409650,10.437714,4.644474,0.957416,-0.052266,6.179573
0.050000,10.630349,11.385189,10.672322,4.692156,0.953649,-0.075335,6.177892
0.050000,10.865998,11.360085,10.909304,4.739653,0.949933,-0.074324,6.176221
0.050000,11.103957,11.334334,11.148653,4.786966,0.946265,-0.073360,6.174561
0.050000,11.344216,11.307932,11.390358,4.834098,0.942643,-0.072444,6.172912
0.050000,11.586764,11.280875,11.634410,4.881052,0.939064,-0.071580,6.171276
0.050000,11.831591,11.253160,11.880802,4.927828,0.935526,-0.070768,6.169652
0.050000,12.078689,11.224782,12.129523,4.974429,0.932025,-0.070012,6.168042
0.050000,12.328046,11.195741,12.380566,5.020857,0.928559,-0.069313,6.166446
0.050000,12.579654,11.166032,12.633922,5.067113,0.925126,-0.068674,6.164865
0.050000,12.833503,11.135653,12.889582,5.113199,0.921721,-0.068096,6.163301
0.050000,13.089583,11.104604,13.147537,5.159116,0.918342,-0.067582,6.161752
0.050000,13.347879,11.072881,13.407774,5.204727,0.912214,-0.122555,6.160221
0.050000,13.608385,11.040485,13.670287,5.250265,0.910752,-0.029247,6.158708
0.050000,13.871095,11.007414,13.935070,5.295666,0.908016,-0.054705,6.157214
0.050000,14.135999,10.973667,14.202115,5.340902,0.904731,-0.065714,6.155739
0.050000,14.403089,10.939244,14.471414,5.385975,0.901453,-0.065549,6.154285
0.050000,14.672347,10.904146,14.742951,5.430729,0.895090,-0.127273,6.152851
0.050000,14.943768,10.868373,15.016719,5.475364,0.892690,-0.047987,6.151439
0.050000,15.217348,10.831926,15.292716,5.519936,0.891449,-0.024829,6.150050
0.050000,15.493078,10.794805,15.570933,5.564341,0.888097,-0.067044,6.148683
0.050000,15.770934,10.757015,15.851347,5.608286,0.878895,-0.184027,6.147341
0.050000,16.050923,10.718556,16.133965,5.652362,0.881527,0.052635,6.146023
0.050000,16.333035,10.679429,16.418777,5.696240,0.877563,-0.079278,6.144730
0.050000,16.617247,10.639641,16.705761,5.739687,0.868932,-0.172614,6.143463
0.050000,16.903567,10.599191,16.994925,5.783266,0.871572,0.052784,6.142224
0.050000,17.191976,10.558086,17.286248,5.826471,0.864119,-0.149051,6.141011
0.050000,17.482469,10.516329,17.579727,5.869568,0.861932,-0.043747,6.139827
0.050000,17.775038,10.473923,17.875353,5.912520,0.859044,-0.057756,6.138672
0.050000,18.069669,10.430876,18.173112,5.955181,0.853217,-0.116535,6.137546
0.050000,18.366360,10.387191,18.473002,5.997808,0.852541,-0.013524,6.136452
0.050000,18.665096,10.342876,18.775007,6.040100,0.845831,-0.134203,6.135388
0.050000,18.965874,10.297935,19.079124,6.082340,0.844807,-0.020486,6.134356
0.050000,19.268682,10.252377,19.385340,6.124315,0.839490,-0.106324,6.133358
0.050000,19.573512,10.206209,19.693646,6.166116,0.836036,-0.069084,6.132392
0.050000,19.880358,10.159438,20.004036,6.207812,0.833910,-0.042529,6.131461
0.050000,20.189204,10.112073,20.316493,6.249133,0.826424,-0.149713,6.130566
0.050000,20.500050,10.064122,20.631016,6.290455,0.826432,0.000154,6.129706
0.050000,20.812883,10.015595,20.947591,6.331500,0.820898,-0.110673,6.128883
0.050000,21.127694,9.966502,21.266206,6.372299,0.815996,-0.098049,6.128097
0.050000,21.444476,9.916853,21.586856,6.413000,0.814004,-0.039839,6.127350
0.050000,21.763222,9.866658,21.909530,6.453478,0.809568,-0.088711,6.126642
0.050000,22.083917,9.815930,22.234212,6.493644,0.803329,-0.124781,6.125975
0.050000,22.406558,9.764681,22.560897,6.533712,0.801357,-0.039439,6.125348
0.050000,22.731135,9.712922,22.889575,6.573558,0.796917,-0.088799,6.124763
0.050000,23.057639,9.660667,23.220234,6.613181,0.792448,-0.089384,6.124221
0.050000,23.386059,9.607931,23.552862,6.652552,0.787440,-0.100169,6.123722
0.050000,23.716387,9.554726,23.887447,6.691711,0.783165,-0.085486,6.123268
0.050000,24.048616,9.501069,24.223981,6.730664,0.779065,-0.082006,6.122860
0.050000,24.382734,9.446974,24.562450,6.769382,0.774360,-0.094090,6.122498
0.050000,24.718733,9.392458,24.902843,6.807861,0.769585,-0.095508,6.122184
0.050000,25.056603,9.337538,25.245148,6.846098,0.764730,-0.097108,6.121918
