dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000000,0.000000,0.000031,0.001247,0.024935,0.498695,0.001604
0.050000,0.000000,0.000000,0.000156,0.003740,0.049869,0.498695,0.001602
0.050000,0.000000,0.000000,0.000436,0.007480,0.074804,0.498695,0.001598
0.050000,0.000000,0.000000,0.000935,0.012467,0.099739,0.498695,0.001591
0.050000,0.000000,0.000000,0.001714,0.018701,0.124674,0.498695,0.001579
0.050000,0.000000,0.000000,0.002836,0.026181,0.149608,0.498695,0.001561
0.050000,0.000000,0.000000,0.004364,0.034909,0.174543,0.498695,0.001538
0.050000,0.000000,0.000000,0.006358,0.044883,0.199478,0.498695,0.001507
0.050000,0.000000,0.000000,0.008883,0.056103,0.224413,0.498695,0.001469
0.050000,0.000000,0.000000,0.012000,0.068571,0.249347,0.498695,0.001421
0.050000,0.000000,0.000000,0.015771,0.082285,0.274282,0.498695,0.001363
0.050000,0.000000,0.000000,0.020259,0.097245,0.299217,0.498695,0.001294
0.050000,0.000000,0.000000,0.025527,0.113453,0.324152,0.498695,0.001214
0.050000,0.000000,0.000000,0.031636,0.130907,0.349086,0.498695,0.001120
0.050000,0.000000,0.000000,0.038649,0.149608,0.374021,0.498695,0.001013
0.050000,0.000000,0.000000,0.046628,0.169556,0.398956,0.498695,0.000891
0.050000,0.000000,0.000000,0.055636,0.190751,0.423891,0.498695,0.000753
0.050000,0.000000,0.000000,0.065734,0.213192,0.448825,0.498695,0.000599
0.050000,0.000000,0.000000,0.076986,0.236880,0.473760,0.498695,0.000427
0.050000,0.000000,0.000000,0.089453,0.261815,0.498695,0.498695,0.000237
0.050000,0.000000,0.000000,0.103199,0.287996,0.523630,0.498695,0.000027
0.050000,0.013280,-0.000001,0.118284,0.315425,0.548564,0.498695,6.282983
0.050000,0.029764,-0.000007,0.134772,0.344099,0.573499,0.498695,6.282732
0.050000,0.047715,-0.000017,0.152725,0.374021,0.598434,0.498695,6.282459
0.050000,0.067196,-0.000034,0.172206,0.405190,0.623369,0.498695,6.282164
0.050000,0.088270,-0.000059,0.193275,0.437605,0.648303,0.498695,6.281844
0.050000,0.110995,-0.000094,0.215997,0.471267,0.673238,0.498695,6.281500
0.050000,0.135425,-0.000139,0.240433,0.506175,0.698173,0.498695,6.281131
0.050000,0.161635,-0.000198,0.266646,0.542331,0.723108,0.498695,6.280735
0.050000,0.189691,-0.000273,0.294697,0.579733,0.748042,0.498695,6.280313
0.050000,0.219647,-0.000366,0.324650,0.618382,0.772977,0.498695,6.279862
0.050000,0.251556,-0.000479,0.356567,0.658277,0.797912,0.498695,6.279384
0.050000,0.285500,-0.000617,0.390509,0.699420,0.822847,0.498695,6.278875
0.050000,0.321536,-0.000782,0.426540,0.741809,0.847781,0.498695,6.278337
0.050000,0.359709,-0.000978,0.464721,0.785444,0.872716,0.498695,6.277768
0.050000,0.400107,-0.001209,0.505116,0.830327,0.897651,0.498695,6.277168
0.050000,0.442775,-0.001479,0.547785,0.876456,0.922586,0.498695,6.276536
0.050000,0.487778,-0.001794,0.592792,0.923832,0.947520,0.498695,6.275871
0.050000,0.535191,-0.002157,0.640200,0.972455,0.972455,0.498695,6.275172
0.050000,0.585051,-0.002575,0.690069,1.022324,0.997390,0.498695,6.274440
0.050000,0.637420,-0.003053,0.742432,1.072194,0.997390,0.000000,6.273673
0.050000,0.692266,-0.003597,0.797288,1.122063,0.997390,0.000000,6.272873
0.050000,0.749618,-0.004212,0.854638,1.171933,0.997390,0.000000,6.272040
0.050000,0.809453,-0.004905,0.914482,1.221802,0.997390,0.000000,6.271174
0.050000,0.871786,-0.005681,0.976819,1.271672,0.997390,-0.000000,6.270275
0.050000,0.936615,-0.006549,1.041649,1.321541,0.997390,0.000000,6.269345
0.050000,1.003925,-0.007513,1.108973,1.371411,0.997390,0.000000,6.268383
0.050000,1.073738,-0.008581,1.178790,1.421280,0.997390,-0.000000,6.267389
0.050000,1.146041,-0.009760,1.251101,1.471150,0.997390,-0.000000,6.266366
0.050000,1.220829,-0.011058,1.325905,1.521019,0.997390,0.000000,6.265312
0.050000,1.298115,-0.012481,1.403203,1.570889,0.997390,0.000000,6.264228
0.050000,1.377897,-0.014038,1.482994,1.620758,0.997390,0.000000,6.263116
0.050000,1.460161,-0.015736,1.565279,1.670628,0.997390,-0.000000,6.261974
0.050000,1.544915,-0.017584,1.650057,1.720497,0.997390,0.000000,6.260805
0.050000,1.632163,-0.019589,1.737328,1.770367,0.997390,-0.000000,6.259609
0.050000,1.721903,-0.021760,1.827093,1.820236,0.997390,0.000000,6.258385
0.050000,1.814135,-0.024106,1.919352,1.870106,0.997390,-0.000000,6.257135
0.050000,1.908857,-0.026634,2.014104,1.919975,0.997390,0.000000,6.255860
0.050000,2.006065,-0.029355,2.111349,1.969845,0.997390,-0.000000,6.254559
0.050000,2.105759,-0.032276,2.211088,2.019714,0.997390,0.000000,6.253234
0.050000,2.207942,-0.035406,2.313321,2.069584,0.997390,-0.000000,6.251885
0.050000,2.312614,-0.038755,2.418047,2.119453,0.997390,0.000000,6.250513
0.050000,2.419774,-0.042333,2.525266,2.169323,0.997390,0.000000,6.249118
0.050000,2.529421,-0.046147,2.634979,2.219192,0.997390,-0.000000,6.247701
0.050000,2.641556,-0.050209,2.747185,2.269062,0.997390,0.000000,6.246263
0.050000,2.756177,-0.054527,2.861885,2.318931,0.997390,0.000000,6.244804
0.050000,2.873278,-0.059110,2.979078,2.368801,0.997390,0.000000,6.243326
0.050000,2.992862,-0.063969,3.098765,2.418670,0.997390,-0.000000,6.241828
0.050000,3.114932,-0.069114,3.220945,2.468540,0.997390,0.000000,6.240311
0.050000,3.239486,-0.074553,3.345619,2.518409,0.997390,-0.000000,6.238777
0.050000,3.366525,-0.080297,3.472786,2.568279,0.997390,0.000000,6.237226
0.050000,3.496048,-0.086356,3.602447,2.618148,0.997390,0.000000,6.235658
0.050000,3.628048,-0.092739,3.734601,2.668018,0.997390,0.000000,6.234074
0.050000,3.762523,-0.099457,3.869249,2.717887,0.997390,-0.000000,6.232476
0.050000,3.899482,-0.106519,4.006390,2.767757,0.997390,0.000000,6.230863
0.050000,4.038926,-0.113935,4.146024,2.817626,0.997390,0.000000,6.229236
0.050000,4.180837,-0.121716,4.288152,2.867495,0.997390,0.000000,6.227597
0.050000,4.325226,-0.129870,4.432774,2.917365,0.997390,0.000000,6.225946
0.050000,4.472100,-0.138409,4.579889,2.967234,0.997390,0.000000,6.224283
0.050000,4.621435,-0.147341,4.729497,3.017104,0.997390,-0.000000,6.222610
0.050000,4.773251,-0.156677,4.881599,3.066973,0.997390,-0.000000,6.220927
0.050000,4.927542,-0.166426,5.036195,3.116843,0.997390,0.000000,6.219235
0.050000,5.084297,-0.176599,5.193284,3.166712,0.997390,0.000000,6.217535
0.050000,5.243534,-0.187204,5.352866,3.216582,0.997390,0.000000,6.215827
0.050000,5.405225,-0.198252,5.514942,3.266451,0.997390,-0.000000,6.214113
0.050000,5.569400,-0.209752,5.679511,3.316321,0.997390,0.000000,6.212392
0.050000,5.736026,-0.221712,5.846574,3.366190,0.997390,0.000000,6.210666
0.050000,5.905131,-0.234145,6.016130,3.416060,0.997390,0.000000,6.208936
0.050000,6.076692,-0.247056,6.188180,3.465929,0.997390,-0.000000,6.207202
0.050000,6.250720,-0.260457,6.362723,3.515799,0.997390,-0.000000,6.205465
0.050000,6.427215,-0.274357,6.539760,3.565668,0.997390,0.000000,6.203726
0.050000,6.606160,-0.288763,6.719290,3.615538,0.997390,0.000000,6.201985
0.050000,6.787575,-0.303686,6.901314,3.665407,0.997390,0.000000,6.200244
0.050000,6.971446,-0.319133,7.085831,3.715277,0.997390,-0.000000,6.198502
0.050000,7.157768,-0.335113,7.272841,3.765146,0.997390,0.000000,6.196762
0.050000,7.346551,-0.351635,7.462345,3.815016,0.997390,-0.000000,6.195023
0.050000,7.537795,-0.368707,7.654343,3.864885,0.997390,-0.000000,6.193287
0.050000,7.731480,-0.386336,7.848834,3.914755,0.997390,0.000000,6.191554
0.050000,7.927620,-0.404530,8.045818,3.964624,0.997390,-0.000000,6.189824
0.050000,8.126214,-0.423298,8.245296,4.014494,0.997390,0.000000,6.188100
0.050000,8.327259,-0.442647,8.447268,4.064363,0.997390,-0.000000,6.186381
0.050000,8.530753,-0.462585,8.651733,4.114233,0.997390,0.000000,6.184667
0.050000,8.736689,-0.483117,8.858691,4.164102,0.997390,-0.000000,6.182961
0.050000,8.945070,-0.504251,9.068143,4.213972,0.997390,0.000000,6.181263
0.050000,9.155895,-0.525994,9.280088,4.263841,0.997390,0.000000,6.179573
0.050000,9.369165,-0.548353,9.494527,4.313711,0.997390,0.000000,6.177892
0.050000,9.584876,-0.571333,9.711459,4.363580,0.997390,0.000000,6.176221
0.050000,9.803028,-0.594940,9.930885,4.413450,0.997390,-0.000000,6.174561
0.050000,10.023620,-0.619181,10.152804,4.463319,0.997390,0.000000,6.172912
0.050000,10.246649,-0.644061,10.377217,4.513189,0.997390,-0.000000,6.171276
0.050000,10.472115,-0.669584,10.604123,4.563058,0.997390,0.000000,6.169652
0.050000,10.700017,-0.695757,10.833523,4.612928,0.997390,-0.000000,6.168042
0.050000,10.930354,-0.722584,11.065416,4.662797,0.997390,0.000000,6.166446
0.050000,11.163125,-0.750068,11.299802,4.712666,0.997390,-0.000000,6.164865
0.050000,11.398329,-0.778216,11.536682,4.762536,0.997390,-0.000000,6.163301
0.050000,11.635965,-0.807029,11.776056,4.812405,0.997390,0.000000,6.161752
0.050000,11.876026,-0.836512,12.017923,4.862275,0.997390,-0.000000,6.160221
0.050000,12.118516,-0.866668,12.262283,4.912144,0.997390,0.000000,6.158708
0.050000,12.363436,-0.897499,12.509137,4.962014,0.997390,0.000000,6.157214
0.050000,12.610785,-0.929010,12.758485,5.011883,0.997390,0.000000,6.155739
0.050000,12.860564,-0.961202,13.010326,5.061753,0.997390,-0.000000,6.154285
0.050000,13.112763,-0.994077,13.264660,5.111622,0.997390,0.000000,6.152851
0.050000,13.367387,-1.027636,13.521488,5.161492,0.997390,0.000000,6.151439
0.050000,13.624438,-1.061881,13.780809,5.211361,0.997390,0.000000,6.150050
0.050000,13.883917,-1.096814,14.042624,5.261231,0.997390,0.000000,6.148683
0.050000,14.145809,-1.132433,14.306932,5.311100,0.997390,-0.000000,6.147341
0.050000,14.410129,-1.168740,14.573734,5.360970,0.997390,0.000000,6.146023
0.050000,14.676875,-1.205735,14.843029,5.410839,0.997390,-0.000000,6.144730
0.050000,14.946035,-1.243416,15.114818,5.460709,0.997390,0.000000,6.143463
0.050000,15.217622,-1.281785,15.389100,5.510578,0.997390,-0.000000,6.142224
0.050000,15.491628,-1.320837,15.665876,5.560448,0.997390,0.000000,6.141011
0.050000,15.768056,-1.360573,15.945145,5.610317,0.997390,-0.000000,6.139827
0.050000,16.046906,-1.400990,16.226908,5.660187,0.997390,0.000000,6.138672
0.050000,16.328175,-1.442085,16.511164,5.710056,0.997390,0.000000,6.137546
0.050000,16.611868,-1.483856,16.797913,5.759926,0.997390,0.000000,6.136452
0.050000,16.897978,-1.526298,17.087156,5.809795,0.997390,0.000000,6.135388
