dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.019253,-11.999985,0.000031,0.001247,0.024935,0.498695,0.001604
0.050000,0.019230,-11.999985,0.000054,0.000459,-0.015760,-0.813897,0.001602
0.050000,0.019178,-11.999985,0.000106,0.001032,0.011468,0.544563,0.001598
0.050000,0.019087,-11.999985,0.000197,0.001835,0.016055,0.091731,0.001591
0.050000,0.018943,-11.999985,0.000341,0.002867,0.020640,0.091710,0.001579
0.050000,0.018737,-11.999985,0.000547,0.004128,0.025224,0.091676,0.001561
0.050000,0.018456,-11.999986,0.000828,0.005618,0.029805,0.091626,0.001538
0.050000,0.018089,-11.999986,0.001195,0.007337,0.034383,0.091555,0.001507
0.050000,0.017625,-11.999987,0.001659,0.009285,0.038956,0.091462,0.001469
0.050000,0.017052,-11.999988,0.002232,0.011461,0.043523,0.091341,0.001421
0.050000,0.016358,-11.999989,0.002926,0.013866,0.048083,0.091192,0.001363
0.050000,0.015534,-11.999990,0.003750,0.016497,0.052633,0.091009,0.001294
0.050000,0.014566,-11.999991,0.004718,0.019356,0.057173,0.090789,0.001214
0.050000,0.013444,-11.999992,0.005840,0.022441,0.061699,0.090530,0.001120
0.050000,0.012156,-11.999994,0.007128,0.025751,0.066211,0.090229,0.001013
0.050000,0.010692,-11.999995,0.008592,0.029287,0.070705,0.089881,0.000891
0.050000,0.009040,-11.999997,0.010244,0.033046,0.075179,0.089484,0.000753
0.050000,0.007188,-11.999998,0.012096,0.037027,0.079631,0.089034,0.000599
0.050000,0.005127,-11.999999,0.014157,0.041230,0.084057,0.088529,0.000427
0.050000,0.002844,-12.000000,0.016440,0.045653,0.088455,0.087965,0.000237
0.050000,0.000329,-12.000000,0.018955,0.050294,0.092822,0.087338,0.000027
0.050000,0.010852,-12.000001,0.029478,0.210459,3.203303,62.209624,6.282983
0.050000,0.024327,-12.000006,0.042952,0.269484,1.180508,-40.455907,6.282732
0.050000,0.039004,-12.000014,0.057629,0.293540,0.481109,-13.987972,6.282459
0.050000,0.054936,-12.000028,0.073561,0.318644,0.502081,0.419427,6.282164
0.050000,0.072176,-12.000048,0.090801,0.344801,0.523136,0.421115,6.281844
0.050000,0.090773,-12.000077,0.109398,0.371937,0.542727,0.391812,6.281500
0.050000,0.110771,-12.000114,0.129396,0.399972,0.560695,0.359350,6.281131
0.050000,0.132236,-12.000162,0.150861,0.429292,0.586408,0.514273,6.280735
0.050000,0.155220,-12.000224,0.173845,0.459685,0.607855,0.428940,6.280313
0.050000,0.179771,-12.000300,0.198397,0.491032,0.626946,0.381825,6.279862
0.050000,0.205936,-12.000393,0.224562,0.523295,0.645253,0.366137,6.279384
0.050000,0.233781,-12.000506,0.252407,0.556916,0.672414,0.543208,6.278875
0.050000,0.263359,-12.000641,0.281985,0.591554,0.692768,0.407085,6.278337
0.050000,0.294706,-12.000802,0.313333,0.626960,0.708127,0.307178,6.277768
0.050000,0.327899,-12.000992,0.346527,0.663869,0.738179,0.601036,6.277168
0.050000,0.362979,-12.001214,0.381607,0.701611,0.754843,0.333297,6.276536
0.050000,0.400002,-12.001473,0.418631,0.740473,0.777240,0.447923,6.275871
0.050000,0.439032,-12.001772,0.457662,0.780623,0.803000,0.515214,6.275172
0.050000,0.480106,-12.002116,0.498738,0.821511,0.817746,0.294913,6.274440
0.050000,0.523278,-12.002510,0.541911,0.863463,0.839056,0.426198,6.273673
0.050000,0.568525,-12.002959,0.587160,0.904994,0.830605,-0.169010,6.272873
0.050000,0.615878,-12.003467,0.634516,0.947108,0.842295,0.233787,6.272040
0.050000,0.665320,-12.004039,0.683962,0.988922,0.836262,-0.120661,6.271174
0.050000,0.716871,-12.004681,0.735517,1.031094,0.843445,0.143668,6.270275
0.050000,0.770533,-12.005399,0.789184,1.073342,0.844959,0.030280,6.269345
0.050000,0.826301,-12.006198,0.844957,1.115467,0.842500,-0.049187,6.268383
0.050000,0.884197,-12.007084,0.902859,1.158047,0.851596,0.181932,6.267389
0.050000,0.944215,-12.008063,0.962886,1.200528,0.849621,-0.039508,6.266366
0.050000,1.006358,-12.009141,1.025039,1.243055,0.850555,0.018678,6.265312
0.050000,1.070644,-12.010325,1.089335,1.285930,0.857502,0.138952,6.264228
0.050000,1.137077,-12.011621,1.155780,1.328904,0.859475,0.039449,6.263116
0.050000,1.205650,-12.013037,1.224368,1.371751,0.856942,-0.050664,6.261974
0.050000,1.276377,-12.014579,1.295113,1.414894,0.862854,0.118243,6.260805
0.050000,1.349270,-12.016254,1.368024,1.458228,0.866679,0.076506,6.259609
0.050000,1.424332,-12.018070,1.443108,1.501682,0.869073,0.047873,6.258385
0.050000,1.501570,-12.020034,1.520371,1.545260,0.871567,0.049894,6.257135
0.050000,1.580990,-12.022155,1.599819,1.588968,0.874161,0.051873,6.255860
0.050000,1.662596,-12.024438,1.681458,1.632764,0.875913,0.035046,6.254559
0.050000,1.746395,-12.026893,1.765293,1.676705,0.878820,0.058139,6.253234
0.050000,1.832398,-12.029528,1.851336,1.720861,0.883136,0.086311,6.251885
0.050000,1.920611,-12.032351,1.939594,1.765166,0.886100,0.059287,6.250513
0.050000,2.011042,-12.035370,2.030075,1.809624,0.889152,0.061046,6.249118
0.050000,2.103698,-12.038593,2.122787,1.854239,0.892290,0.062758,6.247701
0.050000,2.198586,-12.042030,2.217738,1.899014,0.895512,0.064424,6.246263
0.050000,2.295715,-12.045689,2.314936,1.943955,0.898814,0.066043,6.244804
0.050000,2.395087,-12.049579,2.414383,1.988952,0.899947,0.022673,6.243326
0.050000,2.496712,-12.053708,2.516093,2.034191,0.904773,0.096517,6.241828
0.050000,2.600601,-12.058086,2.620074,2.079620,0.908587,0.076285,6.240311
0.050000,2.706762,-12.062722,2.726335,2.125230,0.912193,0.072109,6.238777
0.050000,2.815202,-12.067625,2.834887,2.171023,0.915867,0.073486,6.237226
0.050000,2.925931,-12.072805,2.945737,2.217004,0.919608,0.074812,6.235658
0.050000,3.038950,-12.078271,3.058888,2.263025,0.920436,0.016572,6.234074
0.050000,3.154267,-12.084031,3.174348,2.309206,0.923612,0.063507,6.232476
0.050000,3.271897,-12.090097,3.292135,2.355738,0.930633,0.140417,6.230863
0.050000,3.391851,-12.096477,3.412259,2.402469,0.934617,0.079688,6.229236
0.050000,3.514122,-12.103180,3.534713,2.449086,0.932349,-0.045352,6.227597
0.050000,3.638728,-12.110217,3.659518,2.496094,0.940158,0.156163,6.225946
0.050000,3.765684,-12.117598,3.786688,2.543410,0.946331,0.123458,6.224283
0.050000,3.894979,-12.125332,3.916215,2.590526,0.942317,-0.080261,6.222610
0.050000,4.026638,-12.133428,4.048122,2.638148,0.952429,0.202236,6.220927
0.050000,4.160666,-12.141897,4.182417,2.685894,0.954925,0.049909,6.219235
0.050000,4.297060,-12.150748,4.319098,2.733633,0.954789,-0.002710,6.217535
0.050000,4.435848,-12.159992,4.458194,2.781904,0.965407,0.212365,6.215827
0.050000,4.577013,-12.169637,4.599688,2.829886,0.959638,-0.115397,6.214113
0.050000,4.720590,-12.179694,4.743617,2.878576,0.973808,0.283411,6.212392
0.050000,4.866561,-12.190172,4.889963,2.926921,0.966893,-0.138303,6.210666
0.050000,5.014957,-12.201082,5.038759,2.975929,0.980172,0.265587,6.208936
0.050000,5.165768,-12.212432,5.189997,3.024753,0.976471,-0.074036,6.207202
0.050000,5.319013,-12.224233,5.343696,3.073980,0.984549,0.161569,6.205465
0.050000,5.474701,-12.236494,5.499866,3.123395,0.988282,0.074666,6.203726
0.050000,5.632826,-12.249224,5.658503,3.172744,0.986990,-0.025838,6.201985
0.050000,5.793415,-12.262434,5.819633,3.222611,0.997342,0.207025,6.200244
0.050000,5.956464,-12.276132,5.983257,3.272478,0.997343,0.000020,6.198502
0.050000,6.121979,-12.290327,6.149379,3.322442,0.999271,0.038569,6.196762
0.050000,6.289977,-12.305030,6.318020,3.372808,1.007314,0.160861,6.195023
0.050000,6.460465,-12.320249,6.489186,3.423333,1.010502,0.063753,6.193287
0.050000,6.633439,-12.335993,6.662875,3.473772,1.008785,-0.034339,6.191554
0.050000,6.808916,-12.352271,6.839105,3.524611,1.016788,0.160061,6.189824
0.050000,6.986906,-12.369092,7.017888,3.575654,1.020865,0.081539,6.188100
0.050000,7.167415,-12.386464,7.199231,3.626864,1.024184,0.066375,6.186381
0.050000,7.350451,-12.404397,7.383143,3.678240,1.027534,0.067007,6.184667
0.050000,7.536015,-12.422898,7.569627,3.729678,1.028752,0.024354,6.182961
0.050000,7.724118,-12.441976,7.758696,3.781371,1.033862,0.102212,6.181263
0.050000,7.914771,-12.461639,7.950360,3.833285,1.038272,0.088203,6.179573
0.050000,8.107981,-12.481894,8.144629,3.885371,1.041721,0.068962,6.177892
0.050000,8.303754,-12.502750,8.341510,3.937630,1.045193,0.069439,6.176221
0.050000,8.502100,-12.524215,8.541013,3.990065,1.048687,0.069888,6.174561
0.050000,8.703024,-12.546294,8.743147,4.042675,1.052202,0.070309,6.172912
0.050000,8.906535,-12.568997,8.947920,4.095462,1.055737,0.070702,6.171276
0.050000,9.112640,-12.592328,9.155341,4.148426,1.059291,0.071067,6.169652
0.050000,9.321346,-12.616297,9.365420,4.201569,1.062861,0.071405,6.168042
0.050000,9.532662,-12.640908,9.578164,4.254892,1.066447,0.071716,6.166446
0.050000,9.746596,-12.666169,9.793584,4.308394,1.070047,0.072000,6.164865
0.050000,9.963155,-12.692085,10.011688,4.362077,1.073660,0.072259,6.163301
0.050000,10.182346,-12.718662,10.232485,4.415941,1.077284,0.072491,6.161752
0.050000,10.404173,-12.745905,10.455978,4.469868,1.078536,0.025023,6.160221
0.050000,10.628647,-12.773820,10.682181,4.524057,1.083774,0.104774,6.158708
0.050000,10.855777,-12.802413,10.911104,4.578453,1.087926,0.083046,6.157214
0.050000,11.085571,-12.831687,11.142756,4.633033,1.091603,0.073540,6.155739
0.050000,11.318038,-12.861648,11.377145,4.687797,1.095286,0.073657,6.154285
0.050000,11.553180,-12.892299,11.614276,4.742611,1.096270,0.019678,6.152851
0.050000,11.791005,-12.923644,11.854158,4.797646,1.100700,0.088600,6.151439
0.050000,12.031528,-12.955688,12.096806,4.852954,1.106165,0.109304,6.150050
0.050000,12.274756,-12.988433,12.342228,4.908444,1.109798,0.072642,6.148683
0.050000,12.520684,-13.021880,12.590421,4.963857,1.108254,-0.030875,6.147341
0.050000,12.769335,-13.056035,12.841407,5.019716,1.117179,0.178510,6.146023
0.050000,13.020716,-13.090900,13.095193,5.075731,1.120305,0.062517,6.144730
0.050000,13.274823,-13.126474,13.351778,5.131694,1.119264,-0.020832,6.143463
0.050000,13.531677,-13.162760,13.611184,5.188110,1.128308,0.180893,6.142224
0.050000,13.791280,-13.199760,13.873410,5.244527,1.128353,0.000894,6.141011
0.050000,14.053643,-13.237474,14.138469,5.301184,1.133142,0.095779,6.139827
0.050000,14.318775,-13.275903,14.406372,5.358052,1.137344,0.084044,6.138672
0.050000,14.586680,-13.315046,14.677122,5.414997,1.138915,0.031409,6.137546
0.050000,14.857375,-13.354903,14.950735,5.472258,1.145206,0.125825,6.136452
0.050000,15.130860,-13.395472,15.227213,5.529560,1.146046,0.016804,6.135388
0.050000,15.407151,-13.436754,15.506571,5.587166,1.152131,0.121691,6.134356
0.050000,15.686254,-13.478746,15.788815,5.644883,1.154341,0.044217,6.133358
0.050000,15.968179,-13.521445,16.073955,5.702799,1.158318,0.079535,6.132392
0.050000,16.252939,-13.564850,16.362004,5.760979,1.163599,0.105627,6.131461
0.050000,16.540535,-13.608956,16.652963,5.819178,1.163975,0.007519,6.130566
0.050000,16.830987,-13.653761,16.946850,5.877748,1.171397,0.148430,6.129706
0.050000,17.124301,-13.699260,17.243672,5.936435,1.173749,0.047034,6.128883
0.050000,17.420485,-13.745449,17.543436,5.995274,1.176766,0.060347,6.128097
0.050000,17.719554,-13.792322,17.846156,6.054405,1.182622,0.117124,6.127350
0.050000,18.021519,-13.839874,18.151842,6.113719,1.186292,0.073391,6.126642
0.050000,18.326385,-13.888098,18.460499,6.173137,1.188353,0.041217,6.125975
0.050000,18.634170,-13.936988,18.772142,6.232866,1.194585,0.124641,6.125348
0.050000,18.944884,-13.986536,19.086782,6.292797,1.198609,0.080489,6.124763
0.050000,19.258539,-14.036734,19.404429,6.352934,1.202741,0.082644,6.124221
0.050000,19.575146,-14.087574,19.725092,6.413259,1.206498,0.075138,6.123722
0.050000,19.894718,-14.139046,20.048782,6.473814,1.211115,0.092337,6.123268
0.050000,20.217269,-14.191141,20.375513,6.534618,1.216071,0.099108,6.122860
0.050000,20.542813,-14.243847,20.705296,6.595649,1.220619,0.090977,6.122498
0.050000,20.871362,-14.297154,21.038141,6.656913,1.225286,0.093323,6.122184
