dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.060094,11.999850,0.000031,0.001247,0.024945,0.498908,6.278177
0.050000,0.060093,11.999850,0.000032,0.000008,-0.024779,-0.994494,6.278178
0.050000,0.060092,11.999850,0.000033,0.000019,0.000208,0.499739,6.278178
0.050000,0.060091,11.999850,0.000034,0.000033,0.000291,0.001661,6.278178
0.050000,0.060088,11.999850,0.000037,0.000052,0.000374,0.001661,6.278178
0.050000,0.060084,11.999850,0.000041,0.000075,0.000457,0.001661,6.278178
0.050000,0.060079,11.999850,0.000046,0.000102,0.000540,0.001661,6.278179
0.050000,0.060072,11.999850,0.000052,0.000133,0.000623,0.001660,6.278179
0.050000,0.060064,11.999850,0.000061,0.000168,0.000706,0.001660,6.278180
0.050000,0.060054,11.999850,0.000071,0.000208,0.000789,0.001659,6.278181
0.050000,0.060041,11.999850,0.000084,0.000251,0.000872,0.001658,6.278182
0.050000,0.060026,11.999850,0.000099,0.000299,0.000955,0.001657,6.278183
0.050000,0.060009,11.999850,0.000116,0.000351,0.001037,0.001655,6.278185
0.050000,0.059988,11.999850,0.000136,0.000407,0.001120,0.001654,6.278186
0.050000,0.059965,11.999850,0.000160,0.000467,0.001203,0.001652,6.278188
0.050000,0.059938,11.999850,0.000186,0.000531,0.001285,0.001649,6.278190
0.050000,0.059908,11.999850,0.000216,0.000600,0.001367,0.001647,6.278193
0.050000,0.059875,11.999851,0.000250,0.000672,0.001450,0.001644,6.278196
0.050000,0.064855,11.999826,0.005231,0.099613,1.978814,39.547297,6.278199
0.050000,0.077286,11.999764,0.017662,0.248625,2.980242,20.028558,6.278202
0.050000,0.090992,11.999696,0.031367,0.274109,0.509686,-49.411129,6.278206
0.050000,0.106033,11.999621,0.046409,0.300837,0.534550,0.497280,6.278210
0.050000,0.122474,11.999539,0.062849,0.328807,0.559414,0.497284,6.278215
0.050000,0.140374,11.999450,0.080751,0.358021,0.584279,0.497297,6.278220
0.050000,0.159798,11.999354,0.100174,0.388478,0.609144,0.497297,6.278225
0.050000,0.180807,11.999249,0.121183,0.420179,0.634009,0.497295,6.278231
0.050000,0.203463,11.999137,0.143840,0.453123,0.658874,0.497309,6.278237
0.050000,0.227828,11.999017,0.168205,0.487310,0.683741,0.497335,6.278244
0.050000,0.253965,11.998888,0.194342,0.522740,0.708606,0.497307,6.278251
0.050000,0.281935,11.998750,0.222313,0.559414,0.733473,0.497338,6.278259
0.050000,0.311801,11.998603,0.252179,0.597331,0.758341,0.497355,6.278267
0.050000,0.343625,11.998446,0.284004,0.636491,0.783207,0.497335,6.278276
0.050000,0.377470,11.998280,0.317849,0.676895,0.808077,0.497386,6.278285
0.050000,0.413396,11.998105,0.353776,0.718542,0.832945,0.497354,6.278295
0.050000,0.451467,11.997919,0.391847,0.761433,0.857815,0.497408,6.278306
0.050000,0.491745,11.997722,0.432126,0.805567,0.882684,0.497380,6.278317
0.050000,0.534292,11.997515,0.474673,0.850945,0.907556,0.497438,6.278329
0.050000,0.579170,11.997298,0.519551,0.897566,0.932426,0.497409,6.278341
0.050000,0.626441,11.997069,0.566823,0.945431,0.957299,0.497451,6.278354
0.050000,0.676167,11.996829,0.616550,0.994540,0.982172,0.497467,6.278368
0.050000,0.728380,11.996578,0.668763,1.044270,0.994614,0.248829,6.278382
0.050000,0.783080,11.996316,0.723463,1.094002,0.994625,0.000219,6.278397
0.050000,0.840266,11.996042,0.780650,1.143733,0.994636,0.000236,6.278413
0.050000,0.899938,11.995758,0.840323,1.193466,0.994648,0.000235,6.278429
0.050000,0.962097,11.995463,0.902483,1.243199,0.994660,0.000245,6.278446
0.050000,1.026743,11.995157,0.967130,1.292932,0.994673,0.000259,6.278464
0.050000,1.093876,11.994841,1.034263,1.342667,0.994687,0.000269,6.278482
0.050000,1.163495,11.994514,1.103883,1.392402,0.994701,0.000280,6.278501
0.050000,1.235601,11.994177,1.175990,1.442138,0.994715,0.000290,6.278520
0.050000,1.310194,11.993830,1.250584,1.491874,0.994730,0.000300,6.278541
0.050000,1.387274,11.993472,1.327664,1.541611,0.994746,0.000310,6.278561
0.050000,1.466841,11.993105,1.407232,1.591350,0.994762,0.000320,6.278583
0.050000,1.548894,11.992729,1.489286,1.641088,0.994778,0.000330,6.278605
