dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000000,0.000000,0.000031,0.001246,0.024929,0.498589,6.281773
0.050000,0.000000,0.000000,0.000156,0.003739,0.049859,0.498589,6.281776
0.050000,0.000000,0.000000,0.000436,0.007479,0.074788,0.498589,6.281781
0.050000,0.000000,0.000000,0.000935,0.012465,0.099718,0.498589,6.281790
0.050000,0.000000,0.000000,0.001714,0.018697,0.124647,0.498589,6.281804
0.050000,0.000000,0.000000,0.002836,0.026176,0.149577,0.498589,6.281825
0.050000,0.000000,0.000000,0.004363,0.034901,0.174506,0.498589,6.281853
0.050000,0.000000,0.000000,0.006357,0.044873,0.199435,0.498589,6.281890
0.050000,0.000000,0.000000,0.008881,0.056091,0.224365,0.498589,6.281937
0.050000,0.000000,0.000000,0.011997,0.068556,0.249294,0.498589,6.281994
0.050000,0.000000,0.000000,0.015768,0.082267,0.274224,0.498589,6.282064
0.050000,0.000000,0.000000,0.020255,0.097225,0.299153,0.498589,6.282147
0.050000,0.000000,0.000000,0.025522,0.113429,0.324083,0.498589,6.282244
0.050000,0.000000,0.000000,0.031629,0.130880,0.349012,0.498589,6.282357
0.050000,0.000000,0.000000,0.038641,0.149577,0.373942,0.498589,6.282486
0.050000,0.000000,0.000000,0.046618,0.169520,0.398871,0.498589,6.282634
0.050000,0.000000,0.000000,0.055624,0.190710,0.423800,0.498589,6.282800
0.050000,0.000000,0.000000,0.065720,0.213147,0.448730,0.498589,6.282986
0.050000,0.000470,0.000000,0.076970,0.236830,0.473659,0.498589,0.000009
0.050000,0.012936,0.000002,0.089434,0.261759,0.498589,0.498589,0.000239
0.050000,0.026680,0.000007,0.103177,0.287935,0.523518,0.498589,0.000492
0.050000,0.041762,0.000016,0.118259,0.315357,0.548448,0.498589,0.000771
0.050000,0.058246,0.000031,0.134744,0.344026,0.573377,0.498589,0.001075
0.050000,0.076193,0.000054,0.152693,0.373942,0.598306,0.498589,0.001405
0.050000,0.095671,0.000084,0.172169,0.405103,0.623236,0.498589,0.001765
0.050000,0.116738,0.000126,0.193234,0.437512,0.648165,0.498589,0.002153
0.050000,0.139453,0.000179,0.215951,0.471166,0.673095,0.498589,0.002571
0.050000,0.163883,0.000248,0.240382,0.506068,0.698024,0.498589,0.003021
0.050000,0.190092,0.000333,0.266589,0.542215,0.722954,0.498589,0.003504
0.050000,0.218136,0.000439,0.294635,0.579609,0.747883,0.498589,0.004020
0.050000,0.248083,0.000567,0.324581,0.618250,0.772813,0.498589,0.004571
0.050000,0.279993,0.000723,0.356491,0.658137,0.797742,0.498589,0.005158
0.050000,0.313926,0.000908,0.390426,0.699271,0.822671,0.498589,0.005782
0.050000,0.349950,0.001128,0.426449,0.741651,0.847601,0.498589,0.006444
0.050000,0.388120,0.001388,0.464622,0.785277,0.872530,0.498589,0.007145
0.050000,0.428507,0.001691,0.505008,0.830150,0.897460,0.498589,0.007887
0.050000,0.471164,0.002044,0.547669,0.876270,0.922389,0.498589,0.008669
0.050000,0.516161,0.002453,0.592666,0.923636,0.947319,0.498589,0.009495
0.050000,0.563556,0.002924,0.640063,0.972248,0.972248,0.498589,0.010363
0.050000,0.613409,0.003463,0.689922,1.022107,0.997177,0.498589,0.011276
0.050000,0.665760,0.004079,0.742274,1.071966,0.997177,-0.000000,0.012234
0.050000,0.720601,0.004777,0.797119,1.121825,0.997177,0.000000,0.013238
0.050000,0.777932,0.005566,0.854456,1.171684,0.997177,-0.000000,0.014285
0.050000,0.837754,0.006453,0.914287,1.221542,0.997177,0.000000,0.015378
0.050000,0.900072,0.007447,0.976611,1.271401,0.997177,0.000000,0.016515
0.050000,0.964879,0.008556,1.041427,1.321260,0.997177,-0.000000,0.017696
0.050000,1.032178,0.009788,1.108737,1.371119,0.997177,0.000000,0.018922
0.050000,1.101967,0.011153,1.178539,1.420978,0.997177,-0.000000,0.020192
0.050000,1.174246,0.012660,1.250835,1.470837,0.997177,-0.000000,0.021506
0.050000,1.249016,0.014319,1.325623,1.520696,0.997177,0.000000,0.022863
0.050000,1.326276,0.016140,1.402904,1.570555,0.997177,0.000000,0.024265
0.050000,1.406025,0.018133,1.482678,1.620413,0.997177,0.000000,0.025710
0.050000,1.488264,0.020310,1.564945,1.670272,0.997177,0.000000,0.027198
0.050000,1.572990,0.022679,1.649706,1.720131,0.997177,0.000000,0.028729
0.050000,1.660204,0.025254,1.736959,1.769990,0.997177,-0.000000,0.030303
0.050000,1.749905,0.028046,1.826705,1.819849,0.997177,-0.000000,0.031920
0.050000,1.842096,0.031066,1.918943,1.869708,0.997177,0.000000,0.033580
0.050000,1.936773,0.034328,2.013675,1.919567,0.997177,0.000000,0.035282
0.050000,2.033934,0.037842,2.110900,1.969426,0.997177,-0.000000,0.037025
0.050000,2.133578,0.041622,2.210618,2.019284,0.997177,0.000000,0.038811
0.050000,2.235710,0.045681,2.312829,2.069143,0.997177,0.000000,0.040638
0.050000,2.340323,0.050033,2.417532,2.119002,0.997177,-0.000000,0.042507
0.050000,2.447417,0.054690,2.524729,2.168861,0.997177,0.000000,0.044416
0.050000,2.556995,0.059668,2.634418,2.218720,0.997177,0.000000,0.046366
0.050000,2.669050,0.064979,2.746601,2.268579,0.997177,-0.000000,0.048357
0.050000,2.783587,0.070638,2.861276,2.318438,0.997177,0.000000,0.050388
0.050000,2.900599,0.076661,2.978445,2.368297,0.997177,-0.000000,0.052458
0.050000,3.020090,0.083061,3.098106,2.418155,0.997177,0.000000,0.054568
0.050000,3.142055,0.089855,3.220260,2.468014,0.997177,-0.000000,0.056717
0.050000,3.266492,0.097057,3.344907,2.517873,0.997177,0.000000,0.058905
0.050000,3.393405,0.104683,3.472047,2.567732,0.997177,-0.000000,0.061132
0.050000,3.522787,0.112749,3.601680,2.617591,0.997177,0.000000,0.063396
0.050000,3.654637,0.121272,3.733806,2.667450,0.997177,-0.000000,0.065698
0.050000,3.788954,0.130267,3.868425,2.717309,0.997177,0.000000,0.068037
0.050000,3.925739,0.139751,4.005537,2.767168,0.997177,0.000000,0.070413
0.050000,4.064986,0.149741,4.145142,2.817026,0.997177,-0.000000,0.072826
0.050000,4.206695,0.160254,4.287240,2.866885,0.997177,0.000000,0.075274
0.050000,4.350862,0.171307,4.431831,2.916744,0.997177,-0.000000,0.077758
0.050000,4.497487,0.182917,4.578914,2.966603,0.997177,0.000000,0.080276
0.050000,4.646566,0.195102,4.728491,3.016462,0.997177,-0.000000,0.082830
0.050000,4.798098,0.207879,4.880561,3.066321,0.997177,0.000000,0.085417
0.050000,4.952079,0.221267,5.035123,3.116180,0.997177,-0.000000,0.088037
0.050000,5.108508,0.235284,5.192179,3.166039,0.997177,0.000000,0.090691
0.050000,5.267381,0.249947,5.351727,3.215897,0.997177,-0.000000,0.093377
0.050000,5.428695,0.265275,5.513768,3.265756,0.997177,0.000000,0.096095
0.050000,5.592447,0.281287,5.678303,3.315615,0.997177,-0.000000,0.098843
0.050000,5.758637,0.298001,5.845330,3.365474,0.997177,0.000000,0.101623
0.050000,5.927259,0.315436,6.014850,3.415333,0.997177,-0.000000,0.104432
0.050000,6.098308,0.333610,6.186863,3.465192,0.997177,0.000000,0.107271
0.050000,6.271784,0.352542,6.361369,3.515051,0.997177,0.000000,0.110139
0.050000,6.447683,0.372252,6.538368,3.564910,0.997177,-0.000000,0.113034
0.050000,6.625999,0.392758,6.717860,3.614768,0.997177,0.000000,0.115957
0.050000,6.806731,0.414080,6.899845,3.664627,0.997177,0.000000,0.118907
0.050000,6.989873,0.436237,7.084323,3.714486,0.997177,-0.000000,0.121882
0.050000,7.175422,0.459248,7.271294,3.764345,0.997177,0.000000,0.124883
0.050000,7.363374,0.483132,7.460757,3.814204,0.997177,-0.000000,0.127908
0.050000,7.553725,0.507908,7.652714,3.864063,0.997177,0.000000,0.130957
0.050000,7.746469,0.533596,7.847164,3.913922,0.997177,0.000000,0.134028
0.050000,7.941606,0.560215,8.044106,3.963781,0.997177,-0.000000,0.137122
0.050000,8.139126,0.587784,8.243542,4.013639,0.997177,0.000000,0.140237
0.050000,8.339027,0.616323,8.445470,4.063498,0.997177,0.000000,0.143373
0.050000,8.541305,0.645851,8.649891,4.113357,0.997177,0.000000,0.146528
0.050000,8.745954,0.676386,8.856806,4.163216,0.997177,-0.000000,0.149702
0.050000,8.952969,0.707949,9.066213,4.213075,0.997177,0.000000,0.152893
0.050000,9.162344,0.740557,9.278113,4.262934,0.997177,0.000000,0.156102
0.050000,9.374076,0.774230,9.492506,4.312793,0.997177,-0.000000,0.159327
0.050000,9.588159,0.808987,9.709393,4.362651,0.997177,0.000000,0.162566
0.050000,9.804587,0.844847,9.928772,4.412510,0.997177,0.000000,0.165820
0.050000,10.023356,0.881827,10.150644,4.462369,0.997177,0.000000,0.169088
0.050000,10.244458,0.919947,10.375008,4.512228,0.997177,0.000000,0.172367
0.050000,10.467890,0.959224,10.601866,4.562087,0.997177,-0.000000,0.175657
0.050000,10.693645,0.999678,10.831217,4.611946,0.997177,0.000000,0.178958
0.050000,10.921717,1.041325,11.063061,4.661805,0.997177,0.000000,0.182268
0.050000,11.152102,1.084184,11.297398,4.711664,0.997177,-0.000000,0.185586
