dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,-0.016945,-11.999988,0.000031,0.001246,0.024929,0.498589,6.281773
0.050000,-0.016918,-11.999988,0.000059,0.000553,-0.013874,-0.776065,6.281776
0.050000,-0.016855,-11.999988,0.000121,0.001244,0.013819,0.553865,6.281781
0.050000,-0.016745,-11.999988,0.000232,0.002211,0.019347,0.110551,6.281790
0.050000,-0.016572,-11.999989,0.000404,0.003455,0.024874,0.110544,6.281804
0.050000,-0.016323,-11.999989,0.000653,0.004975,0.030401,0.110532,6.281825
0.050000,-0.015985,-11.999989,0.000992,0.006771,0.035927,0.110514,6.281853
0.050000,-0.015543,-11.999990,0.001434,0.008844,0.041451,0.110490,6.281890
0.050000,-0.014983,-11.999991,0.001993,0.011192,0.046974,0.110457,6.281937
0.050000,-0.014292,-11.999991,0.002684,0.013817,0.052495,0.110415,6.281994
0.050000,-0.013456,-11.999992,0.003520,0.016718,0.058013,0.110362,6.282064
0.050000,-0.012462,-11.999994,0.004515,0.019894,0.063528,0.110298,6.282147
0.050000,-0.011294,-11.999995,0.005682,0.023346,0.069039,0.110221,6.282244
0.050000,-0.009941,-11.999996,0.007036,0.027073,0.074545,0.110130,6.282357
0.050000,-0.008387,-11.999997,0.008590,0.031076,0.080046,0.110024,6.282486
0.050000,-0.006619,-11.999998,0.010357,0.035353,0.085541,0.109901,6.282634
0.050000,-0.004624,-11.999999,0.012352,0.039904,0.091029,0.109761,6.282800
0.050000,-0.002387,-12.000000,0.014589,0.044730,0.096510,0.109602,6.282986
0.050000,0.000574,-12.000000,0.017550,0.059223,0.289876,3.867322,0.000009
0.050000,0.015801,-11.999998,0.032777,0.304541,4.906351,92.329501,0.000239
0.050000,0.032587,-11.999992,0.049563,0.335726,0.623707,-85.652877,0.000492
0.050000,0.051008,-11.999980,0.067985,0.368425,0.653978,0.605417,0.000771
0.050000,0.071140,-11.999962,0.088117,0.402636,0.684219,0.604819,0.001075
0.050000,0.093058,-11.999935,0.110034,0.438358,0.714427,0.604164,0.001405
0.050000,0.116846,-11.999897,0.133822,0.475752,0.747882,0.669106,0.001765
0.050000,0.142571,-11.999847,0.159547,0.514504,0.775055,0.543447,0.002153
0.050000,0.170309,-11.999781,0.187285,0.554760,0.805107,0.601042,0.002571
0.050000,0.200139,-11.999698,0.217116,0.596611,0.837021,0.638294,0.003021
0.050000,0.232139,-11.999593,0.249116,0.639999,0.867765,0.614876,0.003504
0.050000,0.266377,-11.999464,0.283354,0.684771,0.895439,0.553479,0.004020
0.050000,0.302937,-11.999307,0.319914,0.731196,0.928502,0.661268,0.004571
0.050000,0.341890,-11.999118,0.358867,0.779067,0.957426,0.578464,0.005158
0.050000,0.383309,-11.998891,0.400287,0.828402,0.986689,0.585276,0.005782
0.050000,0.427278,-11.998622,0.444257,0.879388,1.019721,0.660637,0.006444
0.050000,0.473861,-11.998306,0.490841,0.931691,1.046062,0.526816,0.007145
0.050000,0.523145,-11.997936,0.540127,0.985710,1.080381,0.686379,0.007887
0.050000,0.575195,-11.997505,0.592179,1.041042,1.106637,0.525114,0.008669
0.050000,0.630094,-11.997006,0.647079,1.098008,1.139319,0.653640,0.009495
0.050000,0.687912,-11.996432,0.704901,1.156429,1.168425,0.582131,0.010363
0.050000,0.748722,-11.995774,0.765714,1.216270,1.196818,0.567844,0.011276
0.050000,0.812570,-11.995023,0.829567,1.277045,1.215499,0.373623,0.012234
0.050000,0.879446,-11.994172,0.896448,1.337636,1.211827,-0.073428,0.013238
0.050000,0.949350,-11.993210,0.966359,1.398201,1.211299,-0.010566,0.014285
0.050000,1.022280,-11.992128,1.039297,1.458771,1.211397,0.001961,0.015378
0.050000,1.098241,-11.990916,1.115267,1.519400,1.212587,0.023793,0.016515
0.050000,1.177224,-11.989565,1.194262,1.579896,1.209921,-0.053307,0.017696
0.050000,1.259229,-11.988064,1.276280,1.640369,1.209458,-0.009264,0.018922
0.050000,1.344253,-11.986401,1.361321,1.700815,1.208918,-0.010811,0.020192
0.050000,1.432296,-11.984565,1.449383,1.761230,1.208300,-0.012350,0.021506
0.050000,1.523354,-11.982544,1.540463,1.821611,1.207606,-0.013882,0.022863
0.050000,1.617425,-11.980327,1.634561,1.881952,1.206836,-0.015406,0.024265
0.050000,1.714507,-11.977901,1.731673,1.942252,1.205990,-0.016922,0.025710
0.050000,1.814598,-11.975252,1.831799,2.002505,1.205068,-0.018429,0.027198
0.050000,1.917693,-11.972369,1.934934,2.062709,1.204072,-0.019928,0.028729
0.050000,2.023790,-11.969236,2.041077,2.122859,1.203001,-0.021417,0.030303
0.050000,2.132884,-11.965841,2.150225,2.182952,1.201856,-0.022896,0.031920
0.050000,2.244978,-11.962169,2.262379,2.243082,1.202599,0.014865,0.033580
0.050000,2.360064,-11.958204,2.377533,2.303083,1.200032,-0.051354,0.035282
0.050000,2.478137,-11.953934,2.495683,2.362998,1.198290,-0.034828,0.037025
0.050000,2.599192,-11.949341,2.616825,2.422854,1.197117,-0.023468,0.038811
0.050000,2.723234,-11.944411,2.740965,2.482787,1.198665,0.030967,0.040638
0.050000,2.850248,-11.939128,2.868089,2.542488,1.194022,-0.092874,0.042507
0.050000,2.980235,-11.933475,2.998199,2.602192,1.194082,0.001218,0.044416
